year,month,tavg
2001,1,43.7
2001,2,55.0
2001,3,53.4
2001,4,66.0
2001,5,72.2
2001,6,77.1
2001,7,81.2
2001,8,80.3
2001,9,73.9
2001,10,62.7
2001,11,60.5
2001,12,51.7
2002,1,49.6
2002,2,47.3
2002,3,57.9
2002,4,68.1
2002,5,72.5
2002,6,79.1
2002,7,82.0
2002,8,81.7
2002,9,79.6
2002,10,70.0
2002,11,53.7
2002,12,46.8
2003,1,42.3
2003,2,50.5
2003,3,59.9
2003,4,65.5
2003,5,73.9
2003,6,78.0
2003,7,80.5
2003,8,81.4
2003,9,75.3
2003,10,65.6
2003,11,60.1
2003,12,45.3
2004,1,46.3
2004,2,47.9
2004,3,61.9
2004,4,64.4
2004,5,76.0
2004,6,80.8
2004,7,84.3
2004,8,81.4
2004,9,78.4
2004,10,73.2
2004,11,61.9
2004,12,49.5
2005,1,51.8
2005,2,54.0
2005,3,55.7
2005,4,62.9
2005,5,70.4
2005,6,79.0
2005,7,82.1
2005,8,79.8
2005,9,78.3
2005,10,64.6
2005,11,57.6
2005,12,46.2
2006,1,53.5
2006,2,48.4
2006,3,58.4
2006,4,68.8
2006,5,72.2
2006,6,79.4
2006,7,82.0
2006,8,82.2
2006,9,74.3
2006,10,63.9
2006,11,54.2
2006,12,50.6
2007,1,49.0
2007,2,48.1
2007,3,62.0
2007,4,62.4
2007,5,73.9
2007,6,80.9
2007,7,80.4
2007,8,85.8
2007,9,77.4
2007,10,68.4
2007,11,55.0
2007,12,52.5
2008,1,44.9
2008,2,51.1
2008,3,57.5
2008,4,65.0
2008,5,73.3
2008,6,80.0
2008,7,80.8
2008,8,80.7
2008,9,76.1
2008,10,63.9
2008,11,53.4
2008,12,53.1
2009,1,48.2
2009,2,49.9
2009,3,58.9
2009,4,64.0
2009,5,72.7
2009,6,81.3
2009,7,79.4
2009,8,78.8
2009,9,75.6
2009,10,64.9
2009,11,54.0
2009,12,46.6
2010,1,41.3
2010,2,42.9
2010,3,52.9
2010,4,66.3
2010,5,75.9
2010,6,82.4
2010,7,83.8
2010,8,83.7
2010,9,79.5
2010,10,66.6
2010,11,56.7
2010,12,42.0
2011,1,42.9
2011,2,51.4
2011,3,59.9
2011,4,68.2
2011,5,71.9
2011,6,82.5
2011,7,81.6
2011,8,83.3
2011,9,73.7
2011,10,62.1
2011,11,57.2
2011,12,51.6
2012,1,51.9
2012,2,54.4
2012,3,66.1
2012,4,67.2
2012,5,74.7
2012,6,78.8
2012,7,82.3
2012,8,79.7
2012,9,74.8
2012,10,64.2
2012,11,52.7
2012,12,52.7
2013,1,52.8
2013,2,50.4
2013,3,52.4
2013,4,64.8
2013,5,71.0
2013,6,79.3
2013,7,77.9
2013,8,78.7
2013,9,76.4
2013,10,66.6
2013,11,54.0
2013,12,50.4
2014,1,39.5
2014,2,50.2
2014,3,55.2
2014,4,66.4
2014,5,73.1
2014,6,78.8
2014,7,79.5
2014,8,80.2
2014,9,77.4
2014,10,66.6
2014,11,50.1
2014,12,51.7
2015,1,45.9
2015,2,44.0
2015,3,59.9
2015,4,68.1
2015,5,73.4
2015,6,80.0
2015,7,82.4
2015,8,80.8
2015,9,75.6
2015,10,66.4
2015,11,60.5
2015,12,58.1
2016,1,45.6
2016,2,51.9
2016,3,61.7
2016,4,65.6
2016,5,72.7
2016,6,80.4
2016,7,82.2
2016,8,82.2
2016,9,79.5
2016,10,69.6
2016,11,59.2
2016,12,52.6
2017,1,54.2
2017,2,57.6
2017,3,60.2
2017,4,69.2
2017,5,71.9
2017,6,77.2
2017,7,81.1
2017,8,80.0
2017,9,75.3
2017,10,67.4
2017,11,56.4
2017,12,48.1
2018,1,43.9
2018,2,60.8
2018,3,56.4
2018,4,60.3
2018,5,74.9
2018,6,79.7
2018,7,80.8
2018,8,79.1
2018,9,79.9
2018,10,69.5
2018,11,52.0
2018,12,51.2
2019,1,48.0
2019,2,59.4
2019,3,57.2
2019,4,65.8
2019,5,76.0
2019,6,79.5
2019,7,81.1
2019,8,81.4
2019,9,82.2
2019,10,70.3
2019,11,52.8
2019,12,52.8
2020,1,51.9
2020,2,53.2
2020,3,65.3
2020,4,64.3
2020,5,70.7
2020,6,77.8
2020,7,80.8
2020,8,80.8
2020,9,75.3
2020,10,69.0
2020,11,60.0
2020,12,47.1
2021,1,48.8
2021,2,49.6
2021,3,60.5
2021,4,62.9
2021,5,71.2
2021,6,77.4
2021,7,78.7
2021,8,79.6
2021,9,74.1
2021,10,67.7
2021,11,52.2
2021,12,57.2
2022,1,44.9
2022,2,51.8
2022,3,58.7
2022,4,63.8
2022,5,74.2
2022,6,81.3
2022,7,81.4
2022,8,78.8
2022,9,74.8
2022,10,62.4
2022,11,57.1
2022,12,51.1
2023,1,52.7
2023,2,58.7
2023,3,60.8
2023,4,65.2
2023,5,71.1
2023,6,77.5
2023,7,81.3
2023,8,82.7
2023,9,76.5
2023,10,66.2
2023,11,56.1
2023,12,51.1
2024,1,46.8
2024,2,55.0
2024,3,60.8
2024,4,67.1
2024,5,76.1
2024,6,80.9
2024,7,82.4
2024,8,83.6
2024,9,77.4
2024,10,66.8
2024,11,67.8
