year,month,tavg
2001,1,36.8
2001,2,28.3
2001,3,33.6
2001,4,40.5
2001,5,45.5
2001,6,54.3
2001,7,55.6
2001,8,57.1
2001,9,50.5
2001,10,42.1
2001,11,33.1
2001,12,29.2
2002,1,30.3
2002,2,31.3
2002,3,28.5
2002,4,36.4
2002,5,47.3
2002,6,55.0
2002,7,54.8
2002,8,54.5
2002,9,49.8
2002,10,44.5
2002,11,40.3
2002,12,32.1
2003,1,31.9
2003,2,31.9
2003,3,30.7
2003,4,42.0
2003,5,47.1
2003,6,54.0
2003,7,58.3
2003,8,55.1
2003,9,49.1
2003,10,43.5
2003,11,30.8
2003,12,32.1
2004,1,25.5
2004,2,35.7
2004,3,34.9
2004,4,41.2
2004,5,51.9
2004,6,58.2
2004,7,59.8
2004,8,59.6
2004,9,49.0
2004,10,41.4
2004,11,37.4
2004,12,32.4
2005,1,25.6
2005,2,29.5
2005,3,37.6
2005,4,44.3
2005,5,53.0
2005,6,56.3
2005,7,54.6
2005,8,57.0
2005,9,50.6
2005,10,42.0
2005,11,35.5
2005,12,34.1
2006,1,30.0
2006,2,28.7
2006,3,28.0
2006,4,39.1
2006,5,47.7
2006,6,54.3
2006,7,56.5
2006,8,52.8
2006,9,50.0
2006,10,42.3
2006,11,20.0
2006,12,34.3
2007,1,31.3
2007,2,25.4
2007,3,28.7
2007,4,39.2
2007,5,46.9
2007,6,54.2
2007,7,56.0
2007,8,56.4
2007,9,49.8
2007,10,42.1
2007,11,35.5
2007,12,27.6
2008,1,26.6
2008,2,28.2
2008,3,35.0
2008,4,38.5
2008,5,48.2
2008,6,51.2
2008,7,52.9
2008,8,53.6
2008,9,49.4
2008,10,41.3
2008,11,35.4
2008,12,22.8
2009,1,26.3
2009,2,27.7
2009,3,29.3
2009,4,39.1
2009,5,48.5
2009,6,55.0
2009,7,60.2
2009,8,55.7
2009,9,49.7
2009,10,42.9
2009,11,35.3
2009,12,28.0
2010,1,29.9
2010,2,36.0
2010,3,36.8
2010,4,41.6
2010,5,51.2
2010,6,53.9
2010,7,54.5
2010,8,56.4
2010,9,50.5
2010,10,43.0
2010,11,34.6
2010,12,24.0
2011,1,28.4
2011,2,25.8
2011,3,29.0
2011,4,39.2
2011,5,48.2
2011,6,54.1
2011,7,56.0
2011,8,53.0
2011,9,49.2
2011,10,42.2
2011,11,30.2
2011,12,34.1
2012,1,27.1
2012,2,33.8
2012,3,33.3
2012,4,41.9
2012,5,44.5
2012,6,51.5
2012,7,54.8
2012,8,54.4
2012,9,49.5
2012,10,38.9
2012,11,30.3
2012,12,24.1
2013,1,31.2
2013,2,35.4
2013,3,30.1
2013,4,36.4
2013,5,48.3
2013,6,57.7
2013,7,57.5
2013,8,58.1
2013,9,51.8
2013,10,44.9
2013,11,31.3
2013,12,27.8
2014,1,36.5
2014,2,24.0
2014,3,31.9
2014,4,41.2
2014,5,52.8
2014,6,53.1
2014,7,57.1
2014,8,56.8
2014,9,51.6
2014,10,44.0
2014,11,34.7
2014,12,33.2
2015,1,35.5
2015,2,31.6
2015,3,37.2
2015,4,41.7
2015,5,54.7
2015,6,57.2
2015,7,57.4
2015,8,56.6
2015,9,49.3
2015,10,44.5
2015,11,36.4
2015,12,32.2
2016,1,34.8
2016,2,37.5
2016,3,39.8
2016,4,44.9
2016,5,52.1
2016,6,56.6
2016,7,59.5
2016,8,58.2
2016,9,51.4
2016,10,40.4
2016,11,36.8
2016,12,26.3
2017,1,30.0
2017,2,30.1
2017,3,27.8
2017,4,43.4
2017,5,49.6
2017,6,53.0
2017,7,55.2
2017,8,56.8
2017,9,51.4
2017,10,41.9
2017,11,27.9
2017,12,31.8
2018,1,29.1
2018,2,23.8
2018,3,32.2
2018,4,40.5
2018,5,49.0
2018,6,55.0
2018,7,60.9
2018,8,57.5
2018,9,49.9
2018,10,45.7
2018,11,38.6
2018,12,33.3
2019,1,30.4
2019,2,24.0
2019,3,37.6
2019,4,42.3
2019,5,52.0
2019,6,57.0
2019,7,60.6
2019,8,58.4
2019,9,51.7
2019,10,41.6
2019,11,38.6
2019,12,37.0
2020,1,26.6
2020,2,33.9
2020,3,31.5
2020,4,39.7
2020,5,51.8
2020,6,53.0
2020,7,57.6
2020,8,54.8
2020,9,51.1
2020,10,42.0
2020,11,31.9
2020,12,36.8
2021,1,34.2
2021,2,26.4
2021,3,33.2
2021,4,40.4
2021,5,47.4
2021,6,56.4
2021,7,58.7
2021,8,56.9
2021,9,50.7
2021,10,41.4
2021,11,34.8
2021,12,22.1
2022,1,29.5
2022,2,34.5
2022,3,36.5
2022,4,39.2
2022,5,49.1
2022,6,58.0
2022,7,58.2
2022,8,57.7
2022,9,52.2
2022,10,46.1
2022,11,32.8
2022,12,25.2
2023,1,34.7
2023,2,30.1
2023,3,30.8
2023,4,40.4
2023,5,50.1
2023,6,54.9
2023,7,60.5
2023,8,58.4
2023,9,50.8
2023,10,43.5
2023,11,38.8
2023,12,36.2
2024,1,28.5
2024,2,30.1
2024,3,34.9
2024,4,41.8
2024,5,47.5
2024,6,56.8
2024,7,55.9
2024,8,57.0
2024,9,50.3
2024,10,40.0
2024,11,37.4
