year,month,tavg
2001,1,54.4
2001,2,57.1
2001,3,65.8
2001,4,71.8
2001,5,87.1
2001,6,92.2
2001,7,94.9
2001,8,94.9
2001,9,92.4
2001,10,79.6
2001,11,68.6
2001,12,54.0
2002,1,56.2
2002,2,61.6
2002,3,65.4
2002,4,74.2
2002,5,81.9
2002,6,93.8
2002,7,96.3
2002,8,95.3
2002,9,90.0
2002,10,75.4
2002,11,67.0
2002,12,55.5
2003,1,62.2
2003,2,59.6
2003,3,64.9
2003,4,70.4
2003,5,83.6
2003,6,92.2
2003,7,98.0
2003,8,94.8
2003,9,91.0
2003,10,83.0
2003,11,62.1
2003,12,57.0
2004,1,57.7
2004,2,56.1
2004,3,72.6
2004,4,73.0
2004,5,83.7
2004,6,91.4
2004,7,94.7
2004,8,93.0
2004,9,88.3
2004,10,75.5
2004,11,61.2
2004,12,56.3
2005,1,58.0
2005,2,59.4
2005,3,64.1
2005,4,72.6
2005,5,82.5
2005,6,90.7
2005,7,97.4
2005,8,91.7
2005,9,89.4
2005,10,77.9
2005,11,65.9
2005,12,56.2
2006,1,57.3
2006,2,61.7
2006,3,62.2
2006,4,73.0
2006,5,85.5
2006,6,95.0
2006,7,96.4
2006,8,92.3
2006,9,85.7
2006,10,75.6
2006,11,66.7
2006,12,53.6
2007,1,52.3
2007,2,59.5
2007,3,68.9
2007,4,73.9
2007,5,85.1
2007,6,93.5
2007,7,95.7
2007,8,95.9
2007,9,89.9
2007,10,77.9
2007,11,69.6
2007,12,52.5
2008,1,54.5
2008,2,57.6
2008,3,66.8
2008,4,74.7
2008,5,79.1
2008,6,94.0
2008,7,94.9
2008,8,93.1
2008,9,89.7
2008,10,78.0
2008,11,66.5
2008,12,55.1
2009,1,58.6
2009,2,60.3
2009,3,67.6
2009,4,72.2
2009,5,87.0
2009,6,89.1
2009,7,98.2
2009,8,95.6
2009,9,90.1
2009,10,74.3
2009,11,67.0
2009,12,53.3
2010,1,56.9
2010,2,58.6
2010,3,62.8
2010,4,70.9
2010,5,79.2
2010,6,92.0
2010,7,96.1
2010,8,94.2
2010,9,91.7
2010,10,77.2
2010,11,62.6
2010,12,58.9
2011,1,55.2
2011,2,55.0
2011,3,68.1
2011,4,74.6
2011,5,79.5
2011,6,92.0
2011,7,95.3
2011,8,98.1
2011,9,90.9
2011,10,78.7
2011,11,62.8
2011,12,52.5
2012,1,58.3
2012,2,60.1
2012,3,65.8
2012,4,75.8
2012,5,85.3
2012,6,94.7
2012,7,93.4
2012,8,95.5
2012,9,88.5
2012,10,78.8
2012,11,67.8
2012,12,56.1
2013,1,53.3
2013,2,56.9
2013,3,69.7
2013,4,76.0
2013,5,84.8
2013,6,95.8
2013,7,95.4
2013,8,94.3
2013,9,88.9
2013,10,74.8
2013,11,66.3
2013,12,55.8
2014,1,59.2
2014,2,64.2
2014,3,69.3
2014,4,75.7
2014,5,83.8
2014,6,94.4
2014,7,96.3
2014,8,91.6
2014,9,89.0
2014,10,79.5
2014,11,65.9
2014,12,57.5
2015,1,58.0
2015,2,65.2
2015,3,72.1
2015,4,74.8
2015,5,79.1
2015,6,94.5
2015,7,94.8
2015,8,96.3
2015,9,89.6
2015,10,79.3
2015,11,61.9
2015,12,53.5
2016,1,55.2
2016,2,65.8
2016,3,69.8
2016,4,74.0
2016,5,80.2
2016,6,95.4
2016,7,97.5
2016,8,92.3
2016,9,86.9
2016,10,80.9
2016,11,67.3
2016,12,57.2
2017,1,54.9
2017,2,61.7
2017,3,70.8
2017,4,75.8
2017,5,82.3
2017,6,95.2
2017,7,94.9
2017,8,94.4
2017,9,87.8
2017,10,80.5
2017,11,70.6
2017,12,58.7
2018,1,60.7
2018,2,59.8
2018,3,66.7
2018,4,78.1
2018,5,84.1
2018,6,93.3
2018,7,96.2
2018,8,94.2
2018,9,92.2
2018,10,73.7
2018,11,63.3
2018,12,55.3
2019,1,55.3
2019,2,53.8
2019,3,65.7
2019,4,75.7
2019,5,76.5
2019,6,91.7
2019,7,97.3
2019,8,96.7
2019,9,88.8
2019,10,76.0
2019,11,66.0
2019,12,55.5
2020,1,56.2
2020,2,58.8
2020,3,64.2
2020,4,74.5
2020,5,87.2
2020,6,92.8
2020,7,99.1
2020,8,99.4
2020,9,91.7
2020,10,80.6
2020,11,67.4
2020,12,55.6
2021,1,55.7
2021,2,60.8
2021,3,64.0
2021,4,77.4
2021,5,83.9
2021,6,96.1
2021,7,93.4
2021,8,92.8
2021,9,89.0
2021,10,74.9
2021,11,69.9
2021,12,58.7
2022,1,57.3
2022,2,59.1
2022,3,67.0
2022,4,76.9
2022,5,85.0
2022,6,94.6
2022,7,96.8
2022,8,92.7
2022,9,90.9
2022,10,77.2
2022,11,60.1
2022,12,54.8
2023,1,53.4
2023,2,56.7
2023,3,61.5
2023,4,74.4
2023,5,83.5
2023,6,89.7
2023,7,103.1
2023,8,98.6
2023,9,91.0
2023,10,81.8
2023,11,69.1
2023,12,59.6
2024,1,55.3
2024,2,60.9
2024,3,64.7
2024,4,74.2
2024,5,84.6
2024,6,97.2
2024,7,101.2
2024,8,98.0
2024,9,94.4
2024,10,65.8
2024,11,66.2
