year,month,tavg
2001,1,39.7
2001,2,47.1
2001,3,50.9
2001,4,69.7
2001,5,73.7
2001,6,79.8
2001,7,85.3
2001,8,83.8
2001,9,74.3
2001,10,62.9
2001,11,
2001,12,
2002,1,47.3
2002,2,45.5
2002,3,51.1
2002,4,67.8
2002,5,70.6
2002,6,81.2
2002,7,84.5
2002,8,84.0
2002,9,78.5
2002,10,61.7
2002,11,
2002,12,
2003,1,
2003,2,
2003,3,
2003,4,
2003,5,
2003,6,
2003,7,
2003,8,
2003,9,
2003,10,
2003,11,
2003,12,
2004,1,
2004,2,
2004,3,
2004,4,
2004,5,
2004,6,
2004,7,
2004,8,
2004,9,
2004,10,
2004,11,
2004,12,
2005,1,
2005,2,
2005,3,
2005,4,
2005,5,
2005,6,
2005,7,
2005,8,
2005,9,
2005,10,
2005,11,
2005,12,
2006,1,
2006,2,
2006,3,
2006,4,
2006,5,
2006,6,
2006,7,
2006,8,
2006,9,
2006,10,
2006,11,
2006,12,
2007,1,
2007,2,
2007,3,
2007,4,
2007,5,
2007,6,
2007,7,
2007,8,
2007,9,
2007,10,
2007,11,
2007,12,
2008,1,
2008,2,
2008,3,
2008,4,
2008,5,
2008,6,
2008,7,
2008,8,
2008,9,
2008,10,
2008,11,
2008,12,
2009,1,
2009,2,
2009,3,
2009,4,
2009,5,
2009,6,
2009,7,
2009,8,
2009,9,
2009,10,
2009,11,
2009,12,
2010,1,
2010,2,
2010,3,
2010,4,
2010,5,
2010,6,
2010,7,
2010,8,
2010,9,
2010,10,
2010,11,
2010,12,
2011,1,
2011,2,
2011,3,
2011,4,
2011,5,
2011,6,
2011,7,
2011,8,
2011,9,
2011,10,
2011,11,
2011,12,
2012,1,
2012,2,
2012,3,
2012,4,
2012,5,
2012,6,
2012,7,
2012,8,
2012,9,
2012,10,
2012,11,
2012,12,
2013,1,
2013,2,
2013,3,
2013,4,
2013,5,
2013,6,
2013,7,
2013,8,
2013,9,
2013,10,
2013,11,
2013,12,
2014,1,
2014,2,
2014,3,
2014,4,
2014,5,
2014,6,
2014,7,
2014,8,
2014,9,
2014,10,
2014,11,
2014,12,
2015,1,
2015,2,
2015,3,
2015,4,
2015,5,
2015,6,
2015,7,
2015,8,
2015,9,
2015,10,
2015,11,
2015,12,
2016,1,
2016,2,
2016,3,
2016,4,
2016,5,
2016,6,
2016,7,
2016,8,
2016,9,
2016,10,
2016,11,
2016,12,
2017,1,
2017,2,
2017,3,
2017,4,
2017,5,
2017,6,
2017,7,
2017,8,
2017,9,
2017,10,
2017,11,
2017,12,
2018,1,
2018,2,
2018,3,
2018,4,
2018,5,
2018,6,
2018,7,82.1
2018,8,81.2
2018,9,76.0
2018,10,63.8
2018,11,47.5
2018,12,45.3
2019,1,42.2
2019,2,47.6
2019,3,50.8
2019,4,63.1
2019,5,72.5
2019,6,77.5
2019,7,82.3
2019,8,83.6
2019,9,82.9
2019,10,63.0
2019,11,48.6
2019,12,47.4
2020,1,45.6
2020,2,46.0
2020,3,58.1
2020,4,60.6
2020,5,68.4
2020,6,79.2
2020,7,84.4
2020,8,81.2
2020,9,72.6
2020,10,59.3
2020,11,53.9
2020,12,42.5
2021,1,40.6
2021,2,33.7
2021,3,55.2
2021,4,57.7
2021,5,65.5
2021,6,75.6
2021,7,78.0
2021,8,78.9
2021,9,74.9
2021,10,66.6
2021,11,51.1
2021,12,55.0
2022,1,39.8
2022,2,43.2
2022,3,53.7
2022,4,61.7
2022,5,73.4
2022,6,80.7
2022,7,85.8
2022,8,81.3
2022,9,76.1
2022,10,64.7
2022,11,51.6
2022,12,45.7
2023,1,49.0
2023,2,51.5
2023,3,56.0
2023,4,62.9
2023,5,73.8
2023,6,80.7
2023,7,83.4
2023,8,84.6
2023,9,78.0
2023,10,67.0
2023,11,54.2
2023,12,48.7
2024,1,38.5
2024,2,54.4
2024,3,58.5
2024,4,66.1
2024,5,75.5
2024,6,81.6
2024,7,82.2
2024,8,83.2
2024,9,76.1
2024,10,67.7
2024,11,59.2
