year,month,tavg
2001,1,46.0
2001,2,49.1
2001,3,57.4
2001,4,56.1
2001,5,71.9
2001,6,73.6
2001,7,73.6
2001,8,74.7
2001,9,71.3
2001,10,66.0
2001,11,56.2
2001,12,49.0
2002,1,45.1
2002,2,51.0
2002,3,52.8
2002,4,54.5
2002,5,64.3
2002,6,72.4
2002,7,76.3
2002,8,73.7
2002,9,73.1
2002,10,62.9
2002,11,54.6
2002,12,50.0
2003,1,51.0
2003,2,50.4
2003,3,56.0
2003,4,54.5
2003,5,65.4
2003,6,72.9
2003,7,79.6
2003,8,75.4
2003,9,73.9
2003,10,66.7
2003,11,51.6
2003,12,49.3
2004,1,47.2
2004,2,51.1
2004,3,60.0
2004,4,62.7
2004,5,67.1
2004,6,72.5
2004,7,75.3
2004,8,75.9
2004,9,72.4
2004,10,62.4
2004,11,51.5
2004,12,46.9
2005,1,45.9
2005,2,52.7
2005,3,56.5
2005,4,57.4
2005,5,65.3
2005,6,69.5
2005,7,79.0
2005,8,74.3
2005,9,67.0
2005,10,62.1
2005,11,53.8
2005,12,49.1
2006,1,48.3
2006,2,50.1
2006,3,49.4
2006,4,56.8
2006,5,65.8
2006,6,72.9
2006,7,77.8
2006,8,70.7
2006,9,68.2
2006,10,59.3
2006,11,52.8
2006,12,45.5
2007,1,43.1
2007,2,50.3
2007,3,57.0
2007,4,59.3
2007,5,65.1
2007,6,70.5
2007,7,73.2
2007,8,73.2
2007,9,66.8
2007,10,59.8
2007,11,53.7
2007,12,45.5
2008,1,45.3
2008,2,49.0
2008,3,53.9
2008,4,57.4
2008,5,66.0
2008,6,71.6
2008,7,73.0
2008,8,73.9
2008,9,70.0
2008,10,62.5
2008,11,54.3
2008,12,44.2
2009,1,46.3
2009,2,50.4
2009,3,54.0
2009,4,58.7
2009,5,67.4
2009,6,69.7
2009,7,73.2
2009,8,73.1
2009,9,73.3
2009,10,61.1
2009,11,51.8
2009,12,45.0
2010,1,48.5
2010,2,52.0
2010,3,53.5
2010,4,55.2
2010,5,60.8
2010,6,71.3
2010,7,71.6
2010,8,69.7
2010,9,70.6
2010,10,63.4
2010,11,51.8
2010,12,50.1
2011,1,45.5
2011,2,48.1
2011,3,53.1
2011,4,57.5
2011,5,60.5
2011,6,68.2
2011,7,72.9
2011,8,71.8
2011,9,72.8
2011,10,62.6
2011,11,50.6
2011,12,44.3
2012,1,46.6
2012,2,50.7
2012,3,52.6
2012,4,58.9
2012,5,66.2
2012,6,70.2
2012,7,72.7
2012,8,73.8
2012,9,70.6
2012,10,63.3
2012,11,54.1
2012,12,47.2
2013,1,43.1
2013,2,48.4
2013,3,56.5
2013,4,63.0
2013,5,67.3
2013,6,72.4
2013,7,74.3
2013,8,72.0
2013,9,69.6
2013,10,61.2
2013,11,54.2
2013,12,43.7
2014,1,48.9
2014,2,53.1
2014,3,58.2
2014,4,60.6
2014,5,68.0
2014,6,72.3
2014,7,75.1
2014,8,73.1
2014,9,72.2
2014,10,66.8
2014,11,55.1
2014,12,53.1
2015,1,48.4
2015,2,55.2
2015,3,60.5
2015,4,61.1
2015,5,63.0
2015,6,74.1
2015,7,75.1
2015,8,74.4
2015,9,72.4
2015,10,68.3
2015,11,50.4
2015,12,46.8
2016,1,50.1
2016,2,54.0
2016,3,56.8
2016,4,62.2
2016,5,66.9
2016,6,73.3
2016,7,74.3
2016,8,71.5
2016,9,69.7
2016,10,61.7
2016,11,54.2
2016,12,44.8
2017,1,46.3
2017,2,52.2
2017,3,56.0
2017,4,58.6
2017,5,66.4
2017,6,73.0
2017,7,76.8
2017,8,74.6
2017,9,72.3
2017,10,63.0
2017,11,54.4
2017,12,46.0
2018,1,49.5
2018,2,49.5
2018,3,53.0
2018,4,58.6
2018,5,63.8
2018,6,71.2
2018,7,75.6
2018,8,71.7
2018,9,69.3
2018,10,64.1
2018,11,52.8
2018,12,48.5
2019,1,49.6
2019,2,47.4
2019,3,53.4
2019,4,61.8
2019,5,61.4
2019,6,72.8
2019,7,74.2
2019,8,75.9
2019,9,71.1
2019,10,61.7
2019,11,54.0
2019,12,49.8
2020,1,48.4
2020,2,53.0
2020,3,53.4
2020,4,60.8
2020,5,68.3
2020,6,73.2
2020,7,74.1
2020,8,77.7
2020,9,73.6
2020,10,67.0
2020,11,51.7
2020,12,47.0
2021,1,48.5
2021,2,52.1
2021,3,53.1
2021,4,60.7
2021,5,67.7
2021,6,72.5
2021,7,74.9
2021,8,73.4
2021,9,71.5
2021,10,60.8
2021,11,53.3
2021,12,45.8
2022,1,46.9
2022,2,50.3
2022,3,56.9
2022,4,59.8
2022,5,66.8
2022,6,74.6
2022,7,74.0
2022,8,76.0
2022,9,74.5
2022,10,65.0
2022,11,48.9
2022,12,45.4
2023,1,49.0
2023,2,47.1
2023,3,50.4
2023,4,59.2
2023,5,62.9
2023,6,67.2
2023,7,76.0
2023,8,76.0
2023,9,69.2
2023,10,64.2
2023,11,54.3
2023,12,50.3
2024,1,50.5
2024,2,51.7
2024,3,54.3
2024,4,58.8
2024,5,66.1
2024,6,74.1
2024,7,79.2
2024,8,74.0
2024,9,71.6
2024,10,63.1
