year,month,stateDescription,sectorName,price,revenue,sales
2001,1,Wyoming,all sectors,4.31,48.1284,1116.17208
2001,1,South Dakota,all sectors,5.85,46.98518,803.24177
2001,1,Tennessee,all sectors,5.59,539.11548,9648.54559
2001,1,Texas,all sectors,6.9,1903.81241,27583.76887
2001,1,Utah,all sectors,4.67,95.25759,2039.95489
2001,1,Vermont,all sectors,10.95,57.13107,521.78491
2001,1,Virginia,all sectors,5.86,561.38052,9575.83865
2001,1,Washington,all sectors,4.79,440.50524,9204.63376
2001,1,West Virginia,all sectors,4.98,148.07544,2973.23837
2001,1,Wisconsin,all sectors,5.9,335.56099,5689.51118
2001,1,Alabama,all sectors,5.54,407.61261,7362.47302
2001,1,Maine,all sectors,11.15,119.42813,1071.48042
2001,1,Maryland,all sectors,5.93,350.82797,5921.09634
2001,1,Massachusetts,all sectors,10.9,507.58804,4658.51429
2001,1,Michigan,all sectors,7.02,621.80929,8860.09969
2001,1,Minnesota,all sectors,5.54,295.24614,5328.80942
2001,1,Mississippi,all sectors,5.93,234.07006,3947.3157
2001,1,Missouri,all sectors,5.26,365.03846,6937.6713
2001,1,Montana,all sectors,5.35,62.82552,1174.05215
2001,1,Nebraska,all sectors,4.77,101.79898,2133.84281
2001,1,Nevada,all sectors,6.44,137.57941,2137.54432
2001,1,New Hampshire,all sectors,11.77,114.80131,975.7793
2001,1,New Jersey,all sectors,9.05,571.11042,6308.5494
2001,1,New Mexico,all sectors,6.91,110.75664,1601.85561
2001,1,New York,all sectors,11.53,1469.53678,12747.77381
2001,1,North Carolina,all sectors,6.38,739.91499,11600.78455
2001,1,North Dakota,all sectors,5.03,48.17154,957.27783
2001,1,Ohio,all sectors,6.28,922.14789,14678.14253
2001,1,Oklahoma,all sectors,5.98,255.48524,4270.22928
2001,1,Oregon,all sectors,5.03,242.55279,4826.70266
2001,1,Rhode Island,all sectors,11.27,71.54902,635.08412
2001,1,South Carolina,all sectors,6.02,428.96573,7126.32364
2001,1,Alaska,all sectors,9.97,51.96404,521.03566
2001,1,Arizona,all sectors,6.35,304.10688,4786.79176
2001,1,Georgia,all sectors,5.9,647.67015,10979.03329
2001,1,Hawaii,all sectors,14.56,119.21667,818.66883
2001,1,Idaho,all sectors,4.43,89.90277,2028.51282
2001,1,Illinois,all sectors,5.87,727.44186,12382.56439
2001,1,Indiana,all sectors,5.05,456.65795,9047.41026
2001,1,Iowa,all sectors,5.72,194.53694,3401.01828
2001,1,Kansas,all sectors,5.8,172.30557,2971.60356
2001,1,Kentucky,all sectors,4.13,315.32479,7639.67239
2001,1,Louisiana,all sectors,7.37,484.37397,6571.66656
2001,1,Arkansas,all sectors,5.69,216.58535,3804.21013
2001,1,California,all sectors,8.71,1893.25678,21744.31668
2001,1,Colorado,all sectors,5.55,214.82303,3867.27174
2001,1,Connecticut,all sectors,9.76,269.39763,2760.24072
2001,1,Delaware,all sectors,6.11,65.22867,1067.79872
2001,1,Florida,all sectors,7.43,1365.74672,18376.60789
2001,1,Pennsylvania,all sectors,7.68,976.21567,12706.26892
2001,2,Massachusetts,all sectors,10.93,458.52448,4195.08441
2001,2,Michigan,all sectors,6.91,547.81756,7930.55347
