year,month,tavg
2001,1,
2001,2,
2001,3,
2001,4,
2001,5,
2001,6,
2001,7,
2001,8,
2001,9,
2001,10,
2001,11,
2001,12,
2002,1,
2002,2,
2002,3,
2002,4,
2002,5,
2002,6,
2002,7,
2002,8,
2002,9,
2002,10,
2002,11,
2002,12,
2003,1,
2003,2,
2003,3,
2003,4,
2003,5,
2003,6,
2003,7,
2003,8,
2003,9,
2003,10,
2003,11,
2003,12,
2004,1,
2004,2,
2004,3,
2004,4,
2004,5,
2004,6,
2004,7,
2004,8,
2004,9,
2004,10,
2004,11,
2004,12,
2005,1,34.0
2005,2,35.8
2005,3,39.7
2005,4,46.5
2005,5,57.7
2005,6,65.9
2005,7,77.1
2005,8,69.0
2005,9,66.0
2005,10,51.1
2005,11,42.5
2005,12,30.5
2006,1,38.2
2006,2,31.0
2006,3,39.2
2006,4,51.8
2006,5,60.1
2006,6,72.4
2006,7,73.9
2006,8,70.2
2006,9,57.3
2006,10,47.9
2006,11,40.9
2006,12,31.7
2007,1,22.7
2007,2,30.8
2007,3,45.7
2007,4,46.3
2007,5,57.0
2007,6,67.8
2007,7,74.5
2007,8,72.2
2007,9,63.9
2007,10,52.7
2007,11,41.1
2007,12,27.8
2008,1,27.6
2008,2,33.4
2008,3,38.9
2008,4,45.9
2008,5,55.1
2008,6,67.1
2008,7,75.5
2008,8,69.4
2008,9,60.2
2008,10,50.7
2008,11,42.5
2008,12,28.5
2009,1,34.2
2009,2,37.8
2009,3,42.0
2009,4,44.9
2009,5,57.6
2009,6,62.5
2009,7,68.7
2009,8,69.4
2009,9,61.8
2009,10,41.4
2009,11,41.4
2009,12,24.2
2010,1,30.5
2010,2,28.0
2010,3,39.9
2010,4,47.2
2010,5,54.1
2010,6,67.9
2010,7,72.6
2010,8,72.6
2010,9,66.7
2010,10,54.0
2010,11,38.0
2010,12,34.5
2011,1,29.6
2011,2,29.5
2011,3,43.1
2011,4,47.2
2011,5,51.9
2011,6,67.7
2011,7,73.8
2011,8,75.2
2011,9,62.9
2011,10,51.5
2011,11,39.4
2011,12,27.2
2012,1,35.6
2012,2,28.5
2012,3,48.5
2012,4,52.9
2012,5,59.5
2012,6,74.1
2012,7,76.1
2012,8,73.5
2012,9,64.7
2012,10,48.4
2012,11,43.3
2012,12,31.1
2013,1,30.9
2013,2,29.6
2013,3,37.8
2013,4,41.5
2013,5,56.6
2013,6,70.4
2013,7,72.6
2013,8,71.9
2013,9,64.7
2013,10,46.3
2013,11,40.5
2013,12,28.8
2014,1,31.5
2014,2,29.2
2014,3,40.2
2014,4,48.2
2014,5,56.0
2014,6,66.0
2014,7,71.0
2014,8,67.9
2014,9,63.3
2014,10,53.7
2014,11,35.1
2014,12,31.0
2015,1,33.9
2015,2,33.3
2015,3,44.4
2015,4,48.1
2015,5,51.6
2015,6,67.7
2015,7,70.5
2015,8,71.8
2015,9,68.2
2015,10,55.3
2015,11,37.6
2015,12,30.1
2016,1,31.9
2016,2,38.0
2016,3,41.3
2016,4,46.7
2016,5,53.4
2016,6,70.4
2016,7,74.6
2016,8,69.8
2016,9,65.0
2016,10,57.4
2016,11,45.0
2016,12,29.3
2017,1,29.7
2017,2,40.1
2017,3,47.8
2017,4,48.5
2017,5,54.7
2017,6,68.7
2017,7,73.8
2017,8,68.9
2017,9,63.5
2017,10,49.3
2017,11,44.9
2017,12,33.2
2018,1,34.8
2018,2,30.0
2018,3,42.7
2018,4,47.9
2018,5,60.4
2018,6,71.4
2018,7,73.1
2018,8,69.6
2018,9,65.3
2018,10,46.5
2018,11,34.9
2018,12,29.4
2019,1,30.9
2019,2,27.5
2019,3,34.5
2019,4,49.4
2019,5,53.7
2019,6,67.4
2019,7,77.2
2019,8,75.6
2019,9,69.5
2019,10,44.2
2019,11,37.4
2019,12,31.5
2020,1,32.3
2020,2,31.3
2020,3,43.8
2020,4,48.6
2020,5,61.3
2020,6,72.7
2020,7,77.0
2020,8,78.0
2020,9,65.9
2020,10,51.1
2020,11,41.6
2020,12,31.4
2021,1,31.6
2021,2,28.7
2021,3,40.1
2021,4,47.2
2021,5,57.0
2021,6,72.6
2021,7,76.9
2021,8,75.4
2021,9,68.6
2021,10,51.6
2021,11,44.6
2021,12,36.0
2022,1,30.3
2022,2,30.4
2022,3,40.7
2022,4,49.6
2022,5,58.4
2022,6,70.2
2022,7,76.7
2022,8,74.5
2022,9,68.1
2022,10,51.5
2022,11,34.9
2022,12,29.0
2023,1,27.8
2023,2,31.7
2023,3,36.5
2023,4,47.3
2023,5,59.5
2023,6,65.5
2023,7,75.4
2023,8,74.1
2023,9,66.4
2023,10,51.7
2023,11,40.4
2023,12,33.5
2024,1,26.9
2024,2,36.7
2024,3,41.4
2024,4,50.5
2024,5,56.9
2024,6,73.5
2024,7,75.3
2024,8,74.4
2024,9,68.0
2024,10,56.7
2024,11,42.3
