year,month,tavg
2001,1,25.7
2001,2,28.5
2001,3,34.5
2001,4,49.8
2001,5,59.8
2001,6,67.2
2001,7,70.0
2001,8,75.4
2001,9,63.6
2001,10,53.7
2001,11,46.4
2001,12,37.1
2002,1,34.3
2002,2,34.9
2002,3,39.3
2002,4,52.2
2002,5,57.4
2002,6,67.3
2002,7,75.3
2002,8,74.2
2002,9,67.1
2002,10,50.4
2002,11,40.7
2002,12,30.1
2003,1,20.4
2003,2,23.9
2003,3,37.5
2003,4,46.5
2003,5,57.1
2003,6,67.3
2003,7,71.0
2003,8,74.6
2003,9,64.6
2003,10,50.2
2003,11,44.6
2003,12,33.4
2004,1,20.8
2004,2,31.4
2004,3,39.8
2004,4,50.2
2004,5,61.9
2004,6,68.4
2004,7,72.8
2004,8,72.3
2004,9,66.0
2004,10,52.7
2004,11,44.0
2004,12,32.8
2005,1,25.9
2005,2,31.3
2005,3,34.9
2005,4,51.9
2005,5,55.5
2005,6,71.9
2005,7,74.7
2005,8,75.3
2005,9,68.7
2005,10,54.4
2005,11,45.2
2005,12,30.5
2006,1,35.5
2006,2,31.7
2006,3,39.4
2006,4,51.6
2006,5,59.2
2006,6,69.2
2006,7,76.6
2006,8,72.2
2006,9,63.6
2006,10,52.9
2006,11,48.1
2006,12,39.7
2007,1,33.3
2007,2,25.7
2007,3,37.1
2007,4,47.1
2007,5,62.4
2007,6,69.3
2007,7,73.4
2007,8,73.2
2007,9,67.2
2007,10,60.1
2007,11,41.8
2007,12,31.6
2008,1,32.1
2008,2,31.5
2008,3,38.5
2008,4,52.3
2008,5,57.8
2008,6,71.0
2008,7,75.5
2008,8,69.9
2008,9,65.5
2008,10,51.6
2008,11,42.4
2008,12,34.1
2009,1,23.7
2009,2,32.7
2009,3,39.4
2009,4,52.5
2009,5,60.6
2009,6,66.4
2009,7,71.3
2009,8,74.7
2009,9,63.9
2009,10,52.2
2009,11,48.3
2009,12,32.9
2010,1,29.6
2010,2,32.6
2010,3,46.3
2010,4,55.5
2010,5,64.2
2010,6,72.4
2010,7,78.8
2010,8,74.6
2010,9,69.2
2010,10,55.1
2010,11,44.1
2010,12,30.9
2011,1,24.9
2011,2,29.3
2011,3,38.2
2011,4,51.6
2011,5,62.1
2011,6,70.2
2011,7,77.6
2011,8,73.9
2011,9,68.6
2011,10,54.8
2011,11,47.1
2011,12,38.6
2012,1,33.5
2012,2,37.4
2012,3,47.5
2012,4,52.7
2012,5,63.8
2012,6,68.7
2012,7,76.2
2012,8,74.5
2012,9,65.5
2012,10,56.8
2012,11,40.7
2012,12,37.0
2013,1,31.0
2013,2,31.1
2013,3,38.3
2013,4,49.6
2013,5,61.0
2013,6,69.7
2013,7,78.1
2013,8,71.4
2013,9,63.8
2013,10,55.1
2013,11,42.6
2013,12,33.1
2014,1,26.6
2014,2,27.4
2014,3,33.0
2014,4,48.7
2014,5,60.5
2014,6,69.2
2014,7,73.7
2014,8,70.1
2014,9,65.0
2014,10,55.7
2014,11,41.5
2014,12,36.0
2015,1,24.7
2015,2,18.0
2015,3,32.9
2015,4,49.0
2015,5,64.9
2015,6,67.4
2015,7,74.8
2015,8,74.8
2015,9,69.7
2015,10,53.2
2015,11,47.9
2015,12,44.9
2016,1,32.2
2016,2,34.1
2016,3,45.2
2016,4,50.4
2016,5,62.3
2016,6,71.8
2016,7,78.4
2016,8,78.5
2016,9,69.4
2016,10,54.3
2016,11,43.8
2016,12,33.8
2017,1,33.7
2017,2,35.8
2017,3,34.5
2017,4,53.3
2017,5,58.8
2017,6,69.4
2017,7,73.4
2017,8,71.8
2017,9,67.8
2017,10,60.8
2017,11,42.6
2017,12,29.9
2018,1,27.6
2018,2,37.3
2018,3,38.4
2018,4,45.4
2018,5,64.2
2018,6,68.9
2018,7,76.1
2018,8,76.1
2018,9,67.5
2018,10,53.7
2018,11,40.7
2018,12,35.7
2019,1,28.7
2019,2,32.0
2019,3,37.7
2019,4,51.0
2019,5,59.3
2019,6,69.4
2019,7,77.4
2019,8,73.0
2019,9,65.4
2019,10,55.7
2019,11,39.7
2019,12,33.4
2020,1,35.1
2020,2,35.6
2020,3,44.0
2020,4,47.3
2020,5,59.4
2020,6,71.8
2020,7,78.6
2020,8,75.5
2020,9,66.9
2020,10,55.5
2020,11,47.9
2020,12,36.2
2021,1,31.4
2021,2,31.1
2021,3,42.4
2021,4,51.5
2021,5,60.5
2021,6,72.6
2021,7,72.9
2021,8,75.5
2021,9,68.2
2021,10,58.8
2021,11,43.2
2021,12,38.8
2022,1,27.1
2022,2,33.3
2022,3,42.3
2022,4,51.2
2022,5,64.1
2022,6,70.1
2022,7,78.5
2022,8,77.5
2022,9,66.5
2022,10,54.6
2022,11,48.0
2022,12,36.5
2023,1,38.5
2023,2,36.2
2023,3,41.6
2023,4,54.5
2023,5,60.7
2023,6,68.3
2023,7,76.9
2023,8,72.3
2023,9,66.8
2023,10,57.8
2023,11,42.0
2023,12,40.4
2024,1,33.3
2024,2,35.6
2024,3,44.4
2024,4,50.9
2024,5,63.3
2024,6,72.8
2024,7,77.2
2024,8,72.2
2024,9,65.8
2024,10,54.2
