year,month,tavg
2001,1,35.0
2001,2,38.0
2001,3,45.5
2001,4,55.0
2001,5,64.5
2001,6,73.0
2001,7,77.5
2001,8,76.0
2001,9,69.5
2001,10,59.0
2001,11,49.0
2001,12,39.0
2002,1,35.0
2002,2,38.0
2002,3,45.5
2002,4,55.0
2002,5,64.5
2002,6,73.0
2002,7,77.5
2002,8,76.0
2002,9,69.5
2002,10,59.0
2002,11,49.0
2002,12,39.0
2003,1,35.0
2003,2,38.0
2003,3,45.5
2003,4,55.0
2003,5,64.5
2003,6,73.0
2003,7,77.5
2003,8,76.0
2003,9,69.5
2003,10,59.0
2003,11,49.0
2003,12,39.0
2004,1,35.0
2004,2,38.0
2004,3,45.5
2004,4,55.0
2004,5,64.5
2004,6,73.0
2004,7,77.5
2004,8,76.0
2004,9,69.5
2004,10,59.0
2004,11,49.0
2004,12,39.0
2005,1,35.0
2005,2,38.0
2005,3,45.5
2005,4,55.0
2005,5,64.5
2005,6,73.0
2005,7,77.5
2005,8,76.0
2005,9,69.5
2005,10,59.0
2005,11,49.0
2005,12,39.0
2006,1,35.0
2006,2,38.0
2006,3,45.5
2006,4,55.0
2006,5,64.5
2006,6,73.0
2006,7,77.5
2006,8,76.0
2006,9,69.5
2006,10,59.0
2006,11,49.0
2006,12,39.0
2007,1,35.0
2007,2,38.0
2007,3,45.5
2007,4,55.0
2007,5,64.5
2007,6,73.0
2007,7,77.5
2007,8,76.0
2007,9,69.5
2007,10,59.0
2007,11,49.0
2007,12,39.0
2008,1,35.0
2008,2,38.0
2008,3,45.5
2008,4,55.0
2008,5,64.5
2008,6,73.0
2008,7,77.5
2008,8,76.0
2008,9,69.5
2008,10,59.0
2008,11,49.0
2008,12,39.0
2009,1,35.0
2009,2,38.0
2009,3,45.5
2009,4,55.0
2009,5,64.5
2009,6,73.0
2009,7,77.5
2009,8,76.0
2009,9,69.5
2009,10,59.0
2009,11,49.0
2009,12,39.0
2010,1,35.0
2010,2,38.0
2010,3,45.5
2010,4,55.0
2010,5,64.5
2010,6,73.0
2010,7,77.5
2010,8,76.0
2010,9,69.5
2010,10,59.0
2010,11,49.0
2010,12,39.0
2011,1,35.0
2011,2,38.0
2011,3,45.5
2011,4,55.0
2011,5,64.5
2011,6,73.0
2011,7,77.5
2011,8,76.0
2011,9,69.5
2011,10,59.0
2011,11,49.0
2011,12,39.0
2012,1,35.0
2012,2,38.0
2012,3,45.5
2012,4,55.0
2012,5,64.5
2012,6,73.0
2012,7,77.5
2012,8,76.0
2012,9,69.5
2012,10,59.0
2012,11,49.0
2012,12,39.0
2013,1,35.0
2013,2,38.0
2013,3,45.5
2013,4,55.0
2013,5,64.5
2013,6,73.0
2013,7,77.5
2013,8,76.0
2013,9,69.5
2013,10,59.0
2013,11,49.0
2013,12,39.0
2014,1,35.0
2014,2,38.0
2014,3,45.5
2014,4,55.0
2014,5,64.5
2014,6,73.0
2014,7,77.5
2014,8,76.0
2014,9,69.5
2014,10,59.0
2014,11,49.0
2014,12,39.0
2015,1,35.0
2015,2,38.0
2015,3,45.5
2015,4,55.0
2015,5,64.5
2015,6,73.0
2015,7,77.5
2015,8,76.0
2015,9,69.5
2015,10,59.0
2015,11,49.0
2015,12,39.0
2016,1,35.0
2016,2,38.0
2016,3,45.5
2016,4,55.0
2016,5,64.5
2016,6,73.0
2016,7,77.5
2016,8,76.0
2016,9,69.5
2016,10,59.0
2016,11,49.0
2016,12,39.0
2017,1,35.0
2017,2,38.0
2017,3,45.5
2017,4,55.0
2017,5,64.5
2017,6,73.0
2017,7,77.5
2017,8,76.0
2017,9,69.5
2017,10,59.0
2017,11,49.0
2017,12,39.0
2018,1,35.0
2018,2,38.0
2018,3,45.5
2018,4,55.0
2018,5,64.5
2018,6,73.0
2018,7,77.5
2018,8,76.0
2018,9,69.5
2018,10,59.0
2018,11,49.0
2018,12,39.0
2019,1,35.0
2019,2,38.0
2019,3,45.5
2019,4,55.0
2019,5,64.5
2019,6,73.0
2019,7,77.5
2019,8,76.0
2019,9,69.5
2019,10,59.0
2019,11,49.0
2019,12,39.0
2020,1,35.0
2020,2,38.0
2020,3,45.5
2020,4,55.0
2020,5,64.5
2020,6,73.0
2020,7,77.5
2020,8,76.0
2020,9,69.5
2020,10,59.0
2020,11,49.0
2020,12,39.0
2021,1,35.0
2021,2,38.0
2021,3,45.5
2021,4,55.0
2021,5,64.5
2021,6,73.0
2021,7,77.5
2021,8,76.0
2021,9,69.5
2021,10,59.0
2021,11,49.0
2021,12,39.0
2022,1,35.0
2022,2,38.0
2022,3,45.5
2022,4,53.7
2022,5,64.6
2022,6,72.6
2022,7,78.5
2022,8,77.5
2022,9,69.2
2022,10,56.1
2022,11,50.3
2022,12,38.2
2023,1,43.6
2023,2,43.1
2023,3,45.3
2023,4,58.7
2023,5,61.2
2023,6,70.0
2023,7,78.2
2023,8,75.4
2023,9,69.8
2023,10,60.2
2023,11,47.3
2023,12,44.6
2024,1,38.5
2024,2,41.2
2024,3,48.8
2024,4,56.9
2024,5,65.5
2024,6,77.0
2024,7,79.6
2024,8,76.1
2024,9,69.6
2024,10,60.6
2024,11,49.0
