year,month,state,customers,price,revenue,sales
2001,1,Wyoming,,4.31,48.1284,1116.17208
2001,1,New England,,10.73,1139.8952,10622.88375
2001,1,South Dakota,,5.85,46.98518,803.24177
2001,1,Tennessee,,5.59,539.11548,9648.54559
2001,1,Texas,,6.9,1903.81241,27583.76887
2001,1,Utah,,4.67,95.25759,2039.95489
2001,1,Vermont,,10.95,57.13107,521.78491
2001,1,Virginia,,5.86,561.38052,9575.83865
2001,1,Washington,,4.79,440.50524,9204.63376
2001,1,West Virginia,,4.98,148.07544,2973.23837
2001,1,Wisconsin,,5.9,335.56099,5689.51118
2001,1,Alabama,,5.54,407.61261,7362.47302
2001,1,Maine,,11.15,119.42813,1071.48042
2001,1,Maryland,,5.93,350.82797,5921.09634
2001,1,Massachusetts,,10.9,507.58804,4658.51429
2001,1,Michigan,,7.02,621.80929,8860.09969
2001,1,Minnesota,,5.54,295.24614,5328.80942
2001,1,Mississippi,,5.93,234.07006,3947.3157
2001,1,Middle Atlantic,,9.5,3016.86287,31762.59213
2001,1,Pacific Contiguous,,7.2,2576.31481,35775.6531
2001,1,Pacific Noncontiguous,,12.78,171.18072,1339.70448
2001,1,U.S. Total,,6.75,20978.13373,310816.0688
2001,1,Missouri,,5.26,365.03846,6937.6713
2001,1,Montana,,5.35,62.82552,1174.05215
2001,1,Nebraska,,4.77,101.79898,2133.84281
2001,1,Nevada,,6.44,137.57941,2137.54432
2001,1,New Hampshire,,11.77,114.80131,975.7793
2001,1,New Jersey,,9.05,571.11042,6308.5494
2001,1,New Mexico,,6.91,110.75664,1601.85561
2001,1,New York,,11.53,1469.53678,12747.77381
2001,1,North Carolina,,6.38,739.91499,11600.78455
2001,1,North Dakota,,5.03,48.17154,957.27783
2001,1,Ohio,,6.28,922.14789,14678.14253
2001,1,Oklahoma,,5.98,255.48524,4270.22928
2001,1,Oregon,,5.03,242.55279,4826.70266
2001,1,Rhode Island,,11.27,71.54902,635.08412
2001,1,South Carolina,,6.02,428.96573,7126.32364
