year,month,tavg
2001,1,47.8
2001,2,60.0
2001,3,58.9
2001,4,67.4
2001,5,73.7
2001,6,79.5
2001,7,82.2
2001,8,80.7
2001,9,75.7
2001,10,67.1
2001,11,63.8
2001,12,57.9
2002,1,53.5
2002,2,52.2
2002,3,61.0
2002,4,72.6
2002,5,75.5
2002,6,80.3
2002,7,82.2
2002,8,81.6
2002,9,81.1
2002,10,71.5
2002,11,57.4
2002,12,50.7
2003,1,44.9
2003,2,55.1
2003,3,65.0
2003,4,66.7
2003,5,76.0
2003,6,79.6
2003,7,80.4
2003,8,81.1
2003,9,77.3
2003,10,69.8
2003,11,63.2
2003,12,48.5
2004,1,50.9
2004,2,52.0
2004,3,62.1
2004,4,64.4
2004,5,75.8
2004,6,81.0
2004,7,79.7
2004,8,81.8
2004,9,78.8
2004,10,72.4
2004,11,62.6
2004,12,50.6
2005,1,55.0
2005,2,56.3
2005,3,58.8
2005,4,62.7
2005,5,72.8
2005,6,80.3
2005,7,83.2
2005,8,81.2
2005,9,80.2
2005,10,70.4
2005,11,63.2
2005,12,51.7
2006,1,56.9
2006,2,53.8
2006,3,61.6
2006,4,70.5
2006,5,74.0
2006,6,79.3
2006,7,81.1
2006,8,82.1
2006,9,75.9
2006,10,67.8
2006,11,57.7
2006,12,57.2
2007,1,54.1
2007,2,51.8
2007,3,62.5
2007,4,65.1
2007,5,74.9
2007,6,79.6
2007,7,81.7
2007,8,83.1
2007,9,79.7
2007,10,72.5
2007,11,57.8
2007,12,57.7
2008,1,50.9
2008,2,55.9
2008,3,59.7
2008,4,67.1
2008,5,75.4
2008,6,79.4
2008,7,80.5
2008,8,79.8
2008,9,78.0
2008,10,66.9
2008,11,55.9
2008,12,56.3
2009,1,52.2
2009,2,51.5
2009,3,61.0
2009,4,67.5
2009,5,74.6
2009,6,82.3
2009,7,79.9
2009,8,79.5
2009,9,78.6
2009,10,71.3
2009,11,58.8
2009,12,53.3
2010,1,46.6
2010,2,46.6
2010,3,55.8
2010,4,67.6
2010,5,77.1
2010,6,82.3
2010,7,82.9
2010,8,82.3
2010,9,80.1
2010,10,67.8
2010,11,58.7
2010,12,44.3
2011,1,46.6
2011,2,55.2
2011,3,63.4
2011,4,69.6
2011,5,75.0
2011,6,82.5
2011,7,81.9
2011,8,83.7
2011,9,77.2
2011,10,65.8
2011,11,61.1
2011,12,56.6
2012,1,54.3
2012,2,58.8
2012,3,68.3
2012,4,69.4
2012,5,76.9
2012,6,79.1
2012,7,81.0
2012,8,79.4
2012,9,77.8
2012,10,69.5
2012,11,57.6
2012,12,55.9
2013,1,59.3
2013,2,55.4
2013,3,56.0
2013,4,68.1
2013,5,72.8
2013,6,80.9
2013,7,79.0
2013,8,80.8
2013,9,79.2
2013,10,70.7
2013,11,61.5
2013,12,58.6
2014,1,47.6
2014,2,56.7
2014,3,59.1
2014,4,67.5
2014,5,75.1
2014,6,81.0
2014,7,81.7
2014,8,82.9
2014,9,78.3
2014,10,68.6
2014,11,54.3
2014,12,56.3
2015,1,52.5
2015,2,50.8
2015,3,65.7
2015,4,73.1
2015,5,77.7
2015,6,80.8
2015,7,83.6
2015,8,82.6
2015,9,78.7
2015,10,72.0
2015,11,68.2
2015,12,64.4
2016,1,51.1
2016,2,54.8
2016,3,65.4
2016,4,69.2
2016,5,76.1
2016,6,82.0
2016,7,83.2
2016,8,83.0
2016,9,80.4
2016,10,72.8
2016,11,63.4
2016,12,59.9
2017,1,57.4
2017,2,61.7
2017,3,63.1
2017,4,70.0
2017,5,74.9
2017,6,78.1
2017,7,80.9
2017,8,81.3
2017,9,77.6
2017,10,71.9
2017,11,61.3
2017,12,55.3
2018,1,48.1
2018,2,64.1
2018,3,59.4
2018,4,66.3
2018,5,76.2
2018,6,80.6
2018,7,80.8
2018,8,79.8
2018,9,80.8
2018,10,73.3
2018,11,58.9
2018,12,55.8
2019,1,52.8
2019,2,62.4
2019,3,60.9
2019,4,67.2
2019,5,78.3
2019,6,81.0
2019,7,81.4
2019,8,81.7
2019,9,82.5
2019,10,74.9
2019,11,57.7
2019,12,57.7
2020,1,56.5
2020,2,57.4
2020,3,68.5
2020,4,69.4
2020,5,74.5
2020,6,79.5
2020,7,81.6
2020,8,81.1
2020,9,78.0
2020,10,73.6
2020,11,66.4
2020,12,50.3
2021,1,52.5
2021,2,56.2
2021,3,63.4
2021,4,65.8
2021,5,74.1
2021,6,79.4
2021,7,80.2
2021,8,80.6
2021,9,77.2
2021,10,71.0
2021,11,56.8
2021,12,61.3
2022,1,50.7
2022,2,56.7
2022,3,63.3
2022,4,68.3
2022,5,75.7
2022,6,82.3
2022,7,80.2
2022,8,79.8
2022,9,78.1
2022,10,66.9
2022,11,64.2
2022,12,55.2
2023,1,57.0
2023,2,63.0
2023,3,65.7
2023,4,69.9
2023,5,75.0
2023,6,79.9
2023,7,83.0
2023,8,84.9
2023,9,78.8
2023,10,70.1
2023,11,60.7
2023,12,55.9
2024,1,52.7
2024,2,56.4
2024,3,64.8
2024,4,68.5
2024,5,78.1
2024,6,83.4
2024,7,83.0
2024,8,84.1
2024,9,79.7
2024,10,69.1
2024,11,71.6
