year,month,tavg
2001,1,41.9
2001,2,51.0
2001,3,50.6
2001,4,63.7
2001,5,70.2
2001,6,74.6
2001,7,78.9
2001,8,79.1
2001,9,71.6
2001,10,60.9
2001,11,60.0
2001,12,50.4
2002,1,47.5
2002,2,45.9
2002,3,54.7
2002,4,65.1
2002,5,68.5
2002,6,76.7
2002,7,80.7
2002,8,80.4
2002,9,75.8
2002,10,65.7
2002,11,51.2
2002,12,44.1
2003,1,40.3
2003,2,46.6
2003,3,56.0
2003,4,61.7
2003,5,69.2
2003,6,74.7
2003,7,78.2
2003,8,79.3
2003,9,72.4
2003,10,63.7
2003,11,58.1
2003,12,44.0
2004,1,43.1
2004,2,44.0
2004,3,58.6
2004,4,62.2
2004,5,73.0
2004,6,76.3
2004,7,79.8
2004,8,77.1
2004,9,72.7
2004,10,67.2
2004,11,56.6
2004,12,44.8
2005,1,47.0
2005,2,49.0
2005,3,52.3
2005,4,60.6
2005,5,66.9
2005,6,75.5
2005,7,79.7
2005,8,78.2
2005,9,76.0
2005,10,63.1
2005,11,54.8
2005,12,41.6
2006,1,48.4
2006,2,43.6
2006,3,53.6
2006,4,65.3
2006,5,68.9
2006,6,75.6
2006,7,79.8
2006,8,79.7
2006,9,70.0
2006,10,59.5
2006,11,51.3
2006,12,47.6
2007,1,45.1
2007,2,43.6
2007,3,58.5
2007,4,59.0
2007,5,69.9
2007,6,78.0
2007,7,76.7
2007,8,83.3
2007,9,74.6
2007,10,65.1
2007,11,51.2
2007,12,49.5
2008,1,41.7
2008,2,47.3
2008,3,53.4
2008,4,61.2
2008,5,69.3
2008,6,78.4
2008,7,78.3
2008,8,77.7
2008,9,73.2
2008,10,60.3
2008,11,48.7
2008,12,48.2
2009,1,42.8
2009,2,46.1
2009,3,53.7
2009,4,60.6
2009,5,69.6
2009,6,79.2
2009,7,77.5
2009,8,77.6
2009,9,71.9
2009,10,60.3
2009,11,52.7
2009,12,42.4
2010,1,37.5
2010,2,39.1
2010,3,50.1
2010,4,64.0
2010,5,72.4
2010,6,80.6
2010,7,81.9
2010,8,81.6
2010,9,74.8
2010,10,62.3
2010,11,51.9
2010,12,37.1
2011,1,39.2
2011,2,48.3
2011,3,55.0
2011,4,64.8
2011,5,69.8
2011,6,79.6
2011,7,81.3
2011,8,81.2
2011,9,71.2
2011,10,59.2
2011,11,53.7
2011,12,49.1
2012,1,47.4
2012,2,50.9
2012,3,63.2
2012,4,64.7
2012,5,72.6
2012,6,76.3
2012,7,81.6
2012,8,77.2
2012,9,72.0
2012,10,61.1
2012,11,49.9
2012,12,48.9
2013,1,48.5
2013,2,45.1
2013,3,48.4
2013,4,61.1
2013,5,67.5
2013,6,76.6
2013,7,76.4
2013,8,76.4
2013,9,72.2
2013,10,62.3
2013,11,49.3
2013,12,46.6
2014,1,35.5
2014,2,45.8
2014,3,51.6
2014,4,61.5
2014,5,69.5
2014,6,76.8
2014,7,77.1
2014,8,76.9
2014,9,73.9
2014,10,63.3
2014,11,46.2
2014,12,47.7
2015,1,41.4
2015,2,38.6
2015,3,55.7
2015,4,64.6
2015,5,71.3
2015,6,78.7
2015,7,80.6
2015,8,78.0
2015,9,72.1
2015,10,61.9
2015,11,56.5
2015,12,55.6
2016,1,41.0
2016,2,47.0
2016,3,59.0
2016,4,62.7
2016,5,69.3
2016,6,79.0
2016,7,81.4
2016,8,80.7
2016,9,76.2
2016,10,65.5
2016,11,55.4
2016,12,47.6
2017,1,50.1
2017,2,53.6
2017,3,56.2
2017,4,66.5
2017,5,70.0
2017,6,75.4
2017,7,79.3
2017,8,77.8
2017,9,71.9
2017,10,63.6
2017,11,53.8
2017,12,44.9
2018,1,38.7
2018,2,56.2
2018,3,52.2
2018,4,59.0
2018,5,73.0
2018,6,77.6
2018,7,78.9
2018,8,77.6
2018,9,78.2
2018,10,64.9
2018,11,48.6
2018,12,46.7
2019,1,44.0
2019,2,51.8
2019,3,53.5
2019,4,63.9
2019,5,74.5
2019,6,75.8
2019,7,80.2
2019,8,80.0
2019,9,78.7
2019,10,66.3
2019,11,50.0
2019,12,49.3
2020,1,47.8
2020,2,48.5
2020,3,59.7
2020,4,59.8
2020,5,67.3
2020,6,75.0
2020,7,80.1
2020,8,78.4
2020,9,72.1
2020,10,65.0
2020,11,56.3
2020,12,44.2
2021,1,44.8
2021,2,46.2
2021,3,57.9
2021,4,60.9
2021,5,68.3
2021,6,76.2
2021,7,78.1
2021,8,78.3
2021,9,71.7
2021,10,64.7
2021,11,50.0
2021,12,53.5
2022,1,42.0
2022,2,49.5
2022,3,56.2
2022,4,61.5
2022,5,72.2
2022,6,79.0
2022,7,80.3
2022,8,77.7
2022,9,72.3
2022,10,59.5
2022,11,54.4
2022,12,46.0
2023,1,49.7
2023,2,55.0
2023,3,56.1
2023,4,61.9
2023,5,68.6
2023,6,74.1
2023,7,80.1
2023,8,79.4
2023,9,72.7
2023,10,62.5
2023,11,53.3
2023,12,47.5
2024,1,42.2
2024,2,50.8
2024,3,57.0
2024,4,63.5
2024,5,72.3
2024,6,79.6
2024,7,79.8
2024,8,79.5
2024,9,74.0
2024,10,63.2
2024,11,65.5
