year,month,tavg
2001,1,75.7
2001,2,74.3
2001,3,75.3
2001,4,76.9
2001,5,78.4
2001,6,80.1
2001,7,81.6
2001,8,82.4
2001,9,82.4
2001,10,80.1
2001,11,77.5
2001,12,76.5
2002,1,74.4
2002,2,73.3
2002,3,74.3
2002,4,77.0
2002,5,78.4
2002,6,81.1
2002,7,81.2
2002,8,82.4
2002,9,81.5
2002,10,80.5
2002,11,77.8
2002,12,75.6
2003,1,72.7
2003,2,73.9
2003,3,75.9
2003,4,77.5
2003,5,79.2
2003,6,80.7
2003,7,82.5
2003,8,83.5
2003,9,82.2
2003,10,81.3
2003,11,79.0
2003,12,75.8
2004,1,73.8
2004,2,76.1
2004,3,72.7
2004,4,77.4
2004,5,79.6
2004,6,81.5
2004,7,82.9
2004,8,83.0
2004,9,82.9
2004,10,81.7
2004,11,77.8
2004,12,75.4
2005,1,72.9
2005,2,71.4
2005,3,74.0
2005,4,79.0
2005,5,81.5
2005,6,82.9
2005,7,83.3
2005,8,82.7
2005,9,80.4
2005,10,77.7
2005,11,76.2
2005,12,73.5
2006,1,73.7
2006,2,71.5
2006,3,73.1
2006,4,74.1
2006,5,74.7
2006,6,79.2
2006,7,79.9
2006,8,80.3
2006,9,79.2
2006,10,78.8
2006,11,77.9
2006,12,75.5
2007,1,74.5
2007,2,73.1
2007,3,73.8
2007,4,75.8
2007,5,77.7
2007,6,79.7
2007,7,80.4
2007,8,80.9
2007,9,80.6
2007,10,79.2
2007,11,76.4
2007,12,75.0
2008,1,72.9
2008,2,74.4
2008,3,76.6
2008,4,76.5
2008,5,78.5
2008,6,79.7
2008,7,81.2
2008,8,80.6
2008,9,79.7
2008,10,79.0
2008,11,76.7
2008,12,74.8
2009,1,72.3
2009,2,72.7
2009,3,72.9
2009,4,74.0
2009,5,78.0
2009,6,81.7
2009,7,80.8
2009,8,81.2
2009,9,81.5
2009,10,80.6
2009,11,78.0
2009,12,74.1
2010,1,74.4
2010,2,72.8
2010,3,73.8
2010,4,74.9
2010,5,77.5
2010,6,78.8
2010,7,78.7
2010,8,79.6
2010,9,79.5
2010,10,79.3
2010,11,76.9
2010,12,74.7
2011,1,73.5
2011,2,74.7
2011,3,75.8
2011,4,76.6
2011,5,78.1
2011,6,78.8
2011,7,79.6
2011,8,80.5
2011,9,80.6
2011,10,79.6
2011,11,77.9
2011,12,75.6
2012,1,74.4
2012,2,73.5
2012,3,73.5
2012,4,75.0
2012,5,76.8
2012,6,77.8
2012,7,78.6
2012,8,79.6
2012,9,78.8
2012,10,78.7
2012,11,75.2
2012,12,74.5
2013,1,72.8
2013,2,73.8
2013,3,72.7
2013,4,75.5
2013,5,76.1
2013,6,77.4
2013,7,79.5
2013,8,80.3
2013,9,79.8
2013,10,78.3
2013,11,76.5
2013,12,75.1
2014,1,72.6
2014,2,74.5
2014,3,74.0
2014,4,76.0
2014,5,77.5
2014,6,79.4
2014,7,81.1
2014,8,81.6
2014,9,82.1
2014,10,80.8
2014,11,77.6
2014,12,73.8
2015,1,72.3
2015,2,74.5
2015,3,72.9
2015,4,75.4
2015,5,75.4
2015,6,80.0
2015,7,82.4
2015,8,82.6
2015,9,82.8
2015,10,81.0
2015,11,79.6
2015,12,77.4
2016,1,74.2
2016,2,74.5
2016,3,74.2
2016,4,77.1
2016,5,77.8
2016,6,78.2
2016,7,80.3
2016,8,80.5
2016,9,79.7
2016,10,78.9
2016,11,76.6
2016,12,74.0
2017,1,73.0
2017,2,73.6
2017,3,76.0
2017,4,77.1
2017,5,77.8
2017,6,79.4
2017,7,80.8
2017,8,80.4
2017,9,81.0
2017,10,79.2
2017,11,78.4
2017,12,74.3
2018,1,76.2
2018,2,75.1
2018,3,74.5
2018,4,76.6
2018,5,77.8
2018,6,80.2
2018,7,81.5
2018,8,81.9
2018,9,80.9
2018,10,79.9
2018,11,77.1
2018,12,75.9
2019,1,75.4
2019,2,71.7
2019,3,74.1
2019,4,76.6
2019,5,79.4
2019,6,81.3
2019,7,83.3
2019,8,83.5
2019,9,82.2
2019,10,81.5
2019,11,79.3
2019,12,77.2
2020,1,75.2
2020,2,74.1
2020,3,74.2
2020,4,76.4
2020,5,78.2
2020,6,80.4
2020,7,80.9
2020,8,82.1
2020,9,81.5
2020,10,79.7
2020,11,79.1
2020,12,76.9
2021,1,73.7
2021,2,71.9
2021,3,71.3
2021,4,72.2
2021,5,74.8
2021,6,76.3
2021,7,76.9
2021,8,77.1
2021,9,76.8
2021,10,76.1
2021,11,75.6
2021,12,73.1
2022,1,72.7
2022,2,73.4
2022,3,74.2
2022,4,73.8
2022,5,74.9
2022,6,76.1
2022,7,76.6
2022,8,77.9
2022,9,78.8
2022,10,78.0
2022,11,75.8
2022,12,74.2
2023,1,73.2
2023,2,72.6
2023,3,73.5
2023,4,73.7
2023,5,74.5
2023,6,76.6
2023,7,77.6
2023,8,78.3
2023,9,78.3
2023,10,77.9
2023,11,76.2
2023,12,73.1
2024,1,72.3
2024,2,71.4
2024,3,72.0
2024,4,73.0
2024,5,74.3
2024,6,75.5
2024,7,76.3
2024,8,78.1
2024,9,78.3
2024,10,77.4
2024,11,79.9
