year,month,tavg
2001,1,27.4
2001,2,34.1
2001,3,46.1
2001,4,48.3
2001,5,61.6
2001,6,67.6
2001,7,74.6
2001,8,79.0
2001,9,68.6
2001,10,53.8
2001,11,44.2
2001,12,30.9
2002,1,31.6
2002,2,34.2
2002,3,40.9
2002,4,50.7
2002,5,59.5
2002,6,69.8
2002,7,79.8
2002,8,71.3
2002,9,65.3
2002,10,49.7
2002,11,40.8
2002,12,37.6
2003,1,39.0
2003,2,37.1
2003,3,46.9
2003,4,49.6
2003,5,59.0
2003,6,69.8
2003,7,80.7
2003,8,77.6
2003,9,67.1
2003,10,58.6
2003,11,37.9
2003,12,37.4
2004,1,28.6
2004,2,35.1
2004,3,48.4
2004,4,54.1
2004,5,59.0
2004,6,69.5
2004,7,78.2
2004,8,75.1
2004,9,63.9
2004,10,53.8
2004,11,38.7
2004,12,35.7
2005,1,33.1
2005,2,37.2
2005,3,45.9
2005,4,50.7
2005,5,59.7
2005,6,64.6
2005,7,78.6
2005,8,77.2
2005,9,63.2
2005,10,53.1
2005,11,37.1
2005,12,29.3
2006,1,36.4
2006,2,34.2
2006,3,41.9
2006,4,51.3
2006,5,61.2
2006,6,71.0
2006,7,81.8
2006,8,74.2
2006,9,65.0
2006,10,50.8
2006,11,43.0
2006,12,31.2
2007,1,28.6
2007,2,38.2
2007,3,48.3
2007,4,51.8
2007,5,63.0
2007,6,71.1
2007,7,83.3
2007,8,75.8
2007,9,64.5
2007,10,51.6
2007,11,40.4
2007,12,32.5
2008,1,28.8
2008,2,35.6
2008,3,40.4
2008,4,47.0
2008,5,60.4
2008,6,67.5
2008,7,78.2
2008,8,76.5
2008,9,65.3
2008,10,52.7
2008,11,43.0
2008,12,31.4
2009,1,31.1
2009,2,36.5
2009,3,41.2
2009,4,50.6
2009,5,62.5
2009,6,67.4
2009,7,79.0
2009,8,75.6
2009,9,70.7
2009,10,47.9
2009,11,40.8
2009,12,26.4
2010,1,36.9
2010,2,39.4
2010,3,44.4
2010,4,48.9
2010,5,53.7
2010,6,66.2
2010,7,76.6
2010,8,74.0
2010,9,67.3
2010,10,56.2
2010,11,38.9
2010,12,34.7
2011,1,31.1
2011,2,35.3
2011,3,44.1
2011,4,46.5
2011,5,55.3
2011,6,64.5
2011,7,75.9
2011,8,78.7
2011,9,71.4
2011,10,54.3
2011,11,39.8
2011,12,30.7
2012,1,34.2
2012,2,37.9
2012,3,46.5
2012,4,54.3
2012,5,59.2
2012,6,67.8
2012,7,81.3
2012,8,78.7
2012,9,68.4
2012,10,52.7
2012,11,44.4
2012,12,36.2
2013,1,19.3
2013,2,35.0
2013,3,44.7
2013,4,50.5
2013,5,61.1
2013,6,70.0
2013,7,81.9
2013,8,78.4
2013,9,66.5
2013,10,49.4
2013,11,39.0
2013,12,24.0
2014,1,29.8
2014,2,38.4
2014,3,45.7
2014,4,50.6
2014,5,60.9
2014,6,67.7
2014,7,81.5
2014,8,75.9
2014,9,67.4
2014,10,57.2
2014,11,36.2
2014,12,37.5
2015,1,30.8
2015,2,43.3
2015,3,49.5
2015,4,51.4
2015,5,61.6
2015,6,76.4
2015,7,76.5
2015,8,78.2
2015,9,66.2
2015,10,59.0
2015,11,37.3
2015,12,32.1
2016,1,32.9
2016,2,40.1
2016,3,46.8
2016,4,56.5
2016,5,60.9
2016,6,72.1
2016,7,76.1
2016,8,75.4
2016,9,63.9
2016,10,55.6
2016,11,46.4
2016,12,23.6
2017,1,21.6
2017,2,37.4
2017,3,48.0
2017,4,49.7
2017,5,59.9
2017,6,69.2
2017,7,82.2
2017,8,78.1
2017,9,65.7
2017,10,49.4
2017,11,43.8
2017,12,28.7
2018,1,37.0
2018,2,35.5
2018,3,43.3
2018,4,52.4
2018,5,63.2
2018,6,68.5
2018,7,80.5
2018,8,76.6
2018,9,65.6
2018,10,52.4
2018,11,38.8
2018,12,32.4
2019,1,34.4
2019,2,33.8
2019,3,42.6
2019,4,52.6
2019,5,59.2
2019,6,68.1
2019,7,76.9
2019,8,77.1
2019,9,64.7
2019,10,45.8
2019,11,39.7
2019,12,35.9
2020,1,37.0
2020,2,36.7
2020,3,45.2
2020,4,52.2
2020,5,60.7
2020,6,66.1
2020,7,76.1
2020,8,77.6
2020,9,68.2
2020,10,54.0
2020,11,39.4
2020,12,31.7
2021,1,35.6
2021,2,35.0
2021,3,43.9
2021,4,52.1
2021,5,59.6
2021,6,76.2
2021,7,84.0
2021,8,74.7
2021,9,66.2
2021,10,54.5
2021,11,43.7
2021,12,34.5
2022,1,28.4
2022,2,31.8
2022,3,46.0
2022,4,46.4
2022,5,55.2
2022,6,67.6
2022,7,81.7
2022,8,81.9
2022,9,71.0
2022,10,55.9
2022,11,33.8
2022,12,29.4
2023,1,33.4
2023,2,34.2
2023,3,38.4
2023,4,49.2
2023,5,64.9
2023,6,68.2
2023,7,82.1
2023,8,77.7
2023,9,67.7
2023,10,55.5
2023,11,42.0
2023,12,35.9
2024,1,32.7
2024,2,41.7
2024,3,44.1
2024,4,52.2
2024,5,58.3
2024,6,72.6
2024,7,83.1
2024,8,77.7
2024,9,69.6
2024,10,50.1
2024,11,42.3
