year,month,tavg
2001,1,26.0
2001,2,31.7
2001,3,37.5
2001,4,59.7
2001,5,65.4
2001,6,70.6
2001,7,76.8
2001,8,74.3
2001,9,64.5
2001,10,54.3
2001,11,50.2
2001,12,35.8
2002,1,34.2
2002,2,35.4
2002,3,38.5
2002,4,54.2
2002,5,60.3
2002,6,75.0
2002,7,77.7
2002,8,75.3
2002,9,69.2
2002,10,51.8
2002,11,40.0
2002,12,34.6
2003,1,21.7
2003,2,26.6
2003,3,43.5
2003,4,54.5
2003,5,61.6
2003,6,68.7
2003,7,75.3
2003,8,75.5
2003,9,63.2
2003,10,55.1
2003,11,45.1
2003,12,34.9
2004,1,25.2
2004,2,31.4
2004,3,45.5
2004,4,55.5
2004,5,67.3
2004,6,69.7
2004,7,73.1
2004,8,69.0
2004,9,68.5
2004,10,55.7
2004,11,45.9
2004,12,33.4
2005,1,29.3
2005,2,37.0
2005,3,40.8
2005,4,56.8
2005,5,62.9
2005,6,75.7
2005,7,77.0
2005,8,75.9
2005,9,70.8
2005,10,56.0
2005,11,45.3
2005,12,27.2
2006,1,38.5
2006,2,31.4
2006,3,42.9
2006,4,58.3
2006,5,63.6
2006,6,72.1
2006,7,78.0
2006,8,75.1
2006,9,64.2
2006,10,51.8
2006,11,45.3
2006,12,36.0
2007,1,30.9
2007,2,22.8
2007,3,49.6
2007,4,51.8
2007,5,69.0
2007,6,73.3
2007,7,73.6
2007,8,78.9
2007,9,70.9
2007,10,60.0
2007,11,43.3
2007,12,31.3
2008,1,28.7
2008,2,26.8
2008,3,40.3
2008,4,51.5
2008,5,60.6
2008,6,74.1
2008,7,74.5
2008,8,71.6
2008,9,65.9
2008,10,54.4
2008,11,42.0
2008,12,28.9
2009,1,23.1
2009,2,34.4
2009,3,45.4
2009,4,53.6
2009,5,64.8
2009,6,74.3
2009,7,71.6
2009,8,71.6
2009,9,65.8
2009,10,51.3
2009,11,48.7
2009,12,30.7
2010,1,21.8
2010,2,26.5
2010,3,45.7
2010,4,61.4
2010,5,65.5
2010,6,76.7
2010,7,79.0
2010,8,78.1
2010,9,68.4
2010,10,57.2
2010,11,45.2
2010,12,27.7
2011,1,23.8
2011,2,31.9
2011,3,43.5
2011,4,55.2
2011,5,64.0
2011,6,73.7
2011,7,81.5
2011,8,76.6
2011,9,64.2
2011,10,56.0
2011,11,47.4
2011,12,37.5
2012,1,33.3
2012,2,37.1
2012,3,56.9
2012,4,57.4
2012,5,70.6
2012,6,73.9
2012,7,83.0
2012,8,75.3
2012,9,65.4
2012,10,53.1
2012,11,44.1
2012,12,38.7
2013,1,30.2
2013,2,30.8
2013,3,35.3
2013,4,51.4
2013,5,64.7
2013,6,72.4
2013,7,74.4
2013,8,73.4
2013,9,68.8
2013,10,55.0
2013,11,39.3
2013,12,28.1
2014,1,21.7
2014,2,20.9
2014,3,37.3
2014,4,55.4
2014,5,66.5
2014,6,74.8
2014,7,72.2
2014,8,75.0
2014,9,65.7
2014,10,55.9
2014,11,36.9
2014,12,34.9
2015,1,27.7
2015,2,21.9
2015,3,40.6
2015,4,57.1
2015,5,67.5
2015,6,74.2
2015,7,76.4
2015,8,73.4
2015,9,72.1
2015,10,57.5
2015,11,48.3
2015,12,42.4
2016,1,29.2
2016,2,35.6
2016,3,49.6
2016,4,55.9
2016,5,64.4
2016,6,77.6
2016,7,77.1
2016,8,76.9
2016,9,72.3
2016,10,61.7
2016,11,49.5
2016,12,31.3
2017,1,33.9
2017,2,43.8
2017,3,45.3
2017,4,59.4
2017,5,64.6
2017,6,75.7
2017,7,78.7
2017,8,72.0
2017,9,70.2
2017,10,60.0
2017,11,44.5
2017,12,31.6
2018,1,27.0
2018,2,34.6
2018,3,40.7
2018,4,47.6
2018,5,74.5
2018,6,77.1
2018,7,76.2
2018,8,76.5
2018,9,71.8
2018,10,55.3
2018,11,35.7
2018,12,34.6
2019,1,25.8
2019,2,30.6
2019,3,38.2
2019,4,53.8
2019,5,64.4
2019,6,71.9
2019,7,78.2
2019,8,73.3
2019,9,72.9
2019,10,53.5
2019,11,37.2
2019,12,36.5
2020,1,32.2
2020,2,31.7
2020,3,45.4
2020,4,51.0
2020,5,61.6
2020,6,75.6
2020,7,77.7
2020,8,73.0
2020,9,65.9
2020,10,52.7
2020,11,48.0
2020,12,33.8
2021,1,30.2
2021,2,22.1
2021,3,47.1
2021,4,53.8
2021,5,62.4
2021,6,75.7
2021,7,75.1
2021,8,75.7
2021,9,70.1
2021,10,60.3
2021,11,41.7
2021,12,41.3
2022,1,24.9
2022,2,30.1
2022,3,44.2
2022,4,51.5
2022,5,66.8
2022,6,75.2
2022,7,76.6
2022,8,74.3
2022,9,66.8
2022,10,53.3
2022,11,43.4
2022,12,31.2
2023,1,35.3
2023,2,37.5
2023,3,42.1
2023,4,55.2
2023,5,65.6
2023,6,73.3
2023,7,76.1
2023,8,73.8
2023,9,68.3
2023,10,56.8
2023,11,44.1
2023,12,40.5
2024,1,26.8
2024,2,40.8
2024,3,48.3
2024,4,57.1
2024,5,70.7
2024,6,76.2
2024,7,74.4
2024,8,73.8
2024,9,68.0
2024,10,52.8
