year,month,tavg
2001,1,28.2
2001,2,34.8
2001,3,38.7
2001,4,58.8
2001,5,64.7
2001,6,70.4
2001,7,74.6
2001,8,75.6
2001,9,65.3
2001,10,54.7
2001,11,49.7
2001,12,38.4
2002,1,35.4
2002,2,35.7
2002,3,40.4
2002,4,55.0
2002,5,59.8
2002,6,74.0
2002,7,78.5
2002,8,77.6
2002,9,71.5
2002,10,53.5
2002,11,40.6
2002,12,33.3
2003,1,21.5
2003,2,25.5
2003,3,43.6
2003,4,54.6
2003,5,61.2
2003,6,68.5
2003,7,74.3
2003,8,75.2
2003,9,64.8
2003,10,54.7
2003,11,47.5
2003,12,34.7
2004,1,25.4
2004,2,32.3
2004,3,45.6
2004,4,55.2
2004,5,67.3
2004,6,71.1
2004,7,73.2
2004,8,70.1
2004,9,69.3
2004,10,56.1
2004,11,47.1
2004,12,32.0
2005,1,30.8
2005,2,36.6
2005,3,38.6
2005,4,55.2
2005,5,60.4
2005,6,75.1
2005,7,76.6
2005,8,76.2
2005,9,70.2
2005,10,56.0
2005,11,45.0
2005,12,27.7
2006,1,39.4
2006,2,32.2
2006,3,41.4
2006,4,57.1
2006,5,61.3
2006,6,70.5
2006,7,76.7
2006,8,74.9
2006,9,63.7
2006,10,52.1
2006,11,45.1
2006,12,38.5
2007,1,32.7
2007,2,20.5
2007,3,48.7
2007,4,50.8
2007,5,68.2
2007,6,74.1
2007,7,74.6
2007,8,79.5
2007,9,71.4
2007,10,61.8
2007,11,43.3
2007,12,33.7
2008,1,29.0
2008,2,29.7
2008,3,40.1
2008,4,53.8
2008,5,60.1
2008,6,73.0
2008,7,75.1
2008,8,73.9
2008,9,69.4
2008,10,55.6
2008,11,41.1
2008,12,30.0
2009,1,23.1
2009,2,33.8
2009,3,46.8
2009,4,53.9
2009,5,64.4
2009,6,73.4
2009,7,70.7
2009,8,72.7
2009,9,68.0
2009,10,51.7
2009,11,47.3
2009,12,31.3
2010,1,24.6
2010,2,26.6
2010,3,45.6
2010,4,60.0
2010,5,66.0
2010,6,75.6
2010,7,78.3
2010,8,79.2
2010,9,70.4
2010,10,57.4
2010,11,44.3
2010,12,25.9
2011,1,24.3
2011,2,32.9
2011,3,43.5
2011,4,55.2
2011,5,63.7
2011,6,73.6
2011,7,81.8
2011,8,76.6
2011,9,65.2
2011,10,55.6
2011,11,48.3
2011,12,38.0
2012,1,33.5
2012,2,37.3
2012,3,56.0
2012,4,54.7
2012,5,69.2
2012,6,74.8
2012,7,83.3
2012,8,74.8
2012,9,65.0
2012,10,52.5
2012,11,41.3
2012,12,38.2
2013,1,30.3
2013,2,30.4
2013,3,35.3
2013,4,52.3
2013,5,65.2
2013,6,71.7
2013,7,73.9
2013,8,74.5
2013,9,69.1
2013,10,54.4
2013,11,39.5
2013,12,29.9
2014,1,20.0
2014,2,22.5
2014,3,34.9
2014,4,53.1
2014,5,62.7
2014,6,72.3
2014,7,70.2
2014,8,73.1
2014,9,65.3
2014,10,54.2
2014,11,35.9
2014,12,33.7
2015,1,25.1
2015,2,20.8
2015,3,39.1
2015,4,54.6
2015,5,66.5
2015,6,72.2
2015,7,74.5
2015,8,72.6
2015,9,70.2
2015,10,56.5
2015,11,48.0
2015,12,42.5
2016,1,28.5
2016,2,34.3
2016,3,48.9
2016,4,53.7
2016,5,62.1
2016,6,74.5
2016,7,76.2
2016,8,77.1
2016,9,70.9
2016,10,60.2
2016,11,47.9
2016,12,30.4
2017,1,34.9
2017,2,42.8
2017,3,43.7
2017,4,58.8
2017,5,62.4
2017,6,72.4
2017,7,75.9
2017,8,72.7
2017,9,69.2
2017,10,57.8
2017,11,43.6
2017,12,30.4
2018,1,25.1
2018,2,37.2
2018,3,38.7
2018,4,47.1
2018,5,72.7
2018,6,75.3
2018,7,76.6
2018,8,75.4
2018,9,71.1
2018,10,55.9
2018,11,37.8
2018,12,35.9
2019,1,27.7
2019,2,33.3
2019,3,38.0
2019,4,53.5
2019,5,64.3
2019,6,71.0
2019,7,77.9
2019,8,74.4
2019,9,73.2
2019,10,56.8
2019,11,37.7
2019,12,36.9
2020,1,34.8
2020,2,33.3
2020,3,45.7
2020,4,50.7
2020,5,60.7
2020,6,73.9
2020,7,77.9
2020,8,73.9
2020,9,67.2
2020,10,54.5
2020,11,47.9
2020,12,34.1
2021,1,31.2
2021,2,25.7
2021,3,47.1
2021,4,53.2
2021,5,61.2
2021,6,73.8
2021,7,74.8
2021,8,76.6
2021,9,69.9
2021,10,60.5
2021,11,40.8
2021,12,41.7
2022,1,25.7
2022,2,31.2
2022,3,44.8
2022,4,51.3
2022,5,66.2
2022,6,74.5
2022,7,77.8
2022,8,74.6
2022,9,67.8
2022,10,54.3
2022,11,44.2
2022,12,33.2
2023,1,36.9
2023,2,39.8
2023,3,41.7
2023,4,53.7
2023,5,64.3
2023,6,71.4
2023,7,75.9
2023,8,74.0
2023,9,68.9
2023,10,57.4
2023,11,44.8
2023,12,40.7
2024,1,29.0
2024,2,40.5
2024,3,47.7
2024,4,56.5
2024,5,68.2
2024,6,74.5
2024,7,74.9
2024,8,74.8
2024,9,70.8
2024,10,54.1
2024,11,49.3
