year,month,tavg
2001,1,23.9
2001,2,20.3
2001,3,32.5
2001,4,56.5
2001,5,62.0
2001,6,70.8
2001,7,78.2
2001,8,75.4
2001,9,63.7
2001,10,52.3
2001,11,50.0
2001,12,32.6
2002,1,31.4
2002,2,32.2
2002,3,34.5
2002,4,50.9
2002,5,59.5
2002,6,74.8
2002,7,78.4
2002,8,73.0
2002,9,68.4
2002,10,47.6
2002,11,36.4
2002,12,31.7
2003,1,20.9
2003,2,21.8
2003,3,37.8
2003,4,52.8
2003,5,59.3
2003,6,71.0
2003,7,76.8
2003,8,78.0
2003,9,63.5
2003,10,55.3
2003,11,38.1
2003,12,32.0
2004,1,20.0
2004,2,25.4
2004,3,42.7
2004,4,54.1
2004,5,63.9
2004,6,69.0
2004,7,72.6
2004,8,69.0
2004,9,68.7
2004,10,53.7
2004,11,42.7
2004,12,29.7
2005,1,21.7
2005,2,33.5
2005,3,39.8
2005,4,56.2
2005,5,60.4
2005,6,74.6
2005,7,77.9
2005,8,75.0
2005,9,70.1
2005,10,54.5
2005,11,42.0
2005,12,23.7
2006,1,35.1
2006,2,27.8
2006,3,39.2
2006,4,56.6
2006,5,63.1
2006,6,73.5
2006,7,78.7
2006,8,74.4
2006,9,62.3
2006,10,49.8
2006,11,41.7
2006,12,34.9
2007,1,24.2
2007,2,19.0
2007,3,45.0
2007,4,48.7
2007,5,66.4
2007,6,72.6
2007,7,77.0
2007,8,77.0
2007,9,66.5
2007,10,57.1
2007,11,39.0
2007,12,23.4
2008,1,19.7
2008,2,20.0
2008,3,35.4
2008,4,47.6
2008,5,60.7
2008,6,71.3
2008,7,75.3
2008,8,72.9
2008,9,65.2
2008,10,53.9
2008,11,38.9
2008,12,21.4
2009,1,18.7
2009,2,30.1
2009,3,41.2
2009,4,50.9
2009,5,62.9
2009,6,72.5
2009,7,72.1
2009,8,72.4
2009,9,66.9
2009,10,47.7
2009,11,47.0
2009,12,22.8
2010,1,17.0
2010,2,20.6
2010,3,41.3
2010,4,59.0
2010,5,63.2
2010,6,74.5
2010,7,78.2
2010,8,77.8
2010,9,66.1
2010,10,57.4
2010,11,41.0
2010,12,23.8
2011,1,18.8
2011,2,26.7
2011,3,39.3
2011,4,51.8
2011,5,62.9
2011,6,72.8
2011,7,81.5
2011,8,75.9
2011,9,64.0
2011,10,56.6
2011,11,42.4
2011,12,32.9
2012,1,30.2
2012,2,32.2
2012,3,55.4
2012,4,56.2
2012,5,69.0
2012,6,75.8
2012,7,84.2
2012,8,75.2
2012,9,66.2
2012,10,52.6
2012,11,42.9
2012,12,31.1
2013,1,25.7
2013,2,28.3
2013,3,33.1
2013,4,48.2
2013,5,61.8
2013,6,72.4
2013,7,76.4
2013,8,77.0
2013,9,71.4
2013,10,53.8
2013,11,37.9
2013,12,21.7
2014,1,18.8
2014,2,18.2
2014,3,34.3
2014,4,51.8
2014,5,63.8
2014,6,73.4
2014,7,72.9
2014,8,75.0
2014,9,65.6
2014,10,55.0
2014,11,33.9
2014,12,31.9
2015,1,26.2
2015,2,18.8
2015,3,42.6
2015,4,55.7
2015,5,63.5
2015,6,73.2
2015,7,76.2
2015,8,72.9
2015,9,71.8
2015,10,56.4
2015,11,45.6
2015,12,36.1
2016,1,23.7
2016,2,32.0
2016,3,46.5
2016,4,54.0
2016,5,62.8
2016,6,77.5
2016,7,76.9
2016,8,75.5
2016,9,70.9
2016,10,59.4
2016,11,48.7
2016,12,27.4
2017,1,27.9
2017,2,39.0
2017,3,41.5
2017,4,55.2
2017,5,63.0
2017,6,75.4
2017,7,79.4
2017,8,72.0
2017,9,70.7
2017,10,55.7
2017,11,40.7
2017,12,27.6
2018,1,22.0
2018,2,24.9
2018,3,38.0
2018,4,44.1
2018,5,70.7
2018,6,76.1
2018,7,76.8
2018,8,75.2
2018,9,67.0
2018,10,50.4
2018,11,32.2
2018,12,30.6
2019,1,20.7
2019,2,18.7
2019,3,33.9
2019,4,52.2
2019,5,59.0
2019,6,71.7
2019,7,77.4
2019,8,72.9
2019,9,70.9
2019,10,48.4
2019,11,35.1
2019,12,31.9
2020,1,24.9
2020,2,28.0
2020,3,43.4
2020,4,49.5
2020,5,59.8
2020,6,75.2
2020,7,78.2
2020,8,74.8
2020,9,64.1
2020,10,48.7
2020,11,44.0
2020,12,29.1
2021,1,26.7
2021,2,15.7
2021,3,44.7
2021,4,52.3
2021,5,61.0
2021,6,76.2
2021,7,76.4
2021,8,76.5
2021,9,70.0
2021,10,57.3
2021,11,41.4
2021,12,35.3
2022,1,17.8
2022,2,24.3
2022,3,39.0
2022,4,46.3
2022,5,63.6
2022,6,74.4
2022,7,77.6
2022,8,75.7
2022,9,67.2
2022,10,53.3
2022,11,39.2
2022,12,24.0
2023,1,26.7
2023,2,30.9
2023,3,37.3
2023,4,52.2
2023,5,65.9
2023,6,74.1
2023,7,75.8
2023,8,76.0
2023,9,69.9
2023,10,55.7
2023,11,42.7
2023,12,37.3
2024,1,22.2
2024,2,39.9
2024,3,45.1
2024,4,55.2
2024,5,66.0
2024,6,76.5
2024,7,75.7
2024,8,74.9
2024,9,70.8
2024,10,53.9
2024,11,47.3
