year,month,tavg
2001,1,30.0
2001,2,34.5
2001,3,44.5
2001,4,55.5
2001,5,65.0
2001,6,74.5
2001,7,78.5
2001,8,77.5
2001,9,68.0
2001,10,56.5
2001,11,44.0
2001,12,32.0
2002,1,30.0
2002,2,34.5
2002,3,44.5
2002,4,55.5
2002,5,65.0
2002,6,74.5
2002,7,78.5
2002,8,77.5
2002,9,68.0
2002,10,56.5
2002,11,44.0
2002,12,32.0
2003,1,30.0
2003,2,34.5
2003,3,44.5
2003,4,55.5
2003,5,65.0
2003,6,74.5
2003,7,78.5
2003,8,77.5
2003,9,68.0
2003,10,56.5
2003,11,44.0
2003,12,32.0
2004,1,30.0
2004,2,34.5
2004,3,44.5
2004,4,55.5
2004,5,65.0
2004,6,74.5
2004,7,78.5
2004,8,77.5
2004,9,68.0
2004,10,56.5
2004,11,44.0
2004,12,32.0
2005,1,30.0
2005,2,34.5
2005,3,44.5
2005,4,55.5
2005,5,65.0
2005,6,74.5
2005,7,78.5
2005,8,77.5
2005,9,68.0
2005,10,56.5
2005,11,44.0
2005,12,32.0
2006,1,30.0
2006,2,34.5
2006,3,44.5
2006,4,55.5
2006,5,65.0
2006,6,74.5
2006,7,78.5
2006,8,77.5
2006,9,68.0
2006,10,56.5
2006,11,44.0
2006,12,32.0
2007,1,30.0
2007,2,34.5
2007,3,44.5
2007,4,55.5
2007,5,65.0
2007,6,74.5
2007,7,78.5
2007,8,77.5
2007,9,68.0
2007,10,56.5
2007,11,44.0
2007,12,32.0
2008,1,30.0
2008,2,34.5
2008,3,44.5
2008,4,55.5
2008,5,65.0
2008,6,74.5
2008,7,78.5
2008,8,77.5
2008,9,68.0
2008,10,56.5
2008,11,44.0
2008,12,32.0
2009,1,30.0
2009,2,34.5
2009,3,44.5
2009,4,55.5
2009,5,65.0
2009,6,74.5
2009,7,78.5
2009,8,77.5
2009,9,68.0
2009,10,56.5
2009,11,44.0
2009,12,32.0
2010,1,30.0
2010,2,34.5
2010,3,44.5
2010,4,55.5
2010,5,65.0
2010,6,74.5
2010,7,78.5
2010,8,77.5
2010,9,68.0
2010,10,56.5
2010,11,44.0
2010,12,32.0
2011,1,30.0
2011,2,34.5
2011,3,44.5
2011,4,55.5
2011,5,65.0
2011,6,74.5
2011,7,78.5
2011,8,77.5
2011,9,68.0
2011,10,56.5
2011,11,44.0
2011,12,32.0
2012,1,30.0
2012,2,34.5
2012,3,44.5
2012,4,55.5
2012,5,65.0
2012,6,74.5
2012,7,78.5
2012,8,77.5
2012,9,68.0
2012,10,56.5
2012,11,44.0
2012,12,32.0
2013,1,30.0
2013,2,34.5
2013,3,44.5
2013,4,55.5
2013,5,65.0
2013,6,74.5
2013,7,78.5
2013,8,77.5
2013,9,68.0
2013,10,56.5
2013,11,44.0
2013,12,32.0
2014,1,30.0
2014,2,34.5
2014,3,44.5
2014,4,55.5
2014,5,65.0
2014,6,74.5
2014,7,78.5
2014,8,77.5
2014,9,68.0
2014,10,56.5
2014,11,44.0
2014,12,32.0
2015,1,30.0
2015,2,34.5
2015,3,44.5
2015,4,55.5
2015,5,65.0
2015,6,74.5
2015,7,78.5
2015,8,77.5
2015,9,68.0
2015,10,56.5
2015,11,44.0
2015,12,32.0
2016,1,30.0
2016,2,34.5
2016,3,44.5
2016,4,55.5
2016,5,65.0
2016,6,74.5
2016,7,78.5
2016,8,77.5
2016,9,68.0
2016,10,56.5
2016,11,44.0
2016,12,32.0
2017,1,30.0
2017,2,34.5
2017,3,44.5
2017,4,55.5
2017,5,65.0
2017,6,74.5
2017,7,78.5
2017,8,77.5
2017,9,68.0
2017,10,56.5
2017,11,44.0
2017,12,32.0
2018,1,30.0
2018,2,34.5
2018,3,44.5
2018,4,55.5
2018,5,65.0
2018,6,74.5
2018,7,78.5
2018,8,77.5
2018,9,68.0
2018,10,56.5
2018,11,44.0
2018,12,32.0
2019,1,30.0
2019,2,34.5
2019,3,44.5
2019,4,55.5
2019,5,65.0
2019,6,74.5
2019,7,78.5
2019,8,77.5
2019,9,68.0
2019,10,56.5
2019,11,44.0
2019,12,32.0
2020,1,30.0
2020,2,34.5
2020,3,44.5
2020,4,55.5
2020,5,65.0
2020,6,74.5
2020,7,78.5
2020,8,77.5
2020,9,68.0
2020,10,56.5
2020,11,44.0
2020,12,32.0
2021,1,30.0
2021,2,34.5
2021,3,44.5
2021,4,55.5
2021,5,65.0
2021,6,74.5
2021,7,78.5
2021,8,77.5
2021,9,68.0
2021,10,56.5
2021,11,44.0
2021,12,32.0
2022,1,30.0
2022,2,34.5
2022,3,44.5
2022,4,59.7
2022,5,66.6
2022,6,76.9
2022,7,80.7
2022,8,78.0
2022,9,70.5
2022,10,57.3
2022,11,41.7
2022,12,31.5
2023,1,33.3
2023,2,37.3
2023,3,42.8
2023,4,55.9
2023,5,66.8
2023,6,75.2
2023,7,78.9
2023,8,79.0
2023,9,72.4
2023,10,58.0
2023,11,44.5
2023,12,39.8
2024,1,25.0
2024,2,43.3
2024,3,49.1
2024,4,58.1
2024,5,66.8
2024,6,76.6
2024,7,77.0
2024,8,75.5
2024,9,69.7
2024,10,61.0
2024,11,44.0
