year,month,tavg
2001,1,31.4
2001,2,40.3
2001,3,40.7
2001,4,60.0
2001,5,66.8
2001,6,71.4
2001,7,75.7
2001,8,76.3
2001,9,66.3
2001,10,56.9
2001,11,52.2
2001,12,41.1
2002,1,38.1
2002,2,38.0
2002,3,44.8
2002,4,58.2
2002,5,61.4
2002,6,72.2
2002,7,79.3
2002,8,78.3
2002,9,72.2
2002,10,56.3
2002,11,42.8
2002,12,35.8
2003,1,26.1
2003,2,32.2
2003,3,48.4
2003,4,57.2
2003,5,63.8
2003,6,69.2
2003,7,75.4
2003,8,75.9
2003,9,65.4
2003,10,56.5
2003,11,49.8
2003,12,35.7
2004,1,30.4
2004,2,36.3
2004,3,48.1
2004,4,55.3
2004,5,69.1
2004,6,71.7
2004,7,73.5
2004,8,70.9
2004,9,68.4
2004,10,57.2
2004,11,49.3
2004,12,36.4
2005,1,37.8
2005,2,39.9
2005,3,40.9
2005,4,56.5
2005,5,61.7
2005,6,75.2
2005,7,78.0
2005,8,77.5
2005,9,71.6
2005,10,57.5
2005,11,48.0
2005,12,32.3
2006,1,42.3
2006,2,35.9
2006,3,45.6
2006,4,59.9
2006,5,62.9
2006,6,70.2
2006,7,76.2
2006,8,76.6
2006,9,63.8
2006,10,53.2
2006,11,46.1
2006,12,41.0
2007,1,37.4
2007,2,27.6
2007,3,52.3
2007,4,53.0
2007,5,67.9
2007,6,74.0
2007,7,74.9
2007,8,80.4
2007,9,71.9
2007,10,61.9
2007,11,45.2
2007,12,39.6
2008,1,32.3
2008,2,35.7
2008,3,43.7
2008,4,55.1
2008,5,61.6
2008,6,74.2
2008,7,75.4
2008,8,74.2
2008,9,71.5
2008,10,56.3
2008,11,42.2
2008,12,36.1
2009,1,29.0
2009,2,37.6
2009,3,48.2
2009,4,55.9
2009,5,64.7
2009,6,73.2
2009,7,71.3
2009,8,73.0
2009,9,68.3
2009,10,53.1
2009,11,47.9
2009,12,34.9
2010,1,28.7
2010,2,29.3
2010,3,46.6
2010,4,59.5
2010,5,67.1
2010,6,76.9
2010,7,78.0
2010,8,77.8
2010,9,70.4
2010,10,57.6
2010,11,46.0
2010,12,28.1
2011,1,28.7
2011,2,38.3
2011,3,46.6
2011,4,58.5
2011,5,63.7
2011,6,73.5
2011,7,79.0
2011,8,74.9
2011,9,65.4
2011,10,53.8
2011,11,49.6
2011,12,40.5
2012,1,37.4
2012,2,39.8
2012,3,56.3
2012,4,56.4
2012,5,68.7
2012,6,72.4
2012,7,79.5
2012,8,73.9
2012,9,66.3
2012,10,54.4
2012,11,41.9
2012,12,41.9
2013,1,36.0
2013,2,35.3
2013,3,38.4
2013,4,54.7
2013,5,65.0
2013,6,72.3
2013,7,73.5
2013,8,73.4
2013,9,68.1
2013,10,55.7
2013,11,41.7
2013,12,36.5
2014,1,25.7
2014,2,30.6
2014,3,40.6
2014,4,57.1
2014,5,65.2
2014,6,73.2
2014,7,72.0
2014,8,73.8
2014,9,66.9
2014,10,56.2
2014,11,39.5
2014,12,38.3
2015,1,31.1
2015,2,25.3
2015,3,43.8
2015,4,56.4
2015,5,67.8
2015,6,73.5
2015,7,75.4
2015,8,72.0
2015,9,69.3
2015,10,56.9
2015,11,49.4
2015,12,47.4
2016,1,31.6
2016,2,38.4
2016,3,51.8
2016,4,57.3
2016,5,62.8
2016,6,75.4
2016,7,77.4
2016,8,77.9
2016,9,72.1
2016,10,62.9
2016,11,48.9
2016,12,36.9
2017,1,40.9
2017,2,46.5
2017,3,47.7
2017,4,62.3
2017,5,65.3
2017,6,72.7
2017,7,77.3
2017,8,73.2
2017,9,67.9
2017,10,58.7
2017,11,46.4
2017,12,34.8
2018,1,30.7
2018,2,44.2
2018,3,42.7
2018,4,51.0
2018,5,72.7
2018,6,75.5
2018,7,76.6
2018,8,75.8
2018,9,72.4
2018,10,58.7
2018,11,41.6
2018,12,40.5
2019,1,33.8
2019,2,41.8
2019,3,42.6
2019,4,58.7
2019,5,68.1
2019,6,72.6
2019,7,78.2
2019,8,76.2
2019,9,75.4
2019,10,59.3
2019,11,40.7
2019,12,41.3
2020,1,40.2
2020,2,38.7
2020,3,51.7
2020,4,53.3
2020,5,62.6
2020,6,73.8
2020,7,79.2
2020,8,74.9
2020,9,68.3
2020,10,57.5
2020,11,49.6
2020,12,37.3
2021,1,35.0
2021,2,32.1
2021,3,49.8
2021,4,54.8
2021,5,63.3
2021,6,74.7
2021,7,76.0
2021,8,76.7
2021,9,69.6
2021,10,62.2
2021,11,43.3
2021,12,47.4
2022,1,31.1
2022,2,38.2
2022,3,48.8
2022,4,54.8
2022,5,68.4
2022,6,75.1
2022,7,78.4
2022,8,75.3
2022,9,68.1
2022,10,54.9
2022,11,46.3
2022,12,38.2
2023,1,41.9
2023,2,46.0
2023,3,46.2
2023,4,56.3
2023,5,64.4
2023,6,70.4
2023,7,76.3
2023,8,74.8
2023,9,69.1
2023,10,58.5
2023,11,46.5
2023,12,42.1
2024,1,33.0
2024,2,44.4
2024,3,50.5
2024,4,59.5
2024,5,68.4
2024,6,75.3
2024,7,77.5
2024,8,75.6
2024,9,70.6
2024,10,57.0
