year,month,tavg
2001,1,51.5
2001,2,55.0
2001,3,61.5
2001,4,68.0
2001,5,75.5
2001,6,81.0
2001,7,83.0
2001,8,82.5
2001,9,79.0
2001,10,69.5
2001,11,60.5
2001,12,53.5
2002,1,51.5
2002,2,55.0
2002,3,61.5
2002,4,68.0
2002,5,75.5
2002,6,81.0
2002,7,83.0
2002,8,82.5
2002,9,79.0
2002,10,69.5
2002,11,60.5
2002,12,53.5
2003,1,51.5
2003,2,55.0
2003,3,61.5
2003,4,68.0
2003,5,75.5
2003,6,81.0
2003,7,83.0
2003,8,82.5
2003,9,79.0
2003,10,69.5
2003,11,60.5
2003,12,53.5
2004,1,51.5
2004,2,55.0
2004,3,61.5
2004,4,68.0
2004,5,75.5
2004,6,81.0
2004,7,83.0
2004,8,82.5
2004,9,79.0
2004,10,69.5
2004,11,60.5
2004,12,53.5
2005,1,51.5
2005,2,55.0
2005,3,61.5
2005,4,68.0
2005,5,75.5
2005,6,81.0
2005,7,83.0
2005,8,82.5
2005,9,79.0
2005,10,69.5
2005,11,60.5
2005,12,53.5
2006,1,51.5
2006,2,55.0
2006,3,61.5
2006,4,68.0
2006,5,75.5
2006,6,81.0
2006,7,83.0
2006,8,82.5
2006,9,79.0
2006,10,69.5
2006,11,60.5
2006,12,53.5
2007,1,51.5
2007,2,55.0
2007,3,61.5
2007,4,68.0
2007,5,75.5
2007,6,81.0
2007,7,83.0
2007,8,82.5
2007,9,79.0
2007,10,69.5
2007,11,60.5
2007,12,53.5
2008,1,51.5
2008,2,55.0
2008,3,61.5
2008,4,68.0
2008,5,75.5
2008,6,81.0
2008,7,83.0
2008,8,82.5
2008,9,79.0
2008,10,69.5
2008,11,60.5
2008,12,53.5
2009,1,51.5
2009,2,55.0
2009,3,61.5
2009,4,68.0
2009,5,75.5
2009,6,81.0
2009,7,83.0
2009,8,82.5
2009,9,79.0
2009,10,69.5
2009,11,60.5
2009,12,53.5
2010,1,51.5
2010,2,55.0
2010,3,61.5
2010,4,68.0
2010,5,75.5
2010,6,81.0
2010,7,83.0
2010,8,82.5
2010,9,79.0
2010,10,69.5
2010,11,60.5
2010,12,53.5
2011,1,51.5
2011,2,55.0
2011,3,61.5
2011,4,68.0
2011,5,75.5
2011,6,81.0
2011,7,83.0
2011,8,82.5
2011,9,79.0
2011,10,69.5
2011,11,60.5
2011,12,53.5
2012,1,51.5
2012,2,55.0
2012,3,61.5
2012,4,68.0
2012,5,75.5
2012,6,81.0
2012,7,83.0
2012,8,82.5
2012,9,79.0
2012,10,69.5
2012,11,60.5
2012,12,53.5
2013,1,51.5
2013,2,55.0
2013,3,61.5
2013,4,68.0
2013,5,75.5
2013,6,81.0
2013,7,83.0
2013,8,82.5
2013,9,79.0
2013,10,69.5
2013,11,60.5
2013,12,53.5
2014,1,51.5
2014,2,55.0
2014,3,61.5
2014,4,68.0
2014,5,75.5
2014,6,81.0
2014,7,83.0
2014,8,82.5
2014,9,79.0
2014,10,69.5
2014,11,60.5
2014,12,53.5
2015,1,51.5
2015,2,55.0
2015,3,61.5
2015,4,68.0
2015,5,75.5
2015,6,81.0
2015,7,83.0
2015,8,82.5
2015,9,79.0
2015,10,69.5
2015,11,60.5
2015,12,53.5
2016,1,51.5
2016,2,55.0
2016,3,61.5
2016,4,68.0
2016,5,75.5
2016,6,81.0
2016,7,83.0
2016,8,82.5
2016,9,79.0
2016,10,69.5
2016,11,60.5
2016,12,53.5
2017,1,51.5
2017,2,55.0
2017,3,61.5
2017,4,68.0
2017,5,75.5
2017,6,81.0
2017,7,83.0
2017,8,82.5
2017,9,79.0
2017,10,69.5
2017,11,60.5
2017,12,53.5
2018,1,51.5
2018,2,55.0
2018,3,61.5
2018,4,68.0
2018,5,75.5
2018,6,81.0
2018,7,83.0
2018,8,82.5
2018,9,79.0
2018,10,69.5
2018,11,60.5
2018,12,53.5
2019,1,51.5
2019,2,55.0
2019,3,61.5
2019,4,68.0
2019,5,75.5
2019,6,81.0
2019,7,83.0
2019,8,82.5
2019,9,79.0
2019,10,69.5
2019,11,60.5
2019,12,53.5
2020,1,51.5
2020,2,55.0
2020,3,61.5
2020,4,68.0
2020,5,75.5
2020,6,81.0
2020,7,83.0
2020,8,82.5
2020,9,79.0
2020,10,69.5
2020,11,60.5
2020,12,53.5
2021,1,51.5
2021,2,55.0
2021,3,61.5
2021,4,68.0
2021,5,75.5
2021,6,81.0
2021,7,83.0
2021,8,82.5
2021,9,79.0
2021,10,69.5
2021,11,53.9
2021,12,62.8
2022,1,48.7
2022,2,53.9
2022,3,60.9
2022,4,68.3
2022,5,77.7
2022,6,82.7
2022,7,81.8
2022,8,80.3
2022,9,77.2
2022,10,67.4
2022,11,59.9
2022,12,56.4
2023,1,58.5
2023,2,61.6
2023,3,66.7
2023,4,69.1
2023,5,77.4
2023,6,83.7
2023,7,86.9
2023,8,88.9
2023,9,81.9
2023,10,70.7
2023,11,60.7
2023,12,55.7
2024,1,51.1
2024,2,60.6
2024,3,64.5
2024,4,71.2
2024,5,80.0
2024,6,83.5
2024,7,83.8
2024,8,86.0
2024,9,79.9
2024,10,72.6
2024,11,60.5
