year,month,tavg
2001,1,19.7
2001,2,21.6
2001,3,29.1
2001,4,42.3
2001,5,56.5
2001,6,66.9
2001,7,66.9
2001,8,70.9
2001,9,61.5
2001,10,51.1
2001,11,41.2
2001,12,32.8
2002,1,27.3
2002,2,27.0
2002,3,32.9
2002,4,43.4
2002,5,52.7
2002,6,61.1
2002,7,69.0
2002,8,70.4
2002,9,62.5
2002,10,45.3
2002,11,34.6
2002,12,25.4
2003,1,14.2
2003,2,18.1
2003,3,28.9
2003,4,40.2
2003,5,52.0
2003,6,63.6
2003,7,68.8
2003,8,68.6
2003,9,61.1
2003,10,47.7
2003,11,38.4
2003,12,28.0
2004,1,10.9
2004,2,23.4
2004,3,32.6
2004,4,43.0
2004,5,54.0
2004,6,60.9
2004,7,66.7
2004,8,67.3
2004,9,60.0
2004,10,48.3
2004,11,37.7
2004,12,24.5
2005,1,16.3
2005,2,24.6
2005,3,29.2
2005,4,44.7
2005,5,49.1
2005,6,65.2
2005,7,69.4
2005,8,69.0
2005,9,62.8
2005,10,49.5
2005,11,38.8
2005,12,25.3
2006,1,27.6
2006,2,23.4
2006,3,33.4
2006,4,46.0
2006,5,55.1
2006,6,64.5
2006,7,71.6
2006,8,65.3
2006,9,59.3
2006,10,48.4
2006,11,42.6
2006,12,32.4
2007,1,22.1
2007,2,17.5
2007,3,30.7
2007,4,41.3
2007,5,55.6
2007,6,64.0
2007,7,67.6
2007,8,67.4
2007,9,61.6
2007,10,52.9
2007,11,35.6
2007,12,23.0
2008,1,24.3
2008,2,24.1
2008,3,29.6
2008,4,45.4
2008,5,53.9
2008,6,64.1
2008,7,70.6
2008,8,65.2
2008,9,59.8
2008,10,47.9
2008,11,38.0
2008,12,24.9
2009,1,14.5
2009,2,23.7
2009,3,31.1
2009,4,46.5
2009,5,54.3
2009,6,60.3
2009,7,64.7
2009,8,68.7
2009,9,58.4
2009,10,44.9
2009,11,41.3
2009,12,26.2
2010,1,24.0
2010,2,28.0
2010,3,39.2
2010,4,48.5
2010,5,58.1
2010,6,63.6
2010,7,72.0
2010,8,68.8
2010,9,61.7
2010,10,48.6
2010,11,37.8
2010,12,27.0
2011,1,19.2
2011,2,22.1
2011,3,31.2
2011,4,43.2
2011,5,54.5
2011,6,61.8
2011,7,71.8
2011,8,67.6
2011,9,61.9
2011,10,50.7
2011,11,42.5
2011,12,30.4
2012,1,23.3
2012,2,27.7
2012,3,38.5
2012,4,46.1
2012,5,56.3
2012,6,62.2
2012,7,70.8
2012,8,69.8
2012,9,58.6
2012,10,51.5
2012,11,35.5
2012,12,29.4
2013,1,22.3
2013,2,24.7
2013,3,33.5
2013,4,43.1
2013,5,54.6
2013,6,64.5
2013,7,70.9
2013,8,67.2
2013,9,59.5
2013,10,50.7
2013,11,35.5
2013,12,21.2
2014,1,19.0
2014,2,21.9
2014,3,24.9
2014,4,42.4
2014,5,54.3
2014,6,64.2
2014,7,69.5
2014,8,66.4
2014,9,59.8
2014,10,51.7
2014,11,35.9
2014,12,29.1
2015,1,17.0
2015,2,10.7
2015,3,27.0
2015,4,42.3
2015,5,58.7
2015,6,60.5
2015,7,68.2
2015,8,69.4
2015,9,64.8
2015,10,46.8
2015,11,40.9
2015,12,34.8
2016,1,24.7
2016,2,26.6
2016,3,34.5
2016,4,42.2
2016,5,55.4
2016,6,62.7
2016,7,70.4
2016,8,70.4
2016,9,62.7
2016,10,50.0
2016,11,40.0
2016,12,25.2
2017,1,26.9
2017,2,26.1
2017,3,26.4
2017,4,45.8
2017,5,52.9
2017,6,64.3
2017,7,68.7
2017,8,67.1
2017,9,63.8
2017,10,56.3
2017,11,36.9
2017,12,20.8
2018,1,20.6
2018,2,28.9
2018,3,32.5
2018,4,40.7
2018,5,57.9
2018,6,63.3
2018,7,71.3
2018,8,71.1
2018,9,62.0
2018,10,45.6
2018,11,32.8
2018,12,25.9
2019,1,19.2
2019,2,23.2
2019,3,30.2
2019,4,42.7
2019,5,51.4
2019,6,62.6
2019,7,72.4
2019,8,68.2
2019,9,59.9
2019,10,50.2
2019,11,33.6
2019,12,27.9
2020,1,25.8
2020,2,26.2
2020,3,35.1
2020,4,41.5
2020,5,54.7
2020,6,65.5
2020,7,71.0
2020,8,69.0
2020,9,61.0
2020,10,48.2
2020,11,41.2
2020,12,30.8
2021,1,25.5
2021,2,24.4
2021,3,33.7
2021,4,46.1
2021,5,55.9
2021,6,68.7
2021,7,66.0
2021,8,71.4
2021,9,63.9
2021,10,53.9
2021,11,39.9
2021,12,29.9
2022,1,18.2
2022,2,26.0
2022,3,35.1
2022,4,45.8
2022,5,58.4
2022,6,64.0
2022,7,73.3
2022,8,71.4
2022,9,61.1
2022,10,52.5
2022,11,42.7
2022,12,32.1
2023,1,29.6
2023,2,25.5
2023,3,35.7
2023,4,46.5
2023,5,57.6
2023,6,62.7
2023,7,72.5
2023,8,67.8
2023,9,64.8
2023,10,55.1
2023,11,36.9
2023,12,33.2
2024,1,26.0
2024,2,29.7
2024,3,37.2
2024,4,45.2
2024,5,58.3
2024,6,67.6
2024,7,73.9
2024,8,69.0
2024,9,63.1
2024,10,52.4
