year,month,tavg
2001,1,33.3
2001,2,38.7
2001,3,41.9
2001,4,55.6
2001,5,63.5
2001,6,74.3
2001,7,73.0
2001,8,77.3
2001,9,65.5
2001,10,56.1
2001,11,50.9
2001,12,42.2
2002,1,39.5
2002,2,39.5
2002,3,45.3
2002,4,56.9
2002,5,62.3
2002,6,74.1
2002,7,78.9
2002,8,78.7
2002,9,69.8
2002,10,56.2
2002,11,44.6
2002,12,34.5
2003,1,28.5
2003,2,30.5
2003,3,44.0
2003,4,53.1
2003,5,59.5
2003,6,70.0
2003,7,75.8
2003,8,76.5
2003,9,68.2
2003,10,55.3
2003,11,51.0
2003,12,36.6
2004,1,27.8
2004,2,35.1
2004,3,45.9
2004,4,55.0
2004,5,70.4
2004,6,71.8
2004,7,77.3
2004,8,75.4
2004,9,70.9
2004,10,58.0
2004,11,50.7
2004,12,40.1
2005,1,34.3
2005,2,36.2
2005,3,41.0
2005,4,54.9
2005,5,60.3
2005,6,73.7
2005,7,78.9
2005,8,79.2
2005,9,74.3
2005,10,59.9
2005,11,50.2
2005,12,35.7
2006,1,41.3
2006,2,37.5
2006,3,45.3
2006,4,57.2
2006,5,63.6
2006,6,72.5
2006,7,79.0
2006,8,78.8
2006,9,67.3
2006,10,57.1
2006,11,50.5
2006,12,43.8
2007,1,40.4
2007,2,30.5
2007,3,45.0
2007,4,51.6
2007,5,65.4
2007,6,73.8
2007,7,77.2
2007,8,77.5
2007,9,71.9
2007,10,64.6
2007,11,48.0
2007,12,40.4
2008,1,38.8
2008,2,39.5
2008,3,46.9
2008,4,56.5
2008,5,63.6
2008,6,76.1
2008,7,79.2
2008,8,75.8
2008,9,71.7
2008,10,58.5
2008,11,47.9
2008,12,40.6
2009,1,31.9
2009,2,39.6
2009,3,43.8
2009,4,55.6
2009,5,64.7
2009,6,72.1
2009,7,75.5
2009,8,77.9
2009,9,68.6
2009,10,57.5
2009,11,51.2
2009,12,38.6
2010,1,33.9
2010,2,34.2
2010,3,48.8
2010,4,58.0
2010,5,67.2
2010,6,78.5
2010,7,80.9
2010,8,77.9
2010,9,72.3
2010,10,59.3
2010,11,48.9
2010,12,32.7
2011,1,31.3
2011,2,38.3
2011,3,44.6
2011,4,57.1
2011,5,67.9
2011,6,77.0
2011,7,81.8
2011,8,77.2
2011,9,71.6
2011,10,58.8
2011,11,52.4
2011,12,46.0
2012,1,40.7
2012,2,43.5
2012,3,54.3
2012,4,57.5
2012,5,69.8
2012,6,75.3
2012,7,82.8
2012,8,79.8
2012,9,71.7
2012,10,61.0
2012,11,46.7
2012,12,45.1
2013,1,37.9
2013,2,36.1
2013,3,41.5
2013,4,55.0
2013,5,64.1
2013,6,74.1
2013,7,79.2
2013,8,74.4
2013,9,68.2
2013,10,59.9
2013,11,45.9
2013,12,40.0
2014,1,30.0
2014,2,33.6
2014,3,39.1
2014,4,53.1
2014,5,65.1
2014,6,73.7
2014,7,76.5
2014,8,74.6
2014,9,70.0
2014,10,60.5
2014,11,45.2
2014,12,41.1
2015,1,32.7
2015,2,27.0
2015,3,39.1
2015,4,54.4
2015,5,67.9
2015,6,74.4
2015,7,77.9
2015,8,76.3
2015,9,72.5
2015,10,57.6
2015,11,52.8
2015,12,49.6
2016,1,35.0
2016,2,38.1
2016,3,49.4
2016,4,54.4
2016,5,61.3
2016,6,73.9
2016,7,80.2
2016,8,80.8
2016,9,74.4
2016,10,62.7
2016,11,51.7
2016,12,41.5
2017,1,41.1
2017,2,44.8
2017,3,45.0
2017,4,61.5
2017,5,64.5
2017,6,75.7
2017,7,78.9
2017,8,76.1
2017,9,72.3
2017,10,64.7
2017,11,49.0
2017,12,37.6
2018,1,33.5
2018,2,43.5
2018,3,42.7
2018,4,53.9
2018,5,70.4
2018,6,75.9
2018,7,80.5
2018,8,80.5
2018,9,75.3
2018,10,63.7
2018,11,47.4
2018,12,43.7
2019,1,38.0
2019,2,40.0
2019,3,46.1
2019,4,60.6
2019,5,69.5
2019,6,76.8
2019,7,82.5
2019,8,80.4
2019,9,75.8
2019,10,62.8
2019,11,45.5
2019,12,40.1
2020,1,40.8
2020,2,41.3
2020,3,49.7
2020,4,53.0
2020,5,61.2
2020,6,74.4
2020,7,81.2
2020,8,78.0
2020,9,69.9
2020,10,60.8
2020,11,53.0
2020,12,41.1
2021,1,37.3
2021,2,36.2
2021,3,48.2
2021,4,56.0
2021,5,64.1
2021,6,74.6
2021,7,78.9
2021,8,78.4
2021,9,72.5
2021,10,65.2
2021,11,47.8
2021,12,46.1
2022,1,33.0
2022,2,40.4
2022,3,48.3
2022,4,54.4
2022,5,65.6
2022,6,74.0
2022,7,79.5
2022,8,78.9
2022,9,71.6
2022,10,57.4
2022,11,51.4
2022,12,39.6
2023,1,43.7
2023,2,44.1
2023,3,46.8
2023,4,59.4
2023,5,63.2
2023,6,71.2
2023,7,79.7
2023,8,77.4
2023,9,71.8
2023,10,61.1
2023,11,48.2
2023,12,45.1
2024,1,39.7
2024,2,42.7
2024,3,49.6
2024,4,58.1
2024,5,67.2
2024,6,77.4
2024,7,80.0
2024,8,76.5
2024,9,70.5
2024,10,59.6
2024,11,62.6
