year,month,tavg
2001,1,27.3
2001,2,29.0
2001,3,33.6
2001,4,48.1
2001,5,59.3
2001,6,69.7
2001,7,68.6
2001,8,73.1
2001,9,64.2
2001,10,54.7
2001,11,46.7
2001,12,37.7
2002,1,34.6
2002,2,34.2
2002,3,39.0
2002,4,48.5
2002,5,55.9
2002,6,64.5
2002,7,72.4
2002,8,73.7
2002,9,66.3
2002,10,49.9
2002,11,40.6
2002,12,30.7
2003,1,20.7
2003,2,24.4
2003,3,35.8
2003,4,43.4
2003,5,54.6
2003,6,64.2
2003,7,72.8
2003,8,72.4
2003,9,64.0
2003,10,50.9
2003,11,44.0
2003,12,33.3
2004,1,17.0
2004,2,29.5
2004,3,36.8
2004,4,48.0
2004,5,58.5
2004,6,64.8
2004,7,69.6
2004,8,69.9
2004,9,63.7
2004,10,51.7
2004,11,41.9
2004,12,32.7
2005,1,24.2
2005,2,29.7
2005,3,32.4
2005,4,49.5
2005,5,51.2
2005,6,68.1
2005,7,71.7
2005,8,73.6
2005,9,67.8
2005,10,54.5
2005,11,46.3
2005,12,32.6
2006,1,35.2
2006,2,30.3
2006,3,37.7
2006,4,48.6
2006,5,56.6
2006,6,67.9
2006,7,75.1
2006,8,69.0
2006,9,60.8
2006,10,51.2
2006,11,47.0
2006,12,38.8
2007,1,32.1
2007,2,25.5
2007,3,36.9
2007,4,45.4
2007,5,59.8
2007,6,67.0
2007,7,71.4
2007,8,70.5
2007,9,63.9
2007,10,56.3
2007,11,39.9
2007,12,29.6
2008,1,30.3
2008,2,30.8
2008,3,36.6
2008,4,48.6
2008,5,55.0
2008,6,68.1
2008,7,73.2
2008,8,67.0
2008,9,62.0
2008,10,49.3
2008,11,40.4
2008,12,34.3
2009,1,21.9
2009,2,30.8
2009,3,36.6
2009,4,49.8
2009,5,58.6
2009,6,62.4
2009,7,68.3
2009,8,71.8
2009,9,59.9
2009,10,49.8
2009,11,46.5
2009,12,31.1
2010,1,27.5
2010,2,31.1
2010,3,43.1
2010,4,52.0
2010,5,61.5
2010,6,69.1
2010,7,75.7
2010,8,71.5
2010,9,65.5
2010,10,52.4
2010,11,41.4
2010,12,28.7
2011,1,22.8
2011,2,27.4
2011,3,37.9
2011,4,49.7
2011,5,59.0
2011,6,66.6
2011,7,75.1
2011,8,71.8
2011,9,66.3
2011,10,54.4
2011,11,48.2
2011,12,39.0
2012,1,33.9
2012,2,36.1
2012,3,45.9
2012,4,51.8
2012,5,61.1
2012,6,66.5
2012,7,74.7
2012,8,74.0
2012,9,63.8
2012,10,55.8
2012,11,39.9
2012,12,37.1
2013,1,30.9
2013,2,30.5
2013,3,37.4
2013,4,48.5
2013,5,58.8
2013,6,68.4
2013,7,76.1
2013,8,69.0
2013,9,61.9
2013,10,51.7
2013,11,40.4
2013,12,31.8
2014,1,26.0
2014,2,25.7
2014,3,31.8
2014,4,47.6
2014,5,58.4
2014,6,66.8
2014,7,72.7
2014,8,68.0
2014,9,62.8
2014,10,54.3
2014,11,40.7
2014,12,36.9
2015,1,24.6
2015,2,16.5
2015,3,31.8
2015,4,47.9
2015,5,62.3
2015,6,64.6
2015,7,72.6
2015,8,71.9
2015,9,65.7
2015,10,50.9
2015,11,45.3
2015,12,43.1
2016,1,30.5
2016,2,33.7
2016,3,42.7
2016,4,47.0
2016,5,58.4
2016,6,67.1
2016,7,74.2
2016,8,73.9
2016,9,65.1
2016,10,53.3
2016,11,44.0
2016,12,33.5
2017,1,34.5
2017,2,35.7
2017,3,34.2
2017,4,52.7
2017,5,57.1
2017,6,68.5
2017,7,71.2
2017,8,69.7
2017,9,66.9
2017,10,60.2
2017,11,43.8
2017,12,29.4
2018,1,29.5
2018,2,38.9
2018,3,38.2
2018,4,46.5
2018,5,63.9
2018,6,68.2
2018,7,76.2
2018,8,76.4
2018,9,67.9
2018,10,53.2
2018,11,42.9
2018,12,36.7
2019,1,30.7
2019,2,33.1
2019,3,37.8
2019,4,51.3
2019,5,58.2
2019,6,69.5
2019,7,77.7
2019,8,73.6
2019,9,64.7
2019,10,56.1
2019,11,40.4
2019,12,35.6
2020,1,36.7
2020,2,37.0
2020,3,43.8
2020,4,46.1
2020,5,58.7
2020,6,69.6
2020,7,76.0
2020,8,73.3
2020,9,64.1
2020,10,53.8
2020,11,47.8
2020,12,36.7
2021,1,27.7
2021,2,27.4
2021,3,37.4
2021,4,45.4
2021,5,56.1
2021,6,69.2
2021,7,68.3
2021,8,71.9
2021,9,64.7
2021,10,56.3
2021,11,40.4
2021,12,35.6
2022,1,23.8
2022,2,29.0
2022,3,37.9
2022,4,46.1
2022,5,58.2
2022,6,65.0
2022,7,74.7
2022,8,73.0
2022,9,62.2
2022,10,53.0
2022,11,45.1
2022,12,33.4
2023,1,34.6
2023,2,32.2
2023,3,36.6
2023,4,49.0
2023,5,56.1
2023,6,62.6
2023,7,72.8
2023,8,68.1
2023,9,63.8
2023,10,55.0
2023,11,38.3
2023,12,36.7
2024,1,28.9
2024,2,30.9
2024,3,39.2
2024,4,45.6
2024,5,56.7
2024,6,68.4
2024,7,73.8
2024,8,69.3
2024,9,62.7
2024,10,52.3
2024,11,58.8
