year,month,stateDescription,sectorName,price,revenue,sales,tavg
2001,1,Alabama,all sectors,5.54,407.61261,7362.47302,43.7
2001,2,Alabama,all sectors,5.31,321.06715,6041.02574,55.0
2001,3,Alabama,all sectors,5.87,345.77802,5894.61038,53.4
2001,4,Alabama,all sectors,5.72,347.18634,6064.53539,66.0
2001,5,Alabama,all sectors,5.6,359.09236,6413.9653,72.2
2001,6,Alabama,all sectors,5.56,398.57839,7169.37956,77.1
2001,7,Alabama,all sectors,5.81,452.58496,7794.07207,81.2
2001,8,Alabama,all sectors,5.78,457.32416,7906.56345,80.3
2001,9,Alabama,all sectors,5.56,395.18199,7102.06398,73.9
2001,10,Alabama,all sectors,5.49,328.63523,5983.28302,62.7
2001,11,Alabama,all sectors,5.39,313.09223,5811.72204,60.5
2001,12,Alabama,all sectors,5.53,321.72856,5814.56404,51.7
2002,1,Alabama,all sectors,5.48,389.88061,7120.43573,49.6
2002,2,Alabama,all sectors,5.53,317.68993,5744.7063,47.3
2002,3,Alabama,all sectors,5.65,353.36232,6254.17135,57.9
2002,4,Alabama,all sectors,5.53,341.96654,6181.17754,68.1
2002,5,Alabama,all sectors,5.63,381.72727,6781.58273,72.5
2002,6,Alabama,all sectors,5.85,425.82205,7277.51734,79.1
2002,7,Alabama,all sectors,6.06,499.41289,8243.23275,82.0
2002,8,Alabama,all sectors,6.05,504.51901,8335.44792,81.7
2002,9,Alabama,all sectors,5.94,451.65138,7601.76877,79.6
2002,10,Alabama,all sectors,5.72,385.25597,6732.68209,70.0
2002,11,Alabama,all sectors,5.36,324.98902,6066.34578,53.7
2002,12,Alabama,all sectors,5.47,368.26502,6728.00968,46.8
2003,1,Alabama,all sectors,5.9,429.20504,7280.36274,42.3
2003,2,Alabama,all sectors,5.61,380.12149,6778.65837,50.5
2003,3,Alabama,all sectors,5.54,346.94927,6264.53747,59.9
2003,4,Alabama,all sectors,5.82,355.90524,6120.37394,65.5
2003,5,Alabama,all sectors,5.49,379.39696,6914.25442,73.9
2003,6,Alabama,all sectors,6.16,434.25681,7054.39379,78.0
2003,7,Alabama,all sectors,6.29,503.54181,8008.47545,80.5
2003,8,Alabama,all sectors,6.31,521.63955,8260.47825,81.4
2003,9,Alabama,all sectors,6.11,466.46313,7639.48945,75.3
2003,10,Alabama,all sectors,5.61,362.37675,6461.85824,65.6
2003,11,Alabama,all sectors,5.56,344.58091,6201.62196,60.1
2003,12,Alabama,all sectors,5.9,404.70805,6859.71594,45.3
2004,1,Alabama,all sectors,5.83,438.66058,7521.61292,46.3
2004,2,Alabama,all sectors,5.86,404.20624,6901.00782,47.9
2004,3,Alabama,all sectors,5.96,397.11948,6663.81241,61.9
2004,4,Alabama,all sectors,6.12,390.33494,6374.5866,64.4
2004,5,Alabama,all sectors,6.03,436.59284,7242.95724,76.0
2004,6,Alabama,all sectors,6.31,491.53467,7789.94917,80.8
2004,7,Alabama,all sectors,6.43,557.04005,8660.00736,84.3
2004,8,Alabama,all sectors,6.39,533.26647,8347.30043,81.4
2004,9,Alabama,all sectors,6.28,453.14849,7212.96942,78.4
2004,10,Alabama,all sectors,6.2,414.30836,6683.05385,73.2
2004,11,Alabama,all sectors,5.64,357.00735,6331.37404,61.9
2004,12,Alabama,all sectors,5.67,405.19053,7141.88774,49.5
2005,1,Alabama,all sectors,5.68,420.52459,7402.728,51.8
2005,2,Alabama,all sectors,5.76,391.38135,6797.83636,54.0
2005,3,Alabama,all sectors,5.87,400.64706,6820.94994,55.7
2005,4,Alabama,all sectors,5.89,380.33934,6457.58173,62.9
2005,5,Alabama,all sectors,6.24,434.24853,6961.59508,70.4
2005,6,Alabama,all sectors,6.79,523.97507,7712.75716,79.0
2005,7,Alabama,all sectors,6.9,589.90959,8550.54482,82.1
2005,8,Alabama,all sectors,6.88,602.35646,8755.01461,79.8
2005,9,Alabama,all sectors,7.17,605.00269,8438.94882,78.3
2005,10,Alabama,all sectors,6.58,479.37632,7287.83009,64.6
2005,11,Alabama,all sectors,6.7,437.94459,6535.95405,57.6
2005,12,Alabama,all sectors,6.67,499.01442,7479.87933,46.2
2006,1,Alabama,all sectors,6.23,457.7794,7350.44558,53.5
2006,2,Alabama,all sectors,6.46,439.80907,6808.63313,48.4
2006,3,Alabama,all sectors,6.43,441.44097,6869.84338,58.4
2006,4,Alabama,all sectors,7.01,462.67759,6601.07485,68.8
2006,5,Alabama,all sectors,6.85,509.03232,7430.58303,72.2
2006,6,Alabama,all sectors,7.82,635.64541,8132.85106,79.4
2006,7,Alabama,all sectors,7.75,712.68634,9201.2669,82.0
2006,8,Alabama,all sectors,8.13,756.01145,9304.33069,82.2
2006,9,Alabama,all sectors,7.49,621.34358,8290.94193,74.3
2006,10,Alabama,all sectors,6.68,472.23622,7064.91591,63.9
2006,11,Alabama,all sectors,6.61,425.89849,6439.11596,54.2
2006,12,Alabama,all sectors,6.64,476.72115,7183.69257,50.6
2007,1,Alabama,all sectors,6.99,520.09553,7441.65892,49.0
2007,2,Alabama,all sectors,7.31,531.18836,7267.45693,48.1
2007,3,Alabama,all sectors,7.14,494.11725,6917.58391,62.0
2007,4,Alabama,all sectors,7.32,481.00217,6567.2134,62.4
2007,5,Alabama,all sectors,7.48,551.58025,7375.90246,73.9
2007,6,Alabama,all sectors,7.97,650.32291,8159.60413,80.9
2007,7,Alabama,all sectors,7.8,688.45033,8825.46684,80.4
2007,8,Alabama,all sectors,8.45,803.22334,9505.24287,85.8
2007,9,Alabama,all sectors,7.71,663.72505,8604.49504,77.4
2007,10,Alabama,all sectors,7.58,561.39529,7407.42847,68.4
2007,11,Alabama,all sectors,7.35,485.91429,6607.39397,55.0
2007,12,Alabama,all sectors,7.31,522.85323,7149.01705,52.5
2008,1,Alabama,all sectors,7.68,611.56793,7959.03288,44.9
2008,2,Alabama,all sectors,7.49,547.08186,7302.28586,51.1
2008,3,Alabama,all sectors,7.22,503.51233,6976.32628,57.5
2008,4,Alabama,all sectors,7.49,495.52768,6616.11198,65.0
2008,5,Alabama,all sectors,7.88,564.59766,7161.46191,73.3
2008,6,Alabama,all sectors,9.2,767.20272,8338.29639,80.0
2008,7,Alabama,all sectors,9.47,839.28156,8857.94534,80.8
2008,8,Alabama,all sectors,9.33,812.06675,8704.04386,80.7
2008,9,Alabama,all sectors,9.26,733.61008,7921.9559,76.1
2008,10,Alabama,all sectors,9.42,635.22216,6745.79405,63.9
2008,11,Alabama,all sectors,9.27,585.31735,6312.27553,53.4
2008,12,Alabama,all sectors,9.02,614.09444,6811.74905,53.1
2009,1,Alabama,all sectors,9.14,653.54995,7153.59302,48.2
2009,2,Alabama,all sectors,9.01,588.83524,6538.09475,49.9
2009,3,Alabama,all sectors,8.68,532.73946,6140.10244,58.9
2009,4,Alabama,all sectors,8.75,505.95245,5785.37336,64.0
2009,5,Alabama,all sectors,8.61,561.22806,6516.99188,72.7
2009,6,Alabama,all sectors,9.66,703.35757,7281.39152,81.3
2009,7,Alabama,all sectors,9.07,765.26122,8437.90342,79.4
2009,8,Alabama,all sectors,9.2,741.85436,8065.032,78.8
2009,9,Alabama,all sectors,8.7,645.57865,7422.65326,75.6
2009,10,Alabama,all sectors,8.04,514.3787,6396.99344,64.9
2009,11,Alabama,all sectors,8.12,498.57251,6141.67277,54.0
2009,12,Alabama,all sectors,8.66,603.26038,6964.80012,46.6
2010,1,Alabama,all sectors,8.54,690.43026,8086.52207,41.3
2010,2,Alabama,all sectors,8.22,610.51844,7427.48953,42.9
2010,3,Alabama,all sectors,8.33,576.59797,6923.10662,52.9
2010,4,Alabama,all sectors,8.62,537.81939,6239.46822,66.3
2010,5,Alabama,all sectors,8.84,613.08292,6933.68714,75.9
2010,6,Alabama,all sectors,9.16,754.00109,8230.91886,82.4
2010,7,Alabama,all sectors,9.14,825.60801,9032.34484,83.8
2010,8,Alabama,all sectors,9.59,877.44251,9154.18362,83.7
2010,9,Alabama,all sectors,9.17,749.35001,8169.19109,79.5
2010,10,Alabama,all sectors,9.06,601.13292,6633.44326,66.6
2010,11,Alabama,all sectors,8.79,546.56647,6217.23817,56.7
2010,12,Alabama,all sectors,8.86,692.32874,7815.0516,42.0
2011,1,Alabama,all sectors,8.76,713.50872,8147.00302,42.9
2011,2,Alabama,all sectors,8.71,613.18722,7036.97381,51.4
2011,3,Alabama,all sectors,8.29,558.453,6736.34265,59.9
2011,4,Alabama,all sectors,8.44,539.86262,6395.86961,68.2
2011,5,Alabama,all sectors,9.08,620.56355,6832.32772,71.9
2011,6,Alabama,all sectors,9.65,805.411,8348.77176,82.5
2011,7,Alabama,all sectors,9.71,855.61851,8807.71352,81.6
2011,8,Alabama,all sectors,9.73,897.78339,9226.12209,83.3
2011,9,Alabama,all sectors,9.35,713.60109,7634.76474,73.7
2011,10,Alabama,all sectors,9.14,590.40858,6461.04292,62.1
2011,11,Alabama,all sectors,8.81,560.56896,6359.99802,57.2
2011,12,Alabama,all sectors,9.0,631.08447,7008.43914,51.6
2012,1,Alabama,all sectors,8.8,629.07482,7149.77908,51.9
2012,2,Alabama,all sectors,8.86,583.8368,6587.39991,54.4
2012,3,Alabama,all sectors,8.78,575.8359,6561.12209,66.1
2012,4,Alabama,all sectors,8.77,564.86306,6442.71144,67.2
2012,5,Alabama,all sectors,8.89,644.64605,7254.37336,74.7
2012,6,Alabama,all sectors,9.76,753.96455,7728.74406,78.8
2012,7,Alabama,all sectors,9.88,855.94466,8667.80893,82.3
2012,8,Alabama,all sectors,9.76,818.79811,8390.14305,79.7
2012,9,Alabama,all sectors,9.55,715.94238,7500.5924,74.8
2012,10,Alabama,all sectors,8.95,587.32712,6565.28152,64.2
2012,11,Alabama,all sectors,8.76,566.07978,6459.509,52.7
2012,12,Alabama,all sectors,8.93,614.1486,6875.08317,52.7
2013,1,Alabama,all sectors,8.74,639.28334,7313.85836,52.8
2013,2,Alabama,all sectors,8.77,589.84273,6724.17875,50.4
2013,3,Alabama,all sectors,8.75,608.59566,6957.05391,52.4
2013,4,Alabama,all sectors,8.56,554.55671,6479.16646,64.8
2013,5,Alabama,all sectors,8.81,605.34774,6873.14982,71.0
2013,6,Alabama,all sectors,9.67,759.35457,7848.79871,79.3
2013,7,Alabama,all sectors,9.5,784.43701,8260.49919,77.9
2013,8,Alabama,all sectors,9.55,806.84129,8450.25927,78.7
2013,9,Alabama,all sectors,9.58,746.8699,7796.40186,76.4
2013,10,Alabama,all sectors,8.86,618.40265,6983.45922,66.6
2013,11,Alabama,all sectors,8.41,566.83841,6744.05591,54.0
2013,12,Alabama,all sectors,8.67,643.29242,7421.22556,50.4
2014,1,Alabama,all sectors,9.21,789.08104,8563.47246,39.5
2014,2,Alabama,all sectors,9.18,672.32434,7322.17446,50.2
2014,3,Alabama,all sectors,9.03,638.93312,7073.89548,55.2
2014,4,Alabama,all sectors,8.82,563.13435,6388.39677,66.4
2014,5,Alabama,all sectors,9.13,643.02726,7040.45563,73.1
2014,6,Alabama,all sectors,9.75,770.92175,7907.46159,78.8
2014,7,Alabama,all sectors,9.81,828.57996,8442.19332,79.5
2014,8,Alabama,all sectors,9.8,844.43941,8614.98509,80.2
2014,9,Alabama,all sectors,9.49,767.82804,8087.94712,77.4
2014,10,Alabama,all sectors,8.82,614.46417,6967.66486,66.6
2014,11,Alabama,all sectors,9.01,609.16298,6759.14673,50.1
2014,12,Alabama,all sectors,8.8,644.49349,7325.93351,51.7
2015,1,Alabama,all sectors,8.92,714.18061,8009.64078,45.9
2015,2,Alabama,all sectors,9.32,692.75712,7434.52386,44.0
2015,3,Alabama,all sectors,9.07,636.1089,7010.49851,59.9
2015,4,Alabama,all sectors,9.03,574.10881,6358.56122,68.1
2015,5,Alabama,all sectors,9.43,660.90864,7009.6097,73.4
2015,6,Alabama,all sectors,9.84,795.57473,8081.85578,80.0
2015,7,Alabama,all sectors,9.92,883.14036,8902.9838,82.4
2015,8,Alabama,all sectors,9.82,859.08913,8749.29027,80.8
2015,9,Alabama,all sectors,9.78,749.42108,7661.55163,75.6
2015,10,Alabama,all sectors,8.97,601.68413,6705.36285,66.4
2015,11,Alabama,all sectors,8.71,546.40601,6274.53251,60.5
2015,12,Alabama,all sectors,8.7,578.41295,6647.1321,58.1
2016,1,Alabama,all sectors,8.94,687.35167,7688.45908,45.6
2016,2,Alabama,all sectors,9.01,627.87649,6968.01711,51.9
2016,3,Alabama,all sectors,9.1,585.60713,6436.84691,61.7
2016,4,Alabama,all sectors,9.26,573.5266,6194.28071,65.6
2016,5,Alabama,all sectors,9.32,643.60917,6904.39354,72.7
2016,6,Alabama,all sectors,9.84,788.32612,8013.83925,80.4
2016,7,Alabama,all sectors,10.04,885.64944,8823.54098,82.2
2016,8,Alabama,all sectors,9.98,884.91133,8865.50135,82.2
2016,9,Alabama,all sectors,9.96,806.96243,8102.65939,79.5
2016,10,Alabama,all sectors,9.81,674.15455,6870.84835,69.6
2016,11,Alabama,all sectors,9.39,592.97761,6315.0103,59.2
2016,12,Alabama,all sectors,9.73,685.48597,7041.74402,52.6
2017,1,Alabama,all sectors,9.5,684.12731,7200.31745,54.2
2017,2,Alabama,all sectors,9.76,599.86963,6148.61528,57.6
2017,3,Alabama,all sectors,9.67,640.00047,6618.94861,60.2
2017,4,Alabama,all sectors,9.53,619.8306,6503.17404,69.2
