year,month,tavg
2001,1,25.0
2001,2,26.8
2001,3,32.1
2001,4,48.7
2001,5,59.4
2001,6,66.6
2001,7,69.8
2001,8,71.1
2001,9,58.9
2001,10,50.2
2001,11,46.6
2001,12,34.6
2002,1,30.7
2002,2,30.0
2002,3,31.7
2002,4,47.5
2002,5,52.0
2002,6,68.8
2002,7,73.4
2002,8,69.5
2002,9,64.8
2002,10,47.2
2002,11,36.6
2002,12,27.0
2003,1,16.6
2003,2,20.1
2003,3,32.4
2003,4,45.4
2003,5,54.0
2003,6,63.8
2003,7,69.3
2003,8,69.7
2003,9,61.0
2003,10,48.5
2003,11,41.2
2003,12,30.9
2004,1,16.6
2004,2,23.5
2004,3,39.1
2004,4,48.5
2004,5,58.6
2004,6,65.2
2004,7,69.2
2004,8,65.4
2004,9,65.1
2004,10,51.5
2004,11,40.7
2004,12,28.7
2005,1,22.1
2005,2,28.5
2005,3,31.0
2005,4,50.4
2005,5,55.0
2005,6,72.4
2005,7,73.1
2005,8,72.7
2005,9,66.7
2005,10,52.5
2005,11,41.2
2005,12,25.8
2006,1,33.6
2006,2,26.1
2006,3,35.8
2006,4,50.7
2006,5,58.2
2006,6,66.9
2006,7,74.0
2006,8,70.1
2006,9,58.8
2006,10,46.4
2006,11,41.0
2006,12,34.6
2007,1,27.0
2007,2,17.9
2007,3,39.3
2007,4,44.7
2007,5,61.4
2007,6,70.1
2007,7,70.6
2007,8,71.4
2007,9,64.7
2007,10,56.8
2007,11,37.4
2007,12,27.7
2008,1,26.5
2008,2,22.1
2008,3,32.0
2008,4,50.2
2008,5,55.6
2008,6,68.3
2008,7,71.3
2008,8,69.0
2008,9,63.2
2008,10,48.7
2008,11,38.0
2008,12,25.1
2009,1,16.7
2009,2,27.7
2009,3,36.4
2009,4,46.6
2009,5,58.0
2009,6,66.5
2009,7,66.7
2009,8,68.0
2009,9,62.1
2009,10,47.2
2009,11,43.5
2009,12,27.6
2010,1,23.3
2010,2,25.9
2010,3,39.6
2010,4,52.9
2010,5,61.1
2010,6,68.8
2010,7,74.8
2010,8,73.7
2010,9,61.5
2010,10,51.9
2010,11,40.1
2010,12,24.9
2011,1,20.0
2011,2,25.1
2011,3,32.6
2011,4,45.2
2011,5,59.0
2011,6,68.3
2011,7,76.5
2011,8,69.9
2011,9,60.7
2011,10,51.5
2011,11,43.0
2011,12,33.5
2012,1,29.0
2012,2,30.8
2012,3,49.4
2012,4,47.4
2012,5,63.0
2012,6,70.4
2012,7,77.8
2012,8,70.1
2012,9,61.3
2012,10,49.9
2012,11,38.1
2012,12,34.0
2013,1,27.1
2013,2,25.0
2013,3,31.1
2013,4,43.7
2013,5,62.0
2013,6,67.2
2013,7,71.6
2013,8,69.0
2013,9,62.0
2013,10,51.9
2013,11,37.0
2013,12,25.2
2014,1,16.1
2014,2,17.4
2014,3,26.7
2014,4,46.8
2014,5,59.1
2014,6,69.1
2014,7,67.6
2014,8,68.8
2014,9,60.8
2014,10,50.3
2014,11,34.5
2014,12,32.1
2015,1,20.8
2015,2,12.8
2015,3,32.9
2015,4,47.6
2015,5,61.7
2015,6,66.5
2015,7,70.5
2015,8,69.0
2015,9,66.3
2015,10,51.7
2015,11,44.7
2015,12,39.3
2016,1,25.8
2016,2,29.4
2016,3,40.1
2016,4,44.9
2016,5,59.3
2016,6,69.2
2016,7,73.7
2016,8,73.8
2016,9,66.1
2016,10,54.7
2016,11,45.5
2016,12,28.1
2017,1,28.9
2017,2,35.1
2017,3,35.3
2017,4,52.8
2017,5,57.8
2017,6,71.0
2017,7,73.1
2017,8,68.0
2017,9,64.9
2017,10,55.7
2017,11,38.3
2017,12,24.8
2018,1,24.0
2018,2,29.2
2018,3,33.0
2018,4,40.1
2018,5,64.6
2018,6,69.0
2018,7,73.6
2018,8,72.6
2018,9,65.3
2018,10,49.5
2018,11,34.0
2018,12,31.6
2019,1,21.5
2019,2,25.2
2019,3,32.0
2019,4,46.7
2019,5,56.4
2019,6,66.5
2019,7,74.7
2019,8,70.0
2019,9,65.7
2019,10,50.6
2019,11,33.8
2019,12,33.0
2020,1,30.2
2020,2,27.2
2020,3,38.8
2020,4,43.9
2020,5,56.8
2020,6,70.0
2020,7,75.9
2020,8,71.4
2020,9,61.2
2020,10,48.1
2020,11,44.4
2020,12,31.9
2021,1,27.2
2021,2,20.8
2021,3,41.6
2021,4,48.9
2021,5,58.0
2021,6,71.6
2021,7,72.5
2021,8,75.0
2021,9,65.3
2021,10,57.9
2021,11,39.1
2021,12,36.2
2022,1,21.3
2022,2,26.2
2022,3,37.0
2022,4,45.7
2022,5,63.4
2022,6,72.1
2022,7,73.8
2022,8,71.7
2022,9,64.2
2022,10,51.6
2022,11,42.3
2022,12,31.1
2023,1,32.2
2023,2,32.0
2023,3,36.1
2023,4,50.0
2023,5,59.5
2023,6,68.9
2023,7,72.6
2023,8,69.1
2023,9,64.3
2023,10,52.4
2023,11,38.9
2023,12,38.1
2024,1,26.4
2024,2,35.0
2024,3,40.2
2024,4,50.6
2024,5,62.6
2024,6,70.1
2024,7,71.4
2024,8,70.0
2024,9,65.6
2024,10,48.8
