year,month,tavg
2001,1,33.9
2001,2,42.9
2001,3,42.2
2001,4,61.2
2001,5,65.7
2001,6,70.4
2001,7,73.6
2001,8,75.1
2001,9,66.3
2001,10,58.0
2001,11,55.2
2001,12,43.8
2002,1,40.5
2002,2,39.6
2002,3,47.4
2002,4,60.3
2002,5,62.3
2002,6,73.4
2002,7,76.9
2002,8,76.1
2002,9,72.4
2002,10,57.5
2002,11,42.6
2002,12,37.7
2003,1,28.5
2003,2,35.3
2003,3,51.3
2003,4,59.5
2003,5,61.2
2003,6,68.5
2003,7,71.5
2003,8,74.8
2003,9,66.4
2003,10,58.1
2003,11,52.0
2003,12,37.3
2004,1,33.4
2004,2,38.8
2004,3,49.8
2004,4,57.2
2004,5,68.4
2004,6,70.7
2004,7,73.6
2004,8,71.3
2004,9,68.7
2004,10,61.7
2004,11,52.9
2004,12,40.0
2005,1,40.2
2005,2,42.3
2005,3,44.4
2005,4,59.0
2005,5,63.3
2005,6,74.7
2005,7,77.5
2005,8,82.4
2005,9,78.9
2005,10,64.6
2005,11,57.1
2005,12,45.9
2006,1,52.6
2006,2,47.2
2006,3,58.1
2006,4,68.8
2006,5,72.2
2006,6,79.2
2006,7,81.1
2006,8,83.2
2006,9,74.9
2006,10,66.0
2006,11,54.5
2006,12,50.6
2007,1,47.4
2007,2,48.8
2007,3,63.0
2007,4,62.9
2007,5,73.9
2007,6,81.1
2007,7,78.4
2007,8,84.7
2007,9,77.8
2007,10,68.4
2007,11,57.4
2007,12,54.2
2008,1,46.2
2008,2,53.4
2008,3,59.3
2008,4,65.6
2008,5,73.9
2008,6,80.7
2008,7,83.4
2008,8,79.5
2008,9,75.2
2008,10,64.8
2008,11,54.7
2008,12,51.0
2009,1,48.2
2009,2,53.9
2009,3,59.6
2009,4,65.4
2009,5,73.6
2009,6,83.1
2009,7,81.4
2009,8,80.4
2009,9,76.7
2009,10,64.6
2009,11,56.6
2009,12,46.8
2010,1,43.8
2010,2,43.2
2010,3,55.3
2010,4,68.4
2010,5,76.7
2010,6,83.3
2010,7,82.5
2010,8,83.3
2010,9,78.9
2010,10,67.1
2010,11,56.3
2010,12,45.0
2011,1,43.5
2011,2,50.9
2011,3,59.1
2011,4,69.0
2011,5,72.6
2011,6,83.4
2011,7,82.8
2011,8,84.5
2011,9,73.6
2011,10,62.4
2011,11,56.9
2011,12,49.5
2012,1,53.4
2012,2,54.1
2012,3,66.7
2012,4,67.4
2012,5,75.5
2012,6,80.2
2012,7,81.6
2012,8,80.7
2012,9,76.3
2012,10,63.8
2012,11,53.4
2012,12,53.3
2013,1,50.7
2013,2,50.7
2013,3,53.2
2013,4,57.1
2013,5,64.0
2013,6,71.3
2013,7,72.5
2013,8,71.5
2013,9,67.3
2013,10,57.5
2013,11,43.9
2013,12,39.8
2014,1,27.8
2014,2,34.7
2014,3,42.6
2014,4,60.0
2014,5,66.3
2014,6,73.2
2014,7,72.0
2014,8,72.3
2014,9,67.2
2014,10,56.5
2014,11,41.2
2014,12,40.2
2015,1,33.1
2015,2,27.0
2015,3,46.4
2015,4,58.0
2015,5,68.2
2015,6,72.5
2015,7,74.0
2015,8,71.9
2015,9,69.1
2015,10,57.7
2015,11,53.0
2015,12,50.9
2016,1,32.5
2016,2,38.9
2016,3,53.1
2016,4,58.7
2016,5,62.1
2016,6,74.0
2016,7,75.9
2016,8,76.2
2016,9,71.7
2016,10,62.7
2016,11,51.5
2016,12,38.4
2017,1,41.6
2017,2,47.2
2017,3,47.7
2017,4,62.7
2017,5,64.4
2017,6,70.8
2017,7,75.4
2017,8,71.6
2017,9,67.0
2017,10,59.5
2017,11,48.2
2017,12,36.5
2018,1,31.9
2018,2,46.7
2018,3,42.7
2018,4,51.7
2018,5,71.3
2018,6,73.7
2018,7,75.0
2018,8,74.1
2018,9,71.9
2018,10,58.1
2018,11,42.5
2018,12,40.7
2019,1,34.9
2019,2,43.8
2019,3,44.3
2019,4,59.8
2019,5,68.2
2019,6,70.0
2019,7,75.3
2019,8,74.9
2019,9,75.8
2019,10,60.8
2019,11,42.2
2019,12,43.3
2020,1,41.4
2020,2,42.7
2020,3,53.4
2020,4,53.8
2020,5,62.4
2020,6,72.0
2020,7,78.2
2020,8,74.1
2020,9,67.8
2020,10,59.0
2020,11,52.7
2020,12,38.6
2021,1,36.1
2021,2,34.2
2021,3,52.5
2021,4,56.2
2021,5,63.4
2021,6,73.4
2021,7,75.0
2021,8,75.7
2021,9,68.7
2021,10,62.1
2021,11,45.3
2021,12,49.8
2022,1,32.4
2022,2,40.9
2022,3,50.8
2022,4,56.0
2022,5,67.8
2022,6,74.4
2022,7,76.0
2022,8,74.1
2022,9,67.2
2022,10,55.7
2022,11,49.4
2022,12,39.9
2023,1,43.7
2023,2,47.5
2023,3,47.8
2023,4,58.9
2023,5,63.5
2023,6,69.5
2023,7,75.3
2023,8,73.3
2023,9,68.7
2023,10,60.0
2023,11,49.3
2023,12,44.6
2024,1,34.7
2024,2,46.0
2024,3,52.2
2024,4,60.1
2024,5,67.7
2024,6,74.4
2024,7,76.4
2024,8,74.4
2024,9,69.7
2024,10,56.6
