year,month,tavg
2001,1,29.7
2001,2,33.6
2001,3,40.2
2001,4,61.5
2001,5,65.2
2001,6,71.4
2001,7,78.7
2001,8,77.0
2001,9,66.4
2001,10,55.6
2001,11,51.0
2001,12,38.1
2002,1,35.3
2002,2,37.2
2002,3,40.4
2002,4,56.8
2002,5,60.7
2002,6,74.4
2002,7,79.0
2002,8,77.3
2002,9,67.8
2002,10,51.9
2002,11,41.2
2002,12,35.3
2003,1,25.4
2003,2,29.9
2003,3,44.8
2003,4,56.9
2003,5,63.4
2003,6,69.4
2003,7,77.6
2003,8,79.2
2003,9,64.4
2003,10,57.1
2003,11,46.2
2003,12,36.2
2004,1,27.6
2004,2,32.8
2004,3,47.2
2004,4,56.6
2004,5,66.7
2004,6,70.6
2004,7,74.4
2004,8,70.3
2004,9,68.9
2004,10,58.4
2004,11,47.0
2004,12,35.7
2005,1,31.9
2005,2,39.7
2005,3,43.6
2005,4,55.0
2005,5,62.3
2005,6,75.9
2005,7,79.8
2005,8,77.3
2005,9,70.8
2005,10,56.5
2005,11,46.7
2005,12,31.1
2006,1,42.1
2006,2,34.8
2006,3,47.3
2006,4,62.3
2006,5,66.3
2006,6,75.4
2006,7,81.0
2006,8,79.4
2006,9,65.5
2006,10,54.5
2006,11,47.4
2006,12,39.6
2007,1,32.7
2007,2,30.3
2007,3,54.0
2007,4,53.8
2007,5,69.8
2007,6,74.8
2007,7,77.4
2007,8,82.1
2007,9,71.3
2007,10,61.2
2007,11,45.3
2007,12,34.3
2008,1,32.5
2008,2,32.3
2008,3,44.3
2008,4,54.2
2008,5,63.6
2008,6,75.2
2008,7,77.9
2008,8,74.9
2008,9,67.7
2008,10,57.0
2008,11,45.1
2008,12,32.8
2009,1,28.6
2009,2,38.9
2009,3,49.0
2009,4,54.9
2009,5,65.9
2009,6,76.2
2009,7,74.0
2009,8,73.3
2009,9,67.4
2009,10,52.6
2009,11,51.7
2009,12,32.5
2010,1,26.3
2010,2,29.7
2010,3,47.2
2010,4,62.3
2010,5,66.3
2010,6,78.7
2010,7,80.3
2010,8,79.7
2010,9,68.9
2010,10,58.9
2010,11,47.6
2010,12,31.2
2011,1,26.8
2011,2,34.3
2011,3,46.6
2011,4,60.2
2011,5,65.0
2011,6,78.5
2011,7,84.4
2011,8,78.5
2011,9,65.4
2011,10,58.3
2011,11,49.6
2011,12,39.8
2012,1,37.4
2012,2,41.1
2012,3,60.2
2012,4,60.0
2012,5,72.3
2012,6,78.2
2012,7,85.2
2012,8,77.7
2012,9,67.6
2012,10,55.4
2012,11,46.1
2012,12,40.0
2013,1,34.9
2013,2,35.9
2013,3,39.9
2013,4,53.5
2013,5,64.8
2013,6,74.4
2013,7,76.3
2013,8,75.4
2013,9,70.4
2013,10,56.4
2013,11,42.8
2013,12,31.0
2014,1,27.3
2014,2,26.6
2014,3,41.5
2014,4,56.1
2014,5,67.3
2014,6,75.0
2014,7,74.2
2014,8,77.1
2014,9,67.4
2014,10,57.7
2014,11,39.6
2014,12,37.7
2015,1,32.0
2015,2,27.0
2015,3,45.8
2015,4,58.8
2015,5,66.4
2015,6,75.4
2015,7,78.1
2015,8,74.2
2015,9,71.9
2015,10,58.8
2015,11,48.4
2015,12,42.9
2016,1,31.8
2016,2,39.4
2016,3,51.4
2016,4,58.7
2016,5,63.8
2016,6,78.3
2016,7,78.5
2016,8,76.8
2016,9,71.9
2016,10,62.8
2016,11,50.1
2016,12,32.6
2017,1,36.2
2017,2,45.9
2017,3,50.8
2017,4,62.1
2017,5,67.5
2017,6,76.8
2017,7,80.4
2017,8,72.7
2017,9,70.4
2017,10,59.5
2017,11,48.2
2017,12,35.1
2018,1,30.4
2018,2,37.2
2018,3,43.9
2018,4,50.0
2018,5,73.9
2018,6,79.0
2018,7,78.8
2018,8,77.6
2018,9,72.7
2018,10,57.8
2018,11,38.3
2018,12,37.5
2019,1,31.2
2019,2,34.1
2019,3,42.4
2019,4,58.8
2019,5,66.2
2019,6,73.3
2019,7,79.0
2019,8,77.2
2019,9,76.5
2019,10,55.1
2019,11,42.1
2019,12,39.4
2020,1,35.8
2020,2,36.5
2020,3,50.3
2020,4,55.0
2020,5,64.3
2020,6,77.2
2020,7,80.6
2020,8,75.5
2020,9,68.2
2020,10,54.5
2020,11,50.6
2020,12,37.2
2021,1,36.0
2021,2,26.3
2021,3,51.7
2021,4,56.6
2021,5,64.2
2021,6,77.8
2021,7,78.8
2021,8,79.2
2021,9,73.0
2021,10,61.6
2021,11,46.7
2021,12,46.2
2022,1,30.5
2022,2,34.6
2022,3,47.8
2022,4,55.5
2022,5,69.0
2022,6,79.0
2022,7,82.0
2022,8,78.1
2022,9,70.2
2022,10,57.3
2022,11,46.4
2022,12,36.4
2023,1,39.4
2023,2,43.5
2023,3,46.3
2023,4,59.3
2023,5,69.6
2023,6,76.8
2023,7,80.4
2023,8,78.3
2023,9,71.9
2023,10,59.6
2023,11,47.6
2023,12,43.5
2024,1,29.4
2024,2,46.2
2024,3,52.5
2024,4,60.8
2024,5,70.0
2024,6,78.6
2024,7,78.1
2024,8,76.7
2024,9,70.8
2024,10,59.9
