year,month,tavg
2001,1,20.3
2001,2,17.1
2001,3,35.6
2001,4,44.5
2001,5,59.5
2001,6,64.4
2001,7,72.3
2001,8,74.9
2001,9,64.8
2001,10,48.5
2001,11,39.5
2001,12,24.7
2002,1,29.8
2002,2,30.2
2002,3,24.3
2002,4,43.3
2002,5,53.7
2002,6,63.2
2002,7,72.6
2002,8,64.3
2002,9,59.3
2002,10,41.7
2002,11,34.9
2002,12,28.2
2003,1,29.4
2003,2,25.5
2003,3,34.1
2003,4,46.3
2003,5,53.5
2003,6,63.4
2003,7,76.6
2003,8,73.7
2003,9,59.6
2003,10,50.8
2003,11,29.0
2003,12,28.6
2004,1,15.5
2004,2,29.2
2004,3,43.3
2004,4,47.9
2004,5,52.1
2004,6,61.0
2004,7,70.9
2004,8,66.6
2004,9,56.9
2004,10,46.3
2004,11,35.6
2004,12,29.7
2005,1,17.0
2005,2,31.5
2005,3,37.2
2005,4,45.0
2005,5,52.7
2005,6,60.2
2005,7,72.8
2005,8,68.2
2005,9,57.7
2005,10,48.3
2005,11,34.6
2005,12,20.7
2006,1,35.9
2006,2,28.5
2006,3,34.9
2006,4,48.0
2006,5,57.0
2006,6,64.9
2006,7,76.1
2006,8,69.5
2006,9,59.0
2006,10,43.5
2006,11,32.8
2006,12,26.8
2007,1,25.6
2007,2,27.5
2007,3,43.1
2007,4,45.5
2007,5,56.0
2007,6,65.6
2007,7,79.2
2007,8,69.2
2007,9,57.7
2007,10,47.0
2007,11,34.4
2007,12,28.6
2008,1,20.9
2008,2,30.3
2008,3,36.0
2008,4,40.4
2008,5,54.0
2008,6,62.1
2008,7,72.6
2008,8,69.4
2008,9,56.1
2008,10,45.3
2008,11,40.5
2008,12,19.4
2009,1,27.7
2009,2,31.8
2009,3,31.0
2009,4,42.4
2009,5,55.6
2009,6,60.3
2009,7,69.2
2009,8,67.9
2009,9,63.7
2009,10,40.0
2009,11,35.9
2009,12,11.0
2010,1,20.5
2010,2,27.5
2010,3,39.3
2010,4,43.5
2010,5,47.7
2010,6,59.1
2010,7,67.5
2010,8,64.5
2010,9,56.4
2010,10,48.8
2010,11,27.2
2010,12,18.4
2011,1,26.5
2011,2,20.8
2011,3,34.7
2011,4,40.0
2011,5,50.2
2011,6,58.0
2011,7,69.3
2011,8,70.2
2011,9,60.9
2011,10,47.3
2011,11,31.3
2011,12,26.9
2012,1,26.3
2012,2,28.1
2012,3,40.4
2012,4,47.9
2012,5,52.0
2012,6,62.7
2012,7,73.0
2012,8,70.1
2012,9,61.7
2012,10,43.3
2012,11,34.8
2012,12,24.7
2013,1,22.9
2013,2,32.5
2013,3,37.1
2013,4,41.5
2013,5,54.2
2013,6,61.2
2013,7,73.2
2013,8,71.7
2013,9,61.6
2013,10,42.5
2013,11,33.4
2013,12,24.4
2014,1,
2014,2,
2014,3,
2014,4,
2014,5,
2014,6,
2014,7,
2014,8,
2014,9,
2014,10,
2014,11,
2014,12,
2015,1,23.8
2015,2,34.5
2015,3,44.0
2015,4,45.4
2015,5,53.4
2015,6,69.7
2015,7,69.9
2015,8,69.8
2015,9,60.0
2015,10,50.5
2015,11,31.1
2015,12,24.4
2016,1,24.1
2016,2,37.4
2016,3,39.8
2016,4,49.2
2016,5,53.1
2016,6,66.7
2016,7,71.2
2016,8,68.2
2016,9,57.6
2016,10,47.6
2016,11,40.6
2016,12,15.9
2017,1,11.3
2017,2,24.4
2017,3,41.7
2017,4,45.2
2017,5,56.1
2017,6,64.5
2017,7,77.5
2017,8,71.3
2017,9,57.8
2017,10,44.4
2017,11,31.8
2017,12,18.2
2018,1,22.7
2018,2,16.0
2018,3,32.6
2018,4,41.8
2018,5,57.7
2018,6,61.5
2018,7,71.6
2018,8,68.4
2018,9,57.1
2018,10,44.2
2018,11,32.9
2018,12,28.3
2019,1,24.7
2019,2,6.8
2019,3,20.9
2019,4,45.1
2019,5,51.8
2019,6,62.8
2019,7,68.8
2019,8,69.2
2019,9,58.9
2019,10,37.8
2019,11,31.7
2019,12,29.6
2020,1,29.4
2020,2,32.1
2020,3,35.1
2020,4,43.7
2020,5,54.6
2020,6,61.8
2020,7,69.8
2020,8,72.3
2020,9,60.7
2020,10,42.9
2020,11,35.4
2020,12,30.5
2021,1,30.5
2021,2,18.2
2021,3,38.6
2021,4,43.8
2021,5,51.9
2021,6,69.7
2021,7,77.8
2021,8,68.5
2021,9,62.4
2021,10,49.8
2021,11,39.5
2021,12,26.1
2022,1,24.4
2022,2,26.9
2022,3,39.2
2022,4,38.5
2022,5,52.3
2022,6,62.6
2022,7,73.0
2022,8,75.4
2022,9,63.5
2022,10,49.3
2022,11,21.9
2022,12,18.4
2023,1,25.5
2023,2,27.2
2023,3,29.0
2023,4,43.6
2023,5,60.4
2023,6,63.2
2023,7,73.2
2023,8,72.1
2023,9,61.6
2023,10,44.8
2023,11,36.9
2023,12,31.6
2024,1,18.5
2024,2,29.7
2024,3,36.4
2024,4,48.0
2024,5,53.1
2024,6,64.6
2024,7,76.8
2024,8,69.7
2024,9,64.2
2024,10,44.3
