year,month,tavg
2001,1,26.8
2001,2,21.2
2001,3,36.3
2001,4,55.1
2001,5,64.1
2001,6,71.6
2001,7,80.1
2001,8,76.7
2001,9,65.6
2001,10,53.4
2001,11,48.6
2001,12,32.7
2002,1,30.0
2002,2,31.3
2002,3,33.0
2002,4,52.9
2002,5,59.8
2002,6,78.0
2002,7,80.8
2002,8,76.7
2002,9,67.7
2002,10,46.9
2002,11,37.8
2002,12,32.3
2003,1,24.3
2003,2,24.6
2003,3,40.8
2003,4,52.8
2003,5,59.6
2003,6,69.2
2003,7,79.2
2003,8,78.0
2003,9,62.7
2003,10,55.6
2003,11,38.1
2003,12,30.7
2004,1,22.0
2004,2,25.6
2004,3,45.5
2004,4,53.6
2004,5,64.8
2004,6,68.9
2004,7,73.7
2004,8,71.9
2004,9,70.3
2004,10,55.1
2004,11,42.4
2004,12,31.1
2005,1,21.3
2005,2,33.8
2005,3,41.5
2005,4,54.3
2005,5,62.3
2005,6,75.6
2005,7,79.6
2005,8,75.1
2005,9,70.9
2005,10,54.6
2005,11,42.8
2005,12,25.5
2006,1,36.9
2006,2,29.6
2006,3,39.5
2006,4,56.5
2006,5,64.7
2006,6,75.1
2006,7,80.3
2006,8,75.7
2006,9,62.5
2006,10,50.8
2006,11,39.8
2006,12,33.7
2007,1,24.4
2007,2,24.0
2007,3,47.4
2007,4,50.8
2007,5,66.8
2007,6,73.2
2007,7,79.3
2007,8,78.8
2007,9,67.4
2007,10,57.5
2007,11,39.8
2007,12,24.2
2008,1,23.0
2008,2,25.8
2008,3,38.2
2008,4,47.9
2008,5,61.2
2008,6,72.9
2008,7,78.2
2008,8,75.7
2008,9,65.6
2008,10,54.2
2008,11,40.0
2008,12,23.4
2009,1,23.6
2009,2,31.2
2009,3,40.0
2009,4,50.4
2009,5,64.8
2009,6,72.5
2009,7,73.2
2009,8,72.6
2009,9,64.4
2009,10,46.6
2009,11,44.6
2009,12,20.6
2010,1,18.9
2010,2,23.0
2010,3,40.9
2010,4,56.4
2010,5,61.2
2010,6,74.4
2010,7,77.9
2010,8,78.2
2010,9,66.3
2010,10,55.6
2010,11,39.5
2010,12,25.4
2011,1,18.9
2011,2,27.0
2011,3,39.0
2011,4,51.7
2011,5,62.3
2011,6,72.8
2011,7,81.8
2011,8,75.3
2011,9,61.7
2011,10,55.8
2011,11,40.2
2011,12,30.0
2012,1,30.5
2012,2,30.9
2012,3,54.8
2012,4,57.0
2012,5,67.9
2012,6,76.0
2012,7,83.6
2012,8,74.9
2012,9,65.0
2012,10,50.3
2012,11,41.8
2012,12,28.4
2013,1,25.3
2013,2,29.8
2013,3,34.9
2013,4,46.2
2013,5,61.2
2013,6,72.2
2013,7,76.0
2013,8,75.8
2013,9,70.5
2013,10,52.3
2013,11,37.2
2013,12,21.9
2014,1,23.3
2014,2,22.8
2014,3,36.8
2014,4,53.3
2014,5,65.1
2014,6,74.6
2014,7,75.2
2014,8,75.7
2014,9,65.8
2014,10,55.2
2014,11,34.6
2014,12,31.7
2015,1,27.5
2015,2,22.2
2015,3,43.4
2015,4,54.6
2015,5,61.4
2015,6,73.8
2015,7,77.3
2015,8,73.7
2015,9,71.4
2015,10,57.1
2015,11,45.0
2015,12,34.2
2016,1,26.3
2016,2,35.3
2016,3,47.5
2016,4,55.3
2016,5,62.8
2016,6,79.5
2016,7,77.9
2016,8,75.4
2016,9,70.0
2016,10,58.0
2016,11,46.5
2016,12,26.9
2017,1,27.7
2017,2,38.1
2017,3,43.4
2017,4,53.5
2017,5,63.0
2017,6,75.8
2017,7,79.1
2017,8,71.6
2017,9,70.3
2017,10,55.4
2017,11,41.7
2017,12,28.9
2018,1,23.5
2018,2,24.2
2018,3,40.7
2018,4,44.5
2018,5,69.7
2018,6,77.5
2018,7,77.1
2018,8,75.1
2018,9,68.5
2018,10,50.5
2018,11,33.8
2018,12,30.4
2019,1,25.2
2019,2,19.7
2019,3,34.8
2019,4,54.1
2019,5,60.2
2019,6,73.2
2019,7,78.6
2019,8,74.4
2019,9,73.6
2019,10,48.7
2019,11,37.5
2019,12,31.9
2020,1,27.6
2020,2,31.3
2020,3,44.4
2020,4,50.6
2020,5,60.2
2020,6,78.3
2020,7,78.5
2020,8,75.3
2020,9,64.7
2020,10,49.9
2020,11,44.2
2020,12,30.1
2021,1,29.0
2021,2,16.4
2021,3,46.7
2021,4,52.6
2021,5,62.5
2021,6,77.3
2021,7,77.2
2021,8,78.4
2021,9,70.5
2021,10,57.0
2021,11,44.4
2021,12,36.0
2022,1,24.9
2022,2,29.1
2022,3,40.7
2022,4,51.1
2022,5,64.4
2022,6,75.6
2022,7,78.7
2022,8,78.1
2022,9,70.8
2022,10,55.1
2022,11,38.8
2022,12,25.5
2023,1,28.9
2023,2,30.7
2023,3,37.9
2023,4,54.1
2023,5,67.6
2023,6,76.1
2023,7,76.1
2023,8,77.3
2023,9,71.1
2023,10,56.3
2023,11,42.6
2023,12,35.6
2024,1,21.6
2024,2,40.1
2024,3,44.4
2024,4,55.4
2024,5,65.4
2024,6,76.7
2024,7,77.0
2024,8,75.8
2024,9,71.3
2024,10,52.8
