year,month,tavg
2001,1,33.5
2001,2,37.5
2001,3,43.5
2001,4,48.5
2001,5,56.0
2001,6,64.0
2001,7,71.0
2001,8,69.5
2001,9,61.5
2001,10,51.5
2001,11,40.5
2001,12,33.5
2002,1,33.5
2002,2,37.5
2002,3,43.5
2002,4,48.5
2002,5,56.0
2002,6,64.0
2002,7,71.0
2002,8,69.5
2002,9,61.5
2002,10,51.5
2002,11,40.5
2002,12,33.5
2003,1,33.5
2003,2,37.5
2003,3,43.5
2003,4,48.5
2003,5,56.0
2003,6,64.0
2003,7,71.0
2003,8,69.5
2003,9,61.5
2003,10,51.5
2003,11,40.5
2003,12,33.5
2004,1,33.5
2004,2,37.5
2004,3,43.5
2004,4,48.5
2004,5,56.0
2004,6,64.0
2004,7,71.0
2004,8,69.5
2004,9,61.5
2004,10,51.5
2004,11,40.5
2004,12,33.5
2005,1,33.5
2005,2,37.5
2005,3,43.5
2005,4,48.5
2005,5,56.0
2005,6,64.0
2005,7,71.0
2005,8,69.5
2005,9,61.5
2005,10,51.5
2005,11,40.5
2005,12,33.5
2006,1,33.5
2006,2,37.5
2006,3,43.5
2006,4,48.5
2006,5,56.0
2006,6,64.0
2006,7,71.0
2006,8,69.5
2006,9,61.5
2006,10,51.5
2006,11,40.5
2006,12,33.5
2007,1,33.5
2007,2,37.5
2007,3,43.5
2007,4,48.5
2007,5,56.0
2007,6,64.0
2007,7,71.0
2007,8,69.5
2007,9,61.5
2007,10,51.5
2007,11,40.5
2007,12,33.5
2008,1,33.5
2008,2,37.5
2008,3,43.5
2008,4,48.5
2008,5,56.0
2008,6,64.0
2008,7,71.0
2008,8,69.5
2008,9,61.5
2008,10,51.5
2008,11,40.5
2008,12,33.5
2009,1,33.5
2009,2,37.5
2009,3,43.5
2009,4,48.5
2009,5,56.0
2009,6,64.0
2009,7,71.0
2009,8,69.5
2009,9,61.5
2009,10,51.5
2009,11,40.5
2009,12,33.5
2010,1,33.5
2010,2,37.5
2010,3,43.5
2010,4,48.5
2010,5,56.0
2010,6,64.0
2010,7,76.5
2010,8,69.4
2010,9,64.3
2010,10,52.7
2010,11,38.6
2010,12,37.0
2011,1,33.9
2011,2,32.3
2011,3,41.7
2011,4,47.1
2011,5,51.1
2011,6,61.8
2011,7,71.0
2011,8,71.2
2011,9,66.7
2011,10,52.7
2011,11,38.7
2011,12,29.4
2012,1,36.6
2012,2,36.7
2012,3,42.4
2012,4,50.4
2012,5,58.6
2012,6,66.2
2012,7,74.2
2012,8,74.5
2012,9,67.4
2012,10,54.7
2012,11,43.0
2012,12,34.5
2013,1,26.0
2013,2,35.4
2013,3,46.3
2013,4,51.1
2013,5,57.6
2013,6,69.0
2013,7,76.8
2013,8,70.6
2013,9,63.7
2013,10,48.7
2013,11,40.4
2013,12,25.6
2014,1,35.4
2014,2,41.7
2014,3,45.1
2014,4,51.2
2014,5,58.5
2014,6,68.0
2014,7,75.8
2014,8,70.1
2014,9,65.7
2014,10,54.5
2014,11,42.7
2014,12,37.2
2015,1,36.8
2015,2,43.6
2015,3,49.5
2015,4,49.6
2015,5,56.6
2015,6,70.6
2015,7,71.4
2015,8,72.5
2015,9,66.2
2015,10,56.4
2015,11,35.3
2015,12,33.9
2016,1,35.0
2016,2,40.6
2016,3,46.0
2016,4,51.4
2016,5,56.6
2016,6,69.9
2016,7,73.6
2016,8,73.2
2016,9,64.0
2016,10,52.4
2016,11,42.9
2016,12,35.5
2017,1,30.7
2017,2,38.8
2017,3,45.1
2017,4,48.0
2017,5,58.8
2017,6,68.2
2017,7,75.6
2017,8,72.8
2017,9,61.1
2017,10,50.0
2017,11,46.3
2017,12,32.8
2018,1,39.1
2018,2,34.9
2018,3,39.9
2018,4,50.4
2018,5,57.9
2018,6,68.2
2018,7,77.0
2018,8,72.8
2018,9,65.0
2018,10,50.8
2018,11,39.2
2018,12,34.2
2019,1,35.6
2019,2,31.2
2019,3,41.1
2019,4,52.1
2019,5,54.4
2019,6,67.5
2019,7,73.3
2019,8,73.2
2019,9,62.3
2019,10,47.6
2019,11,43.1
2019,12,35.4
2020,1,38.7
2020,2,39.7
2020,3,40.1
2020,4,51.8
2020,5,59.4
2020,6,66.9
2020,7,73.1
2020,8,75.1
2020,9,64.8
2020,10,54.2
2020,11,40.4
2020,12,34.7
2021,1,36.6
2021,2,39.0
2021,3,42.1
2021,4,52.2
2021,5,60.0
2021,6,73.8
2021,7,79.1
2021,8,73.6
2021,9,66.6
2021,10,51.4
2021,11,46.1
2021,12,35.2
2022,1,35.2
2022,2,35.8
2022,3,46.2
2022,4,49.8
2022,5,57.0
2022,6,67.6
2022,7,76.9
2022,8,75.1
2022,9,67.8
2022,10,54.4
2022,11,34.6
2022,12,32.8
2023,1,27.5
2023,2,31.2
2023,3,34.5
2023,4,49.7
2023,5,57.5
2023,6,63.5
2023,7,77.3
2023,8,71.9
2023,9,63.0
2023,10,52.5
2023,11,40.2
2023,12,36.9
2024,1,37.9
2024,2,38.4
2024,3,41.3
2024,4,50.3
2024,5,58.7
2024,6,72.4
2024,7,78.4
2024,8,71.6
2024,9,65.7
2024,10,57.2
2024,11,40.5
