year,month,tavg
2001,1,18.9
2001,2,23.7
2001,3,29.7
2001,4,44.3
2001,5,56.7
2001,6,66.8
2001,7,66.9
2001,8,70.1
2001,9,60.5
2001,10,49.4
2001,11,41.0
2001,12,32.4
2002,1,29.0
2002,2,27.9
2002,3,34.6
2002,4,47.2
2002,5,53.5
2002,6,62.9
2002,7,66.2
2002,8,71.2
2002,9,63.7
2002,10,45.7
2002,11,35.8
2002,12,25.1
2003,1,10.9
2003,2,18.3
2003,3,31.5
2003,4,38.3
2003,5,54.2
2003,6,65.0
2003,7,71.8
2003,8,71.2
2003,9,61.8
2003,10,48.2
2003,11,41.0
2003,12,28.1
2004,1,13.5
2004,2,25.3
2004,3,36.0
2004,4,46.7
2004,5,51.0
2004,6,63.0
2004,7,69.4
2004,8,69.1
2004,9,61.3
2004,10,49.2
2004,11,39.2
2004,12,27.8
2005,1,18.8
2005,2,23.9
2005,3,28.9
2005,4,47.1
2005,5,51.3
2005,6,67.8
2005,7,70.9
2005,8,70.7
2005,9,63.5
2005,10,50.5
2005,11,38.5
2005,12,25.1
2006,1,29.0
2006,2,25.2
2006,3,33.5
2006,4,47.8
2006,5,56.2
2006,6,66.6
2006,7,73.3
2006,8,67.0
2006,9,59.6
2006,10,48.8
2006,11,43.3
2006,12,34.3
2007,1,25.9
2007,2,19.8
2007,3,32.8
2007,4,43.1
2007,5,58.4
2007,6,65.4
2007,7,69.2
2007,8,69.1
2007,9,62.0
2007,10,54.4
2007,11,36.5
2007,12,24.3
2008,1,24.7
2008,2,25.7
2008,3,31.3
2008,4,46.6
2008,5,55.2
2008,6,66.6
2008,7,70.9
2008,8,66.0
2008,9,60.9
2008,10,46.9
2008,11,37.4
2008,12,27.7
2009,1,15.6
2009,2,24.9
2009,3,32.9
2009,4,47.5
2009,5,56.5
2009,6,62.5
2009,7,66.3
2009,8,69.2
2009,9,57.8
2009,10,45.7
2009,11,42.0
2009,12,25.8
2010,1,23.7
2010,2,28.6
2010,3,39.8
2010,4,49.5
2010,5,60.2
2010,6,66.4
2010,7,74.3
2010,8,70.0
2010,9,63.5
2010,10,48.3
2010,11,38.1
2010,12,26.8
2011,1,19.1
2011,2,22.4
2011,3,32.8
2011,4,46.0
2011,5,58.1
2011,6,64.5
2011,7,72.5
2011,8,68.7
2011,9,63.0
2011,10,49.1
2011,11,42.1
2011,12,31.9
2012,1,26.4
2012,2,30.6
2012,3,41.6
2012,4,48.3
2012,5,59.4
2012,6,64.6
2012,7,71.8
2012,8,70.7
2012,9,59.8
2012,10,51.7
2012,11,35.5
2012,12,31.1
2013,1,23.9
2013,2,25.8
2013,3,33.6
2013,4,45.6
2013,5,56.7
2013,6,65.7
2013,7,73.0
2013,8,67.3
2013,9,59.7
2013,10,48.8
2013,11,35.3
2013,12,24.4
2014,1,19.4
2014,2,21.5
2014,3,26.3
2014,4,44.5
2014,5,56.2
2014,6,65.7
2014,7,70.5
2014,8,66.2
2014,9,60.1
2014,10,51.9
2014,11,36.2
2014,12,31.7
2015,1,19.4
2015,2,13.7
2015,3,28.7
2015,4,45.2
2015,5,62.7
2015,6,64.0
2015,7,70.9
2015,8,70.7
2015,9,65.2
2015,10,48.1
2015,11,42.6
2015,12,37.5
2016,1,27.2
2016,2,29.0
2016,3,39.5
2016,4,45.0
2016,5,58.1
2016,6,66.4
2016,7,73.0
2016,8,73.3
2016,9,64.4
2016,10,50.9
2016,11,40.7
2016,12,28.6
2017,1,29.1
2017,2,30.5
2017,3,29.4
2017,4,49.6
2017,5,55.1
2017,6,66.7
2017,7,70.2
2017,8,67.5
2017,9,65.1
2017,10,56.8
2017,11,37.9
2017,12,23.3
2018,1,22.2
2018,2,31.4
2018,3,34.1
2018,4,41.7
2018,5,61.2
2018,6,65.5
2018,7,73.2
2018,8,72.6
2018,9,64.1
2018,10,47.1
2018,11,34.7
2018,12,28.6
2019,1,22.3
2019,2,25.3
2019,3,31.9
2019,4,45.5
2019,5,54.4
2019,6,65.0
2019,7,75.8
2019,8,68.3
2019,9,60.2
2019,10,50.5
2019,11,34.4
2019,12,27.8
2020,1,28.5
2020,2,28.1
2020,3,38.1
2020,4,43.1
2020,5,57.1
2020,6,67.8
2020,7,74.0
2020,8,70.2
2020,9,62.1
2020,10,49.6
2020,11,41.0
2020,12,30.9
2021,1,26.5
2021,2,24.7
2021,3,36.8
2021,4,46.8
2021,5,57.9
2021,6,70.0
2021,7,68.1
2021,8,71.9
2021,9,63.6
2021,10,54.1
2021,11,38.5
2021,12,31.8
2022,1,19.6
2022,2,27.9
2022,3,35.8
2022,4,46.1
2022,5,59.9
2022,6,64.6
2022,7,73.2
2022,8,73.0
2022,9,60.3
2022,10,49.8
2022,11,42.5
2022,12,31.1
2023,1,31.6
2023,2,27.2
2023,3,35.4
2023,4,48.0
2023,5,56.9
2023,6,64.2
2023,7,73.0
2023,8,67.8
2023,9,63.8
2023,10,54.0
2023,11,36.2
2023,12,35.1
2024,1,27.4
2024,2,30.4
2024,3,38.3
2024,4,45.5
2024,5,59.7
2024,6,68.3
2024,7,74.7
2024,8,67.9
2024,9,61.9
2024,10,45.6
