year,month,tavg
2001,1,33.0
2001,2,35.0
2001,3,42.5
2001,4,52.0
2001,5,61.0
2001,6,71.0
2001,7,76.0
2001,8,74.5
2001,9,67.0
2001,10,56.5
2001,11,46.5
2001,12,37.0
2002,1,33.0
2002,2,35.0
2002,3,42.5
2002,4,52.0
2002,5,61.0
2002,6,71.0
2002,7,76.0
2002,8,74.5
2002,9,67.0
2002,10,56.5
2002,11,46.5
2002,12,37.0
2003,1,33.0
2003,2,35.0
2003,3,42.5
2003,4,52.0
2003,5,61.0
2003,6,71.0
2003,7,76.0
2003,8,74.5
2003,9,67.0
2003,10,56.5
2003,11,46.5
2003,12,37.0
2004,1,24.6
2004,2,33.5
2004,3,43.7
2004,4,52.3
2004,5,66.4
2004,6,70.2
2004,7,73.9
2004,8,72.8
2004,9,67.7
2004,10,54.0
2004,11,46.6
2004,12,36.1
2005,1,30.1
2005,2,34.2
2005,3,37.5
2005,4,54.1
2005,5,58.2
2005,6,73.3
2005,7,76.9
2005,8,77.3
2005,9,71.3
2005,10,58.0
2005,11,48.0
2005,12,32.9
2006,1,38.7
2006,2,34.3
2006,3,42.9
2006,4,54.6
2006,5,62.6
2006,6,71.1
2006,7,77.6
2006,8,75.1
2006,9,65.1
2006,10,54.5
2006,11,50.5
2006,12,42.5
2007,1,37.1
2007,2,27.2
2007,3,42.2
2007,4,49.3
2007,5,64.5
2007,6,71.7
2007,7,74.4
2007,8,74.5
2007,9,69.1
2007,10,62.4
2007,11,43.5
2007,12,36.2
2008,1,35.1
2008,2,35.7
2008,3,42.9
2008,4,54.9
2008,5,59.3
2008,6,74.5
2008,7,77.1
2008,8,72.1
2008,9,68.4
2008,10,53.7
2008,11,44.3
2008,12,37.2
2009,1,27.6
2009,2,35.8
2009,3,42.0
2009,4,54.3
2009,5,62.7
2009,6,68.2
2009,7,73.2
2009,8,75.5
2009,9,65.4
2009,10,54.6
2009,11,50.0
2009,12,35.8
2010,1,32.2
2010,2,32.6
2010,3,48.1
2010,4,57.4
2010,5,65.6
2010,6,75.8
2010,7,80.3
2010,8,76.7
2010,9,71.0
2010,10,57.2
2010,11,46.4
2010,12,32.4
2011,1,29.2
2011,2,36.4
2011,3,42.8
2011,4,55.9
2011,5,65.6
2011,6,73.7
2011,7,80.5
2011,8,75.1
2011,9,69.8
2011,10,56.9
2011,11,50.7
2011,12,42.7
2012,1,38.1
2012,2,41.4
2012,3,52.1
2012,4,55.9
2012,5,66.6
2012,6,70.8
2012,7,78.2
2012,8,74.7
2012,9,67.1
2012,10,56.9
2012,11,41.2
2012,12,40.4
2013,1,34.5
2013,2,33.0
2013,3,39.1
2013,4,52.5
2013,5,61.9
2013,6,71.6
2013,7,77.8
2013,8,72.1
2013,9,64.7
2013,10,57.5
2013,11,43.3
2013,12,36.2
2014,1,26.6
2014,2,29.4
2014,3,36.8
2014,4,51.2
2014,5,62.7
2014,6,71.4
2014,7,74.8
2014,8,71.6
2014,9,67.2
2014,10,57.6
2014,11,42.2
2014,12,39.1
2015,1,28.5
2015,2,23.1
2015,3,36.7
2015,4,53.5
2015,5,67.1
2015,6,71.2
2015,7,76.4
2015,8,75.6
2015,9,71.2
2015,10,55.1
2015,11,50.7
2015,12,49.0
2016,1,32.0
2016,2,36.4
2016,3,48.1
2016,4,52.0
2016,5,61.1
2016,6,72.2
2016,7,77.8
2016,8,77.7
2016,9,70.5
2016,10,57.3
2016,11,48.0
2016,12,36.9
2017,1,36.7
2017,2,41.2
2017,3,39.3
2017,4,57.1
2017,5,60.9
2017,6,72.2
2017,7,76.3
2017,8,72.6
2017,9,68.7
2017,10,61.5
2017,11,45.4
2017,12,33.9
2018,1,31.1
2018,2,40.8
2018,3,38.7
2018,4,48.8
2018,5,66.5
2018,6,71.9
2018,7,77.2
2018,8,77.6
2018,9,70.8
2018,10,57.2
2018,11,43.5
2018,12,39.5
2019,1,32.5
2019,2,37.4
2019,3,40.8
2019,4,55.4
2019,5,62.5
2019,6,71.0
2019,7,77.9
2019,8,74.1
2019,9,68.8
2019,10,58.4
2019,11,41.1
2019,12,36.6
2020,1,37.3
2020,2,38.6
2020,3,46.4
2020,4,49.2
2020,5,59.3
2020,6,71.9
2020,7,78.9
2020,8,75.1
2020,9,66.6
2020,10,56.1
2020,11,49.4
2020,12,36.4
2021,1,33.2
2021,2,32.0
2021,3,44.6
2021,4,52.9
2021,5,60.9
2021,6,72.3
2021,7,75.3
2021,8,75.7
2021,9,68.4
2021,10,60.8
2021,11,43.4
2021,12,41.7
2022,1,28.5
2022,2,35.7
2022,3,44.2
2022,4,51.0
2022,5,63.2
2022,6,70.2
2022,7,78.8
2022,8,77.1
2022,9,67.4
2022,10,53.5
2022,11,47.2
2022,12,35.5
2023,1,40.8
2023,2,39.0
2023,3,42.5
2023,4,55.5
2023,5,60.2
2023,6,68.1
2023,7,76.8
2023,8,72.8
2023,9,67.2
2023,10,57.4
2023,11,43.0
2023,12,41.2
2024,1,34.3
2024,2,37.7
2024,3,45.9
2024,4,53.1
2024,5,63.5
2024,6,74.3
2024,7,78.4
2024,8,73.4
2024,9,66.0
2024,10,58.7
2024,11,46.5

