year,month,tavg
2001,1,30.5
2001,2,35.0
2001,3,41.0
2001,4,48.5
2001,5,57.5
2001,6,66.0
2001,7,70.0
2001,8,68.0
2001,9,62.5
2001,10,51.0
2001,11,39.0
2001,12,30.0
2002,1,30.5
2002,2,35.0
2002,3,41.0
2002,4,48.5
2002,5,57.5
2002,6,66.0
2002,7,70.0
2002,8,68.0
2002,9,62.5
2002,10,51.0
2002,11,39.0
2002,12,30.0
2003,1,30.5
2003,2,35.0
2003,3,41.0
2003,4,48.5
2003,5,57.5
2003,6,66.0
2003,7,70.0
2003,8,68.0
2003,9,62.5
2003,10,51.0
2003,11,39.0
2003,12,30.0
2004,1,32.2
2004,2,30.6
2004,3,47.1
2004,4,49.0
2004,5,63.2
2004,6,70.1
2004,7,70.9
2004,8,68.6
2004,9,63.0
2004,10,50.6
2004,11,38.2
2004,12,30.1
2005,1,36.4
2005,2,36.6
2005,3,38.5
2005,4,49.9
2005,5,60.3
2005,6,69.3
2005,7,75.3
2005,8,70.3
2005,9,65.6
2005,10,51.3
2005,11,41.1
2005,12,32.8
2006,1,33.8
2006,2,36.6
2006,3,43.1
2006,4,54.8
2006,5,64.8
2006,6,72.6
2006,7,72.5
2006,8,67.9
2006,9,58.3
2006,10,50.8
2006,11,41.2
2006,12,29.9
2007,1,24.6
2007,2,34.4
2007,3,44.5
2007,4,50.2
2007,5,58.6
2007,6,69.4
2007,7,73.1
2007,8,74.0
2007,9,66.0
2007,10,54.0
2007,11,42.5
2007,12,30.7
2008,1,27.3
2008,2,36.2
2008,3,42.9
2008,4,50.6
2008,5,59.5
2008,6,71.3
2008,7,71.9
2008,8,71.0
2008,9,64.3
2008,10,53.3
2008,11,41.4
2008,12,31.9
2009,1,34.0
2009,2,38.9
2009,3,45.1
2009,4,50.4
2009,5,63.3
2009,6,67.8
2009,7,74.6
2009,8,72.0
2009,9,62.5
2009,10,49.8
2009,11,41.7
2009,12,27.4
2010,1,30.0
2010,2,32.8
2010,3,41.1
2010,4,51.4
2010,5,60.2
2010,6,73.3
2010,7,73.5
2010,8,72.3
2010,9,68.9
2010,10,54.6
2010,11,39.2
2010,12,36.2
2011,1,30.5
2011,2,31.1
2011,3,46.6
2011,4,53.1
2011,5,58.0
2011,6,73.4
2011,7,75.4
2011,8,74.1
2011,9,63.3
2011,10,51.7
2011,11,39.5
2011,12,26.7
2012,1,34.4
2012,2,34.9
2012,3,45.3
2012,4,54.9
2012,5,63.2
2012,6,75.7
2012,7,73.7
2012,8,72.8
2012,9,64.8
2012,10,53.9
2012,11,41.3
2012,12,30.1
2013,1,26.1
2013,2,33.3
2013,3,44.6
2013,4,51.6
2013,5,61.2
2013,6,74.0
2013,7,71.6
2013,8,71.4
2013,9,64.1
2013,10,49.4
2013,11,37.7
2013,12,29.6
2014,1,32.7
2014,2,39.0
2014,3,43.6
2014,4,50.0
2014,5,58.3
2014,6,72.4
2014,7,71.7
2014,8,68.2
2014,9,66.0
2014,10,55.2
2014,11,38.7
2014,12,33.0
2015,1,32.1
2015,2,37.2
2015,3,46.2
2015,4,51.1
2015,5,56.0
2015,6,71.4
2015,7,70.2
2015,8,71.6
2015,9,67.6
2015,10,54.7
2015,11,38.8
2015,12,31.4
2016,1,30.8
2016,2,39.1
2016,3,45.5
2016,4,50.4
2016,5,58.6
2016,6,73.1
2016,7,77.1
2016,8,67.0
2016,9,64.7
2016,10,57.0
2016,11,42.6
2016,12,33.3
2017,1,33.8
2017,2,41.0
2017,3,48.6
2017,4,51.4
2017,5,59.2
2017,6,73.1
2017,7,74.5
2017,8,69.9
2017,9,64.8
2017,10,52.5
2017,11,45.9
2017,12,34.7
2018,1,32.9
2018,2,38.4
2018,3,44.2
2018,4,54.2
2018,5,65.0
2018,6,75.0
2018,7,74.1
2018,8,71.0
2018,9,65.8
2018,10,51.2
2018,11,37.5
2018,12,30.5
2019,1,29.4
2019,2,34.0
2019,3,43.9
2019,4,51.7
2019,5,56.1
2019,6,68.4
2019,7,74.4
2019,8,73.0
2019,9,67.4
2019,10,49.2
2019,11,38.4
2019,12,32.3
2020,1,31.6
2020,2,35.2
2020,3,45.5
2020,4,53.1
2020,5,64.4
2020,6,71.7
2020,7,74.6
2020,8,75.6
2020,9,63.7
2020,10,53.9
2020,11,43.7
2020,12,30.4
2021,1,31.7
2021,2,34.8
2021,3,43.1
2021,4,51.7
2021,5,61.6
2021,6,72.5
2021,7,72.5
2021,8,71.9
2021,9,68.2
2021,10,52.5
2021,11,44.2
2021,12,36.2
2022,1,31.9
2022,2,30.4
2022,3,41.7
2022,4,54.0
2022,5,63.8
2022,6,70.1
2022,7,73.4
2022,8,69.7
2022,9,66.6
2022,10,50.3
2022,11,36.1
2022,12,32.4
2023,1,31.1
2023,2,33.5
2023,3,39.7
2023,4,49.4
2023,5,60.6
2023,6,67.8
2023,7,78.9
2023,8,74.4
2023,9,67.5
2023,10,55.9
2023,11,41.7
2023,12,34.5
2024,1,33.1
2024,2,39.4
2024,3,44.0
2024,4,53.0
2024,5,62.4
2024,6,74.0
2024,7,74.6
2024,8,75.9
2024,9,67.8
2024,10,60.3
2024,11,39.0
