year,month,tavg
2001,1,23.0
2001,2,26.0
2001,3,35.0
2001,4,47.5
2001,5,58.0
2001,6,67.0
2001,7,71.5
2001,8,70.0
2001,9,62.0
2001,10,50.0
2001,11,39.5
2001,12,28.5
2002,1,23.0
2002,2,26.0
2002,3,35.0
2002,4,47.5
2002,5,58.0
2002,6,67.0
2002,7,71.5
2002,8,70.0
2002,9,62.0
2002,10,50.0
2002,11,39.5
2002,12,28.5
2003,1,23.0
2003,2,26.0
2003,3,35.0
2003,4,47.5
2003,5,58.0
2003,6,67.0
2003,7,71.5
2003,8,70.0
2003,9,62.0
2003,10,50.0
2003,11,39.5
2003,12,28.5
2004,1,23.0
2004,2,26.0
2004,3,35.0
2004,4,47.5
2004,5,58.0
2004,6,67.0
2004,7,71.5
2004,8,70.0
2004,9,62.0
2004,10,50.0
2004,11,39.5
2004,12,28.5
2005,1,23.0
2005,2,26.0
2005,3,35.0
2005,4,47.5
2005,5,58.0
2005,6,67.0
2005,7,71.5
2005,8,70.0
2005,9,62.0
2005,10,50.0
2005,11,39.5
2005,12,28.5
2006,1,23.0
2006,2,26.0
2006,3,35.0
2006,4,47.5
2006,5,58.0
2006,6,67.0
2006,7,71.5
2006,8,70.0
2006,9,62.0
2006,10,50.0
2006,11,39.5
2006,12,28.5
2007,1,23.0
2007,2,26.0
2007,3,35.0
2007,4,47.5
2007,5,58.0
2007,6,67.0
2007,7,71.5
2007,8,70.0
2007,9,62.0
2007,10,50.0
2007,11,39.5
2007,12,28.5
2008,1,23.0
2008,2,26.0
2008,3,35.0
2008,4,47.5
2008,5,58.0
2008,6,67.0
2008,7,71.5
2008,8,70.0
2008,9,62.0
2008,10,50.0
2008,11,39.5
2008,12,28.5
2009,1,23.0
2009,2,26.0
2009,3,35.0
2009,4,47.5
2009,5,58.0
2009,6,67.0
2009,7,71.5
2009,8,70.0
2009,9,62.0
2009,10,50.0
2009,11,39.5
2009,12,28.5
2010,1,23.0
2010,2,26.0
2010,3,35.0
2010,4,47.5
2010,5,58.0
2010,6,67.0
2010,7,71.5
2010,8,70.0
2010,9,62.0
2010,10,50.0
2010,11,39.5
2010,12,28.5
2011,1,23.0
2011,2,26.0
2011,3,35.0
2011,4,47.5
2011,5,58.0
2011,6,67.0
2011,7,71.5
2011,8,70.0
2011,9,62.0
2011,10,50.0
2011,11,39.5
2011,12,28.5
2012,1,23.0
2012,2,26.0
2012,3,35.0
2012,4,47.5
2012,5,58.0
2012,6,67.0
2012,7,71.5
2012,8,70.0
2012,9,62.0
2012,10,50.0
2012,11,39.5
2012,12,28.5
2013,1,23.0
2013,2,26.0
2013,3,35.0
2013,4,47.5
2013,5,58.0
2013,6,67.0
2013,7,71.5
2013,8,70.0
2013,9,62.0
2013,10,50.0
2013,11,39.5
2013,12,28.5
2014,1,23.0
2014,2,26.0
2014,3,35.0
2014,4,47.5
2014,5,58.0
2014,6,67.0
2014,7,71.5
2014,8,70.0
2014,9,62.0
2014,10,50.0
2014,11,39.5
2014,12,28.5
2015,1,23.0
2015,2,26.0
2015,3,35.0
2015,4,47.5
2015,5,58.0
2015,6,67.0
2015,7,71.5
2015,8,70.0
2015,9,62.0
2015,10,50.0
2015,11,39.5
2015,12,28.5
2016,1,23.0
2016,2,26.0
2016,3,35.0
2016,4,47.5
2016,5,58.0
2016,6,67.0
2016,7,71.5
2016,8,70.0
2016,9,62.0
2016,10,50.0
2016,11,39.5
2016,12,28.5
2017,1,23.0
2017,2,26.0
2017,3,35.0
2017,4,47.5
2017,5,58.0
2017,6,67.0
2017,7,71.5
2017,8,70.0
2017,9,62.0
2017,10,50.0
2017,11,39.5
2017,12,28.5
2018,1,23.0
2018,2,26.0
2018,3,35.0
2018,4,47.5
2018,5,58.0
2018,6,67.0
2018,7,71.5
2018,8,70.0
2018,9,62.0
2018,10,50.0
2018,11,39.5
2018,12,28.5
2019,1,23.0
2019,2,26.0
2019,3,35.0
2019,4,47.5
2019,5,58.0
2019,6,67.0
2019,7,71.5
2019,8,70.0
2019,9,62.0
2019,10,50.0
2019,11,39.5
2019,12,28.5
2020,1,23.0
2020,2,26.0
2020,3,35.0
2020,4,47.5
2020,5,58.0
2020,6,67.0
2020,7,71.5
2020,8,70.0
2020,9,62.0
2020,10,50.0
2020,11,39.5
2020,12,28.5
2021,1,24.6
2021,2,24.9
2021,3,37.1
2021,4,48.1
2021,5,57.9
2021,6,70.4
2021,7,69.9
2021,8,72.9
2021,9,64.4
2021,10,55.6
2021,11,38.7
2021,12,34.4
2022,1,19.1
2022,2,25.9
2022,3,35.5
2022,4,46.2
2022,5,62.2
2022,6,66.7
2022,7,74.2
2022,8,74.1
2022,9,62.4
2022,10,51.4
2022,11,43.2
2022,12,30.3
2023,1,31.8
2023,2,29.7
2023,3,34.9
2023,4,49.9
2023,5,58.4
2023,6,66.0
2023,7,73.0
2023,8,68.4
2023,9,64.4
2023,10,55.0
2023,11,37.8
2023,12,35.7
2024,1,28.3
2024,2,31.8
2024,3,38.4
2024,4,47.4
2024,5,62.6
2024,6,70.3
2024,7,75.1
2024,8,69.5
2024,9,64.3
2024,10,53.2
2024,11,39.5
