year,month,tavg
2001,1,41.9
2001,2,47.4
2001,3,49.3
2001,4,61.1
2001,5,68.3
2001,6,77.1
2001,7,76.5
2001,8,79.9
2001,9,69.2
2001,10,59.7
2001,11,56.0
2001,12,47.9
2002,1,43.0
2002,2,44.8
2002,3,52.8
2002,4,63.4
2002,5,66.9
2002,6,78.0
2002,7,80.8
2002,8,78.6
2002,9,73.4
2002,10,61.8
2002,11,49.2
2002,12,40.6
2003,1,36.9
2003,2,41.3
2003,3,53.4
2003,4,58.4
2003,5,66.5
2003,6,74.0
2003,7,78.5
2003,8,79.1
2003,9,70.2
2003,10,59.8
2003,11,56.7
2003,12,41.2
2004,1,38.2
2004,2,41.9
2004,3,52.8
2004,4,60.6
2004,5,73.9
2004,6,76.4
2004,7,79.4
2004,8,75.6
2004,9,71.4
2004,10,62.8
2004,11,53.8
2004,12,43.7
2005,1,43.8
2005,2,44.9
2005,3,48.0
2005,4,59.3
2005,5,65.1
2005,6,76.6
2005,7,82.5
2005,8,79.4
2005,9,75.1
2005,10,61.9
2005,11,53.4
2005,12,40.4
2006,1,47.6
2006,2,43.9
2006,3,51.7
2006,4,62.8
2006,5,65.9
2006,6,73.9
2006,7,79.3
2006,8,79.6
2006,9,69.3
2006,10,58.6
2006,11,52.2
2006,12,47.5
2007,1,45.1
2007,2,40.2
2007,3,55.7
2007,4,60.1
2007,5,68.4
2007,6,75.8
2007,7,77.9
2007,8,83.3
2007,9,74.8
2007,10,66.8
2007,11,50.6
2007,12,48.1
2008,1,41.4
2008,2,47.3
2008,3,53.3
2008,4,60.1
2008,5,66.4
2008,6,79.8
2008,7,78.1
2008,8,77.6
2008,9,71.6
2008,10,58.5
2008,11,48.9
2008,12,48.5
2009,1,39.8
2009,2,45.8
2009,3,51.9
2009,4,62.5
2009,5,70.6
2009,6,77.9
2009,7,78.5
2009,8,78.9
2009,9,70.1
2009,10,60.1
2009,11,52.5
2009,12,40.7
2010,1,37.5
2010,2,37.3
2010,3,52.2
2010,4,63.5
2010,5,71.4
2010,6,80.5
2010,7,81.7
2010,8,80.3
2010,9,76.5
2010,10,62.7
2010,11,50.8
2010,12,34.5
2011,1,37.6
2011,2,47.8
2011,3,51.6
2011,4,63.8
2011,5,69.7
2011,6,79.6
2011,7,82.9
2011,8,79.4
2011,9,72.9
2011,10,58.7
2011,11,54.1
2011,12,48.5
2012,1,45.7
2012,2,47.2
2012,3,60.6
2012,4,60.3
2012,5,71.2
2012,6,74.6
2012,7,81.8
2012,8,77.1
2012,9,70.4
2012,10,60.4
2012,11,47.1
2012,12,48.9
2013,1,44.1
2013,2,42.2
2013,3,45.2
2013,4,60.4
2013,5,66.1
2013,6,74.9
2013,7,78.0
2013,8,75.2
2013,9,70.1
2013,10,61.4
2013,11,48.3
2013,12,46.0
2014,1,36.6
2014,2,42.9
2014,3,45.9
2014,4,60.5
2014,5,69.9
2014,6,76.5
2014,7,77.7
2014,8,75.0
2014,9,71.3
2014,10,62.6
2014,11,46.8
2014,12,44.8
2015,1,39.7
2015,2,35.0
2015,3,50.7
2015,4,61.8
2015,5,70.6
2015,6,78.8
2015,7,79.5
2015,8,77.3
2015,9,72.6
2015,10,59.7
2015,11,55.1
2015,12,55.7
2016,1,39.1
2016,2,44.0
2016,3,58.2
2016,4,60.7
2016,5,66.9
2016,6,76.4
2016,7,81.0
2016,8,80.9
2016,9,75.5
2016,10,63.7
2016,11,52.2
2016,12,44.9
2017,1,46.5
2017,2,53.3
2017,3,52.3
2017,4,66.0
2017,5,69.1
2017,6,75.2
2017,7,80.9
2017,8,78.0
2017,9,71.0
2017,10,63.4
2017,11,49.7
2017,12,42.2
2018,1,37.0
2018,2,51.9
2018,3,46.0
2018,4,57.8
2018,5,73.1
2018,6,77.9
2018,7,78.5
2018,8,77.7
2018,9,75.8
2018,10,61.8
2018,11,48.2
2018,12,45.4
2019,1,42.4
2019,2,47.2
2019,3,49.2
2019,4,61.7
2019,5,73.5
2019,6,75.3
2019,7,80.3
2019,8,76.8
2019,9,76.2
2019,10,65.4
2019,11,47.9
2019,12,47.5
2020,1,47.1
2020,2,48.5
2020,3,57.6
2020,4,59.7
2020,5,65.1
2020,6,75.1
2020,7,81.1
2020,8,78.6
2020,9,70.1
2020,10,63.6
2020,11,55.6
2020,12,43.1
2021,1,40.7
2021,2,41.7
2021,3,54.6
2021,4,60.9
2021,5,66.8
2021,6,75.5
2021,7,78.7
2021,8,79.4
2021,9,72.7
2021,10,65.2
2021,11,48.8
2021,12,52.0
2022,1,39.4
2022,2,47.9
2022,3,56.1
2022,4,62.1
2022,5,70.7
2022,6,78.1
2022,7,80.9
2022,8,78.9
2022,9,73.0
2022,10,59.5
2022,11,55.5
2022,12,42.9
2023,1,49.2
2023,2,53.9
2023,3,54.6
2023,4,63.4
2023,5,66.9
2023,6,74.3
2023,7,81.6
2023,8,80.1
2023,9,73.0
2023,10,63.2
2023,11,52.0
2023,12,49.1
2024,1,45.2
2024,2,49.3
2024,3,56.8
2024,4,64.5
2024,5,72.6
2024,6,80.7
2024,7,81.4
2024,8,78.4
2024,9,73.3
2024,10,59.7
2024,11,64.9
