year,month,tavg
2001,1,18.8
2001,2,7.4
2001,3,30.2
2001,4,44.9
2001,5,58.1
2001,6,64.5
2001,7,72.8
2001,8,72.9
2001,9,61.3
2001,10,44.3
2001,11,38.0
2001,12,21.1
2002,1,19.5
2002,2,25.9
2002,3,19.1
2002,4,41.1
2002,5,50.7
2002,6,68.3
2002,7,75.0
2002,8,69.2
2002,9,61.7
2002,10,36.6
2002,11,32.9
2002,12,22.3
2003,1,13.5
2003,2,10.8
2003,3,24.5
2003,4,47.3
2003,5,54.3
2003,6,63.9
2003,7,72.7
2003,8,75.7
2003,9,60.3
2003,10,49.6
2003,11,22.5
2003,12,24.2
2004,1,7.9
2004,2,17.7
2004,3,35.5
2004,4,46.2
2004,5,53.8
2004,6,61.9
2004,7,70.4
2004,8,64.8
2004,9,61.3
2004,10,46.3
2004,11,35.5
2004,12,22.2
2005,1,9.8
2005,2,24.2
2005,3,32.7
2005,4,49.0
2005,5,54.1
2005,6,67.8
2005,7,72.5
2005,8,68.1
2005,9,61.1
2005,10,46.4
2005,11,33.4
2005,12,20.0
2006,1,27.7
2006,2,20.3
2006,3,31.0
2006,4,49.9
2006,5,57.9
2006,6,68.1
2006,7,77.8
2006,8,71.7
2006,9,57.0
2006,10,40.7
2006,11,29.9
2006,12,23.8
2007,1,15.2
2007,2,10.5
2007,3,35.8
2007,4,42.7
2007,5,57.6
2007,6,67.6
2007,7,75.6
2007,8,67.5
2007,9,59.8
2007,10,47.0
2007,11,31.4
2007,12,15.3
2008,1,11.8
2008,2,14.9
2008,3,30.5
2008,4,42.3
2008,5,53.8
2008,6,62.3
2008,7,72.3
2008,8,71.7
2008,9,58.5
2008,10,45.3
2008,11,31.2
2008,12,7.7
2009,1,9.2
2009,2,14.2
2009,3,21.7
2009,4,41.3
2009,5,54.7
2009,6,62.2
2009,7,67.1
2009,8,66.9
2009,9,64.2
2009,10,39.4
2009,11,36.8
2009,12,11.0
2010,1,10.4
2010,2,11.6
2010,3,33.6
2010,4,48.0
2010,5,54.0
2010,6,65.6
2010,7,71.2
2010,8,70.9
2010,9,56.3
2010,10,48.1
2010,11,27.9
2010,12,12.4
2011,1,9.0
2011,2,13.2
2011,3,21.4
2011,4,40.1
2011,5,52.5
2011,6,63.5
2011,7,72.4
2011,8,69.4
2011,9,57.8
2011,10,48.5
2011,11,31.5
2011,12,25.7
2012,1,22.9
2012,2,22.2
2012,3,43.2
2012,4,47.7
2012,5,56.2
2012,6,68.0
2012,7,76.2
2012,8,68.0
2012,9,59.4
2012,10,42.7
2012,11,28.1
2012,12,15.8
2013,1,14.1
2013,2,21.7
2013,3,22.4
2013,4,34.6
2013,5,55.2
2013,6,65.1
2013,7,70.3
2013,8,71.0
2013,9,63.2
2013,10,42.2
2013,11,28.0
2013,12,8.3
2014,1,13.3
2014,2,9.7
2014,3,26.6
2014,4,40.8
2014,5,56.2
2014,6,63.8
2014,7,69.0
2014,8,68.2
2014,9,59.7
2014,10,48.2
2014,11,22.4
2014,12,19.8
2015,1,19.5
2015,2,12.3
2015,3,35.1
2015,4,46.5
2015,5,54.3
2015,6,66.6
2015,7,72.0
2015,8,70.2
2015,9,64.6
2015,10,49.3
2015,11,33.9
2015,12,22.7
2016,1,18.2
2016,2,32.1
2016,3,39.0
2016,4,44.6
2016,5,58.0
2016,6,68.8
2016,7,71.6
2016,8,69.1
2016,9,59.8
2016,10,47.9
2016,11,39.1
2016,12,11.8
2017,1,12.6
2017,2,23.5
2017,3,30.9
2017,4,45.7
2017,5,58.3
2017,6,68.5
2017,7,75.7
2017,8,66.9
2017,9,60.2
2017,10,47.2
2017,11,31.8
2017,12,20.6
2018,1,13.6
2018,2,8.9
2018,3,27.0
2018,4,36.2
2018,5,61.9
2018,6,70.0
2018,7,72.1
2018,8,70.7
2018,9,58.0
2018,10,41.7
2018,11,25.7
2018,12,23.7
2019,1,13.3
2019,2,0.6
2019,3,23.2
2019,4,44.1
2019,5,52.2
2019,6,67.3
2019,7,72.2
2019,8,67.1
2019,9,60.2
2019,10,38.7
2019,11,29.5
2019,12,17.9
2020,1,15.5
2020,2,21.9
2020,3,33.5
2020,4,41.2
2020,5,55.5
2020,6,71.7
2020,7,74.1
2020,8,73.6
2020,9,59.9
2020,10,41.1
2020,11,34.0
2020,12,26.1
2021,1,25.7
2021,2,10.7
2021,3,38.3
2021,4,43.4
2021,5,56.7
2021,6,74.0
2021,7,78.9
2021,8,73.4
2021,9,65.1
2021,10,50.4
2021,11,34.9
2021,12,18.4
2022,1,12.9
2022,2,15.3
2022,3,31.2
2022,4,36.4
2022,5,55.6
2022,6,68.2
2022,7,74.3
2022,8,72.8
2022,9,63.2
2022,10,47.3
2022,11,24.6
2022,12,8.5
2023,1,13.9
2023,2,17.4
2023,3,16.2
2023,4,36.5
2023,5,61.5
2023,6,70.6
2023,7,70.1
2023,8,70.3
2023,9,63.2
2023,10,45.1
2023,11,32.8
2023,12,28.3
2024,1,15.0
2024,2,28.9
2024,3,28.5
2024,4,45.8
2024,5,56.3
2024,6,65.6
2024,7,73.4
2024,8,68.7
2024,9,67.2
2024,10,43.8
2024,11,37.8
