year,month,tavg
2001,1,28.0
2001,2,32.0
2001,3,42.0
2001,4,52.0
2001,5,62.5
2001,6,71.5
2001,7,75.0
2001,8,73.5
2001,9,66.5
2001,10,54.5
2001,11,43.5
2001,12,33.5
2002,1,28.0
2002,2,32.0
2002,3,42.0
2002,4,52.0
2002,5,62.5
2002,6,71.5
2002,7,75.0
2002,8,73.5
2002,9,66.5
2002,10,54.5
2002,11,43.5
2002,12,33.5
2003,1,28.0
2003,2,32.0
2003,3,42.0
2003,4,52.0
2003,5,62.5
2003,6,71.5
2003,7,75.0
2003,8,73.5
2003,9,66.5
2003,10,54.5
2003,11,43.5
2003,12,33.5
2004,1,28.0
2004,2,32.0
2004,3,42.0
2004,4,52.0
2004,5,62.5
2004,6,71.5
2004,7,75.0
2004,8,73.5
2004,9,66.5
2004,10,54.5
2004,11,43.5
2004,12,33.5
2005,1,31.4
2005,2,34.1
2005,3,37.5
2005,4,54.0
2005,5,58.6
2005,6,73.9
2005,7,77.0
2005,8,75.6
2005,9,69.2
2005,10,54.8
2005,11,45.2
2005,12,29.2
2006,1,39.3
2006,2,32.1
2006,3,40.1
2006,4,55.3
2006,5,60.5
2006,6,68.6
2006,7,76.1
2006,8,74.5
2006,9,62.0
2006,10,51.0
2006,11,44.9
2006,12,38.9
2007,1,33.4
2007,2,20.3
2007,3,45.6
2007,4,49.1
2007,5,65.8
2007,6,72.1
2007,7,71.9
2007,8,76.1
2007,9,68.2
2007,10,59.6
2007,11,42.4
2007,12,33.2
2008,1,29.5
2008,2,28.8
2008,3,37.2
2008,4,53.9
2008,5,58.9
2008,6,71.5
2008,7,73.7
2008,8,71.7
2008,9,68.0
2008,10,52.4
2008,11,39.8
2008,12,30.6
2009,1,21.1
2009,2,32.2
2009,3,43.5
2009,4,52.3
2009,5,62.9
2009,6,71.0
2009,7,70.0
2009,8,71.3
2009,9,64.4
2009,10,50.4
2009,11,45.5
2009,12,30.7
2010,1,25.0
2010,2,26.3
2010,3,42.5
2010,4,56.9
2010,5,64.5
2010,6,72.5
2010,7,75.6
2010,8,74.8
2010,9,66.8
2010,10,54.7
2010,11,42.2
2010,12,25.5
2011,1,24.2
2011,2,31.0
2011,3,39.8
2011,4,52.6
2011,5,62.8
2011,6,70.6
2011,7,77.8
2011,8,71.8
2011,9,63.5
2011,10,52.2
2011,11,47.6
2011,12,37.4
2012,1,32.4
2012,2,35.3
2012,3,52.4
2012,4,51.3
2012,5,68.2
2012,6,72.4
2012,7,78.4
2012,8,73.1
2012,9,64.1
2012,10,52.6
2012,11,40.3
2012,12,38.0
2013,1,31.6
2013,2,29.7
2013,3,35.7
2013,4,52.1
2013,5,64.8
2013,6,70.9
2013,7,73.4
2013,8,71.3
2013,9,65.1
2013,10,54.3
2013,11,39.4
2013,12,32.7
2014,1,20.7
2014,2,23.9
2014,3,35.4
2014,4,52.7
2014,5,63.1
2014,6,72.0
2014,7,69.9
2014,8,71.9
2014,9,64.2
2014,10,53.5
2014,11,37.5
2014,12,35.4
2015,1,25.4
2015,2,18.7
2015,3,37.5
2015,4,53.0
2015,5,66.9
2015,6,70.7
2015,7,71.8
2015,8,70.7
2015,9,68.6
2015,10,54.6
2015,11,47.8
2015,12,43.8
2016,1,28.3
2016,2,34.0
2016,3,47.8
2016,4,51.3
2016,5,60.9
2016,6,72.5
2016,7,75.4
2016,8,76.3
2016,9,69.6
2016,10,58.3
2016,11,46.5
2016,12,31.3
2017,1,35.5
2017,2,41.1
2017,3,41.2
2017,4,58.3
2017,5,61.9
2017,6,71.3
2017,7,73.7
2017,8,70.4
2017,9,66.0
2017,10,57.5
2017,11,42.3
2017,12,29.5
2018,1,26.2
2018,2,37.8
2018,3,36.6
2018,4,46.0
2018,5,70.0
2018,6,72.5
2018,7,74.3
2018,8,74.1
2018,9,69.9
2018,10,55.0
2018,11,37.7
2018,12,35.9
2019,1,27.4
2019,2,33.5
2019,3,37.5
2019,4,53.7
2019,5,64.4
2019,6,70.1
2019,7,76.8
2019,8,73.1
2019,9,71.3
2019,10,57.0
2019,11,37.8
2019,12,36.3
2020,1,35.1
2020,2,33.3
2020,3,45.7
2020,4,48.6
2020,5,59.4
2020,6,72.0
2020,7,77.0
2020,8,71.5
2020,9,64.8
2020,10,53.0
2020,11,45.8
2020,12,33.3
2021,1,31.1
2021,2,25.8
2021,3,45.7
2021,4,51.9
2021,5,60.2
2021,6,72.7
2021,7,73.1
2021,8,73.6
2021,9,66.8
2021,10,60.1
2021,11,40.1
2021,12,40.7
2022,1,24.9
2022,2,31.2
2022,3,44.2
2022,4,49.4
2022,5,64.9
2022,6,72.4
2022,7,74.7
2022,8,71.8
2022,9,64.9
2022,10,52.2
2022,11,43.7
2022,12,33.3
2023,1,36.3
2023,2,39.6
2023,3,41.2
2023,4,52.7
2023,5,61.7
2023,6,68.2
2023,7,73.5
2023,8,71.1
2023,9,65.8
2023,10,55.6
2023,11,42.6
2023,12,40.0
2024,1,30.2
2024,2,38.8
2024,3,45.9
2024,4,56.0
2024,5,66.7
2024,6,73.2
2024,7,74.4
2024,8,73.5
2024,9,69.0
2024,10,55.3
2024,11,43.5
