year,month,tavg
2001,1,36.6
2001,2,41.2
2001,3,46.9
2001,4,63.3
2001,5,69.7
2001,6,76.6
2001,7,86.0
2001,8,83.2
2001,9,70.9
2001,10,60.4
2001,11,54.0
2001,12,42.5
2002,1,40.2
2002,2,41.4
2002,3,46.3
2002,4,61.2
2002,5,66.2
2002,6,76.5
2002,7,80.1
2002,8,81.4
2002,9,74.4
2002,10,56.4
2002,11,47.6
2002,12,41.5
2003,1,37.0
2003,2,38.1
2003,3,49.8
2003,4,60.4
2003,5,69.3
2003,6,74.1
2003,7,84.4
2003,8,83.0
2003,9,69.8
2003,10,63.8
2003,11,50.8
2003,12,43.3
2004,1,40.2
2004,2,41.5
2004,3,55.9
2004,4,61.6
2004,5,72.1
2004,6,75.6
2004,7,79.1
2004,8,76.9
2004,9,75.3
2004,10,64.8
2004,11,50.7
2004,12,43.9
2005,1,39.8
2005,2,47.4
2005,3,51.9
2005,4,61.6
2005,5,69.5
2005,6,78.3
2005,7,80.7
2005,8,79.9
2005,9,76.3
2005,10,62.6
2005,11,53.7
2005,12,38.6
2006,1,47.8
2006,2,41.7
2006,3,54.8
2006,4,67.3
2006,5,72.4
2006,6,79.5
2006,7,85.8
2006,8,85.0
2006,9,70.5
2006,10,61.5
2006,11,51.1
2006,12,41.9
2007,1,34.8
2007,2,40.7
2007,3,58.7
2007,4,56.4
2007,5,69.6
2007,6,75.1
2007,7,79.2
2007,8,83.5
2007,9,74.9
2007,10,64.6
2007,11,51.9
2007,12,38.2
2008,1,39.6
2008,2,40.5
2008,3,51.6
2008,4,58.9
2008,5,70.4
2008,6,79.5
2008,7,83.7
2008,8,80.1
2008,9,71.0
2008,10,60.9
2008,11,50.4
2008,12,39.0
2009,1,36.9
2009,2,47.9
2009,3,53.5
2009,4,59.8
2009,5,67.1
2009,6,81.4
2009,7,83.1
2009,8,79.5
2009,9,70.6
2009,10,55.1
2009,11,53.4
2009,12,34.6
2010,1,35.2
2010,2,36.0
2010,3,49.3
2010,4,62.7
2010,5,69.1
2010,6,82.0
2010,7,82.6
2010,8,86.1
2010,9,75.7
2010,10,63.5
2010,11,50.8
2010,12,40.0
2011,1,35.0
2011,2,40.5
2011,3,53.3
2011,4,65.0
2011,5,69.5
2011,6,86.3
2011,7,91.3
2011,8,89.3
2011,9,72.4
2011,10,63.0
2011,11,49.9
2011,12,40.5
2012,1,42.6
2012,2,44.4
2012,3,60.2
2012,4,65.3
2012,5,73.3
2012,6,79.3
2012,7,87.7
2012,8,83.5
2012,9,74.8
2012,10,60.2
2012,11,53.5
2012,12,42.4
2013,1,40.3
2013,2,41.5
2013,3,49.2
2013,4,54.8
2013,5,67.1
2013,6,78.4
2013,7,80.9
2013,8,81.2
2013,9,76.4
2013,10,61.5
2013,11,47.4
2013,12,34.6
2014,1,37.0
2014,2,37.8
2014,3,47.3
2014,4,61.1
2014,5,70.6
2014,6,78.3
2014,7,79.3
2014,8,82.7
2014,9,75.0
2014,10,66.1
2014,11,46.2
2014,12,42.4
2015,1,39.2
2015,2,37.8
2015,3,52.7
2015,4,62.3
2015,5,66.8
2015,6,80.0
2015,7,82.9
2015,8,80.9
2015,9,78.1
2015,10,63.8
2015,11,51.7
2015,12,44.9
2016,1,38.3
2016,2,48.7
2016,3,56.0
2016,4,62.6
2016,5,67.8
2016,6,80.9
2016,7,84.6
2016,8,82.1
2016,9,75.7
2016,10,68.5
2016,11,56.3
2016,12,39.0
2017,1,41.1
2017,2,51.3
2017,3,57.3
2017,4,61.7
2017,5,69.1
2017,6,79.7
2017,7,84.4
2017,8,78.0
2017,9,74.6
2017,10,63.3
2017,11,53.5
2017,12,40.5
2018,1,37.9
2018,2,40.4
2018,3,54.2
2018,4,55.8
2018,5,76.5
2018,6,81.3
2018,7,84.2
2018,8,80.8
2018,9,73.8
2018,10,60.3
2018,11,45.1
2018,12,41.0
2019,1,38.5
2019,2,39.7
2019,3,48.2
2019,4,61.8
2019,5,68.6
2019,6,77.1
2019,7,83.9
2019,8,83.7
2019,9,80.8
2019,10,58.5
2019,11,47.5
2019,12,44.1
2020,1,43.8
2020,2,43.0
2020,3,56.6
2020,4,58.9
2020,5,69.0
2020,6,80.8
2020,7,83.9
2020,8,81.5
2020,9,70.9
2020,10,59.3
2020,11,55.1
2020,12,42.0
2021,1,40.5
2021,2,32.1
2021,3,56.2
2021,4,59.4
2021,5,67.2
2021,6,78.6
2021,7,81.4
2021,8,82.7
2021,9,79.3
2021,10,66.2
2021,11,52.8
2021,12,52.0
2022,1,37.5
2022,2,39.4
2022,3,51.8
2022,4,63.7
2022,5,72.7
2022,6,82.2
2022,7,89.8
2022,8,84.4
2022,9,76.5
2022,10,63.1
2022,11,47.4
2022,12,40.7
2023,1,43.3
2023,2,44.3
2023,3,50.4
2023,4,59.8
2023,5,69.5
2023,6,77.5
2023,7,82.7
2023,8,85.3
2023,9,78.1
2023,10,63.1
2023,11,52.0
2023,12,45.8
2024,1,33.9
2024,2,49.8
2024,3,55.4
2024,4,63.8
2024,5,71.8
2024,6,82.0
2024,7,82.5
2024,8,83.8
2024,9,76.0
2024,10,66.5
2024,11,53.4
