year,month,tavg
2001,1,29.6
2001,2,34.1
2001,3,38.1
2001,4,51.7
2001,5,61.9
2001,6,71.5
2001,7,72.9
2001,8,76.5
2001,9,64.4
2001,10,56.0
2001,11,49.2
2001,12,39.7
2002,1,36.8
2002,2,34.4
2002,3,42.6
2002,4,54.6
2002,5,58.0
2002,6,71.9
2002,7,71.7
2002,8,76.9
2002,9,68.3
2002,10,52.6
2002,11,42.7
2002,12,30.1
2003,1,26.6
2003,2,25.9
2003,3,37.9
2003,4,49.8
2003,5,59.1
2003,6,68.4
2003,7,72.2
2003,8,65.7
2003,9,65.8
2003,10,52.2
2003,11,48.1
2003,12,32.5
2004,1,24.8
2004,2,32.0
2004,3,44.1
2004,4,53.3
2004,5,67.8
2004,6,69.3
2004,7,73.9
2004,8,72.5
2004,9,68.0
2004,10,54.0
2004,11,47.7
2004,12,35.0
2005,1,31.5
2005,2,35.0
2005,3,38.3
2005,4,54.3
2005,5,58.3
2005,6,74.5
2005,7,77.3
2005,8,76.0
2005,9,70.2
2005,10,56.3
2005,11,46.3
2005,12,31.2
2006,1,38.3
2006,2,33.7
2006,3,43.4
2006,4,54.9
2006,5,61.9
2006,6,70.7
2006,7,77.5
2006,8,75.8
2006,9,63.6
2006,10,53.9
2006,11,48.1
2006,12,40.7
2007,1,35.8
2007,2,25.9
2007,3,41.8
2007,4,49.7
2007,5,64.9
2007,6,72.8
2007,7,74.6
2007,8,74.8
2007,9,68.7
2007,10,61.6
2007,11,42.7
2007,12,35.2
2008,1,33.5
2008,2,32.7
2008,3,42.0
2008,4,55.1
2008,5,59.3
2008,6,73.9
2008,7,75.8
2008,8,71.9
2008,9,67.7
2008,10,52.8
2008,11,43.3
2008,12,35.1
2009,1,27.1
2009,2,35.2
2009,3,42.6
2009,4,54.1
2009,5,62.9
2009,6,70.3
2009,7,71.9
2009,8,74.3
2009,9,64.9
2009,10,53.2
2009,11,48.3
2009,12,33.7
2010,1,31.2
2010,2,31.3
2010,3,47.9
2010,4,56.6
2010,5,65.2
2010,6,74.8
2010,7,78.4
2010,8,75.2
2010,9,68.6
2010,10,55.6
2010,11,44.2
2010,12,30.1
2011,1,27.6
2011,2,34.0
2011,3,41.2
2011,4,54.4
2011,5,65.2
2011,6,73.0
2011,7,79.4
2011,8,73.5
2011,9,67.7
2011,10,53.8
2011,11,47.2
2011,12,39.6
2012,1,34.6
2012,2,38.8
2012,3,51.8
2012,4,53.9
2012,5,67.6
2012,6,71.8
2012,7,79.0
2012,8,74.2
2012,9,66.6
2012,10,55.8
2012,11,40.6
2012,12,39.3
2013,1,33.3
2013,2,32.3
2013,3,39.0
2013,4,53.5
2013,5,62.4
2013,6,72.2
2013,7,77.5
2013,8,72.1
2013,9,65.2
2013,10,57.1
2013,11,42.0
2013,12,34.8
2014,1,24.3
2014,2,28.8
2014,3,36.7
2014,4,51.5
2014,5,62.9
2014,6,71.6
2014,7,73.4
2014,8,70.2
2014,9,66.5
2014,10,57.6
2014,11,41.3
2014,12,37.5
2015,1,27.9
2015,2,22.0
2015,3,36.4
2015,4,53.6
2015,5,68.3
2015,6,71.8
2015,7,75.6
2015,8,74.4
2015,9,70.0
2015,10,54.8
2015,11,50.2
2015,12,45.8
2016,1,30.3
2016,2,34.3
2016,3,49.2
2016,4,53.1
2016,5,62.2
2016,6,73.3
2016,7,79.4
2016,8,78.5
2016,9,71.6
2016,10,58.8
2016,11,47.9
2016,12,37.0
2017,1,37.0
2017,2,42.5
2017,3,41.0
2017,4,59.7
2017,5,62.0
2017,6,73.7
2017,7,77.4
2017,8,72.5
2017,9,68.0
2017,10,61.2
2017,11,44.0
2017,12,33.7
2018,1,30.0
2018,2,39.9
2018,3,39.0
2018,4,50.3
2018,5,68.7
2018,6,73.1
2018,7,78.3
2018,8,78.6
2018,9,72.1
2018,10,58.1
2018,11,42.1
2018,12,38.6
2019,1,31.5
2019,2,34.4
2019,3,40.7
2019,4,56.7
2019,5,66.0
2019,6,72.2
2019,7,79.9
2019,8,76.5
2019,9,72.0
2019,10,60.4
2019,11,43.2
2019,12,37.7
2020,1,38.3
2020,2,40.1
2020,3,48.7
2020,4,51.2
2020,5,61.8
2020,6,73.9
2020,7,81.5
2020,8,77.8
2020,9,68.2
2020,10,58.2
2020,11,50.9
2020,12,37.8
2021,1,35.2
2021,2,33.4
2021,3,47.2
2021,4,55.4
2021,5,62.6
2021,6,74.5
2021,7,77.4
2021,8,78.0
2021,9,69.7
2021,10,63.2
2021,11,43.5
2021,12,42.7
2022,1,29.6
2022,2,36.9
2022,3,46.3
2022,4,53.5
2022,5,67.6
2022,6,74.8
2022,7,79.1
2022,8,78.1
2022,9,68.8
2022,10,55.4
2022,11,48.6
2022,12,35.8
2023,1,41.5
2023,2,41.9
2023,3,44.6
2023,4,59.6
2023,5,62.8
2023,6,70.7
2023,7,80.2
2023,8,77.6
2023,9,71.0
2023,10,59.3
2023,11,45.0
2023,12,42.8
2024,1,36.2
2024,2,40.4
2024,3,48.5
2024,4,57.3
2024,5,68.0
2024,6,77.2
2024,7,80.9
2024,8,75.2
2024,9,68.6
2024,10,57.0
