year,month,tavg
2001,1,29.2
2001,2,32.1
2001,3,36.5
2001,4,49.3
2001,5,60.3
2001,6,70.8
2001,7,70.1
2001,8,74.4
2001,9,65.1
2001,10,54.5
2001,11,47.8
2001,12,39.5
2002,1,35.4
2002,2,35.8
2002,3,40.5
2002,4,51.3
2002,5,56.9
2002,6,66.6
2002,7,75.8
2002,8,75.5
2002,9,68.0
2002,10,53.1
2002,11,43.7
2002,12,33.3
2003,1,25.0
2003,2,26.4
2003,3,38.6
2003,4,45.7
2003,5,55.4
2003,6,65.5
2003,7,73.8
2003,8,75.0
2003,9,66.5
2003,10,52.0
2003,11,46.7
2003,12,36.2
2004,1,21.6
2004,2,33.2
2004,3,39.0
2004,4,49.8
2004,5,59.4
2004,6,67.0
2004,7,71.8
2004,8,71.5
2004,9,65.6
2004,10,53.4
2004,11,43.7
2004,12,34.6
2005,1,27.7
2005,2,31.6
2005,3,35.0
2005,4,50.1
2005,5,53.6
2005,6,69.9
2005,7,74.5
2005,8,75.5
2005,9,68.5
2005,10,55.1
2005,11,47.0
2005,12,32.6
2006,1,37.2
2006,2,32.0
2006,3,39.0
2006,4,50.4
2006,5,58.0
2006,6,67.9
2006,7,75.7
2006,8,72.3
2006,9,63.9
2006,10,54.0
2006,11,49.4
2006,12,41.5
2007,1,34.4
2007,2,27.2
2007,3,38.4
2007,4,46.3
2007,5,61.1
2007,6,68.2
2007,7,73.1
2007,8,72.8
2007,9,67.1
2007,10,59.7
2007,11,43.1
2007,12,32.8
2008,1,33.5
2008,2,33.3
2008,3,39.3
2008,4,51.2
2008,5,57.2
2008,6,71.1
2008,7,76.0
2008,8,69.6
2008,9,65.2
2008,10,52.2
2008,11,42.7
2008,12,35.9
2009,1,24.7
2009,2,32.8
2009,3,37.5
2009,4,50.1
2009,5,58.5
2009,6,63.4
2009,7,69.9
2009,8,73.4
2009,9,63.2
2009,10,52.3
2009,11,48.8
2009,12,33.2
2010,1,29.4
2010,2,32.5
2010,3,44.9
2010,4,53.7
2010,5,62.2
2010,6,70.5
2010,7,76.7
2010,8,73.3
2010,9,67.9
2010,10,55.6
2010,11,44.9
2010,12,31.1
2011,1,26.5
2011,2,30.1
2011,3,38.7
2011,4,49.8
2011,5,58.6
2011,6,67.2
2011,7,75.8
2011,8,72.9
2011,9,66.9
2011,10,55.3
2011,11,48.4
2011,12,39.8
2012,1,34.0
2012,2,36.7
2012,3,45.7
2012,4,51.3
2012,5,61.0
2012,6,66.5
2012,7,74.8
2012,8,73.6
2012,9,64.4
2012,10,56.3
2012,11,41.6
2012,12,38.7
2013,1,32.1
2013,2,31.3
2013,3,38.2
2013,4,48.5
2013,5,59.4
2013,6,68.8
2013,7,77.4
2013,8,70.7
2013,9,63.6
2013,10,55.1
2013,11,42.2
2013,12,33.7
2014,1,26.8
2014,2,28.8
2014,3,33.7
2014,4,48.1
2014,5,59.1
2014,6,68.0
2014,7,73.5
2014,8,70.2
2014,9,65.9
2014,10,56.4
2014,11,42.2
2014,12,38.4
2015,1,26.5
2015,2,19.4
2015,3,33.0
2015,4,48.7
2015,5,62.4
2015,6,66.2
2015,7,74.1
2015,8,74.6
2015,9,68.9
2015,10,53.7
2015,11,48.1
2015,12,45.8
2016,1,32.2
2016,2,34.5
2016,3,43.7
2016,4,47.7
2016,5,58.9
2016,6,68.4
2016,7,75.6
2016,8,75.9
2016,9,67.7
2016,10,55.5
2016,11,46.2
2016,12,35.2
2017,1,35.1
2017,2,35.9
2017,3,35.2
2017,4,52.0
2017,5,57.8
2017,6,68.4
2017,7,72.4
2017,8,71.4
2017,9,67.5
2017,10,61.2
2017,11,44.5
2017,12,31.5
2018,1,29.3
2018,2,39.1
2018,3,38.3
2018,4,45.5
2018,5,62.3
2018,6,67.3
2018,7,75.3
2018,8,76.3
2018,9,67.3
2018,10,53.4
2018,11,42.0
2018,12,36.2
2019,1,30.3
2019,2,32.2
2019,3,36.9
2019,4,49.9
2019,5,57.1
2019,6,67.6
2019,7,76.2
2019,8,72.8
2019,9,65.7
2019,10,55.7
2019,11,40.9
2019,12,35.2
2020,1,36.0
2020,2,36.3
2020,3,43.5
2020,4,45.3
2020,5,57.6
2020,6,69.6
2020,7,76.6
2020,8,74.7
2020,9,66.1
2020,10,55.5
2020,11,48.6
2020,12,36.5
2021,1,32.2
2021,2,32.3
2021,3,41.1
2021,4,50.2
2021,5,59.9
2021,6,71.6
2021,7,72.4
2021,8,75.1
2021,9,68.7
2021,10,59.5
2021,11,44.4
2021,12,39.9
2022,1,28.8
2022,2,34.0
2022,3,41.9
2022,4,50.5
2022,5,60.7
2022,6,68.0
2022,7,77.0
2022,8,75.9
2022,9,65.0
2022,10,55.3
2022,11,48.0
2022,12,36.0
2023,1,37.6
2023,2,35.2
2023,3,39.9
2023,4,51.2
2023,5,58.0
2023,6,62.9
2023,7,74.6
2023,8,70.6
2023,9,66.2
2023,10,57.1
2023,11,41.8
2023,12,40.2
2024,1,32.5
2024,2,34.5
2024,3,42.5
2024,4,48.3
2024,5,59.0
2024,6,70.3
2024,7,74.7
2024,8,70.8
2024,9,64.3
2024,10,50.2
