year,month,tavg
2001,1,44.2
2001,2,51.9
2001,3,53.3
2001,4,65.4
2001,5,72.8
2001,6,79.0
2001,7,80.6
2001,8,82.4
2001,9,72.9
2001,10,61.7
2001,11,59.0
2001,12,52.2
2002,1,47.9
2002,2,48.0
2002,3,57.3
2002,4,69.1
2002,5,69.9
2002,6,79.5
2002,7,84.1
2002,8,81.1
2002,9,77.7
2002,10,67.6
2002,11,52.7
2002,12,44.8
2003,1,42.4
2003,2,47.8
2003,3,58.3
2003,4,61.9
2003,5,71.6
2003,6,77.1
2003,7,80.0
2003,8,81.0
2003,9,73.1
2003,10,63.9
2003,11,59.1
2003,12,42.7
2004,1,43.9
2004,2,44.8
2004,3,58.2
2004,4,63.9
2004,5,75.8
2004,6,80.0
2004,7,82.2
2004,8,78.7
2004,9,74.9
2004,10,67.0
2004,11,56.4
2004,12,46.1
2005,1,48.6
2005,2,48.9
2005,3,53.9
2005,4,62.1
2005,5,68.7
2005,6,77.7
2005,7,82.4
2005,8,80.6
2005,9,78.2
2005,10,65.2
2005,11,55.9
2005,12,43.8
2006,1,51.2
2006,2,47.6
2006,3,55.9
2006,4,67.6
2006,5,71.0
2006,6,77.9
2006,7,81.7
2006,8,80.9
2006,9,73.4
2006,10,62.3
2006,11,54.7
2006,12,50.7
2007,1,48.9
2007,2,46.7
2007,3,59.5
2007,4,62.9
2007,5,71.4
2007,6,78.0
2007,7,79.3
2007,8,85.0
2007,9,77.4
2007,10,69.7
2007,11,54.5
2007,12,53.2
2008,1,44.8
2008,2,52.1
2008,3,57.8
2008,4,64.0
2008,5,71.2
2008,6,80.9
2008,7,80.1
2008,8,79.4
2008,9,74.6
2008,10,61.8
2008,11,50.6
2008,12,52.6
2009,1,45.2
2009,2,48.6
2009,3,55.2
2009,4,64.3
2009,5,72.4
2009,6,80.5
2009,7,80.2
2009,8,80.6
2009,9,75.4
2009,10,63.5
2009,11,55.6
2009,12,45.8
2010,1,41.4
2010,2,42.2
2010,3,53.9
2010,4,66.6
2010,5,75.0
2010,6,82.3
2010,7,83.4
2010,8,82.2
2010,9,78.7
2010,10,65.0
2010,11,54.7
2010,12,39.5
2011,1,41.5
2011,2,52.2
2011,3,57.1
2011,4,67.5
2011,5,73.4
2011,6,82.2
2011,7,84.0
2011,8,82.4
2011,9,75.4
2011,10,61.6
2011,11,56.3
2011,12,52.0
2012,1,49.6
2012,2,52.6
2012,3,65.0
2012,4,66.4
2012,5,74.1
2012,6,77.3
2012,7,83.3
2012,8,78.7
2012,9,74.6
2012,10,64.8
2012,11,51.6
2012,12,52.4
2013,1,52.2
2013,2,47.5
2013,3,51.0
2013,4,64.4
2013,5,70.4
2013,6,78.6
2013,7,79.1
2013,8,78.5
2013,9,75.4
2013,10,66.4
2013,11,53.0
2013,12,51.4
2014,1,41.2
2014,2,48.8
2014,3,51.8
2014,4,65.4
2014,5,73.7
2014,6,80.3
2014,7,80.7
2014,8,80.3
2014,9,75.0
2014,10,66.3
2014,11,50.4
2014,12,49.5
2015,1,45.1
2015,2,42.9
2015,3,58.2
2015,4,67.1
2015,5,73.7
2015,6,81.7
2015,7,83.8
2015,8,80.8
2015,9,75.7
2015,10,63.9
2015,11,58.4
2015,12,59.5
2016,1,44.3
2016,2,49.1
2016,3,62.5
2016,4,65.9
2016,5,72.2
2016,6,81.6
2016,7,85.2
2016,8,83.0
2016,9,78.1
2016,10,67.4
2016,11,56.1
2016,12,49.8
2017,1,53.2
2017,2,57.5
2017,3,57.4
2017,4,69.1
2017,5,73.3
2017,6,79.0
2017,7,82.0
2017,8,80.9
2017,9,76.4
2017,10,67.7
2017,11,54.7
2017,12,48.9
2018,1,42.6
2018,2,59.0
2018,3,54.1
2018,4,62.5
2018,5,75.4
2018,6,81.3
2018,7,81.4
2018,8,80.6
2018,9,80.0
2018,10,67.6
2018,11,52.8
2018,12,49.8
2019,1,47.9
2019,2,53.6
2019,3,56.2
2019,4,65.9
2019,5,77.6
2019,6,78.2
2019,7,82.5
2019,8,81.5
2019,9,80.3
2019,10,69.9
2019,11,51.7
2019,12,51.2
2020,1,51.5
2020,2,52.3
2020,3,61.9
2020,4,64.7
2020,5,70.0
2020,6,77.4
2020,7,82.8
2020,8,80.5
2020,9,74.4
2020,10,68.6
2020,11,59.6
2020,12,46.1
2021,1,46.7
2021,2,48.4
2021,3,58.9
2021,4,64.1
2021,5,71.2
2021,6,78.1
2021,7,80.2
2021,8,80.7
2021,9,74.2
2021,10,68.0
2021,11,52.3
2021,12,55.3
2022,1,44.6
2022,2,53.5
2022,3,59.6
2022,4,64.6
2022,5,74.8
2022,6,81.3
2022,7,82.1
2022,8,79.5
2022,9,75.3
2022,10,62.5
2022,11,58.7
2022,12,46.0
2023,1,51.3
2023,2,56.5
2023,3,58.3
2023,4,64.6
2023,5,68.8
2023,6,75.7
2023,7,81.5
2023,8,81.2
2023,9,73.9
2023,10,64.2
2023,11,53.9
2023,12,50.0
2024,1,46.8
2024,2,51.1
2024,3,59.2
2024,4,65.9
2024,5,73.9
2024,6,80.2
2024,7,81.8
2024,8,79.2
2024,9,75.2
2024,10,64.2
