year,month,tavg
2001,1,25.4
2001,2,13.7
2001,3,31.4
2001,4,49.0
2001,5,59.6
2001,6,67.6
2001,7,76.6
2001,8,75.7
2001,9,64.7
2001,10,48.8
2001,11,40.7
2001,12,25.2
2002,1,25.8
2002,2,30.8
2002,3,23.5
2002,4,45.9
2002,5,54.4
2002,6,73.4
2002,7,78.7
2002,8,71.6
2002,9,64.4
2002,10,40.4
2002,11,35.6
2002,12,27.5
2003,1,20.3
2003,2,20.4
2003,3,33.3
2003,4,48.6
2003,5,56.5
2003,6,65.8
2003,7,76.2
2003,8,76.9
2003,9,62.1
2003,10,52.7
2003,11,28.9
2003,12,27.7
2004,1,16.6
2004,2,24.5
2004,3,39.9
2004,4,49.7
2004,5,57.5
2004,6,64.0
2004,7,73.5
2004,8,68.8
2004,9,64.9
2004,10,50.4
2004,11,37.3
2004,12,28.5
2005,1,17.1
2005,2,29.4
2005,3,35.2
2005,4,49.4
2005,5,55.5
2005,6,69.3
2005,7,78.0
2005,8,75.1
2005,9,68.2
2005,10,50.1
2005,11,36.6
2005,12,22.0
2006,1,34.0
2006,2,24.9
2006,3,32.3
2006,4,51.8
2006,5,61.1
2006,6,72.2
2006,7,81.8
2006,8,74.4
2006,9,58.4
2006,10,44.9
2006,11,34.3
2006,12,28.3
2007,1,21.5
2007,2,16.4
2007,3,41.4
2007,4,44.4
2007,5,61.3
2007,6,69.3
2007,7,79.6
2007,8,73.0
2007,9,65.1
2007,10,50.6
2007,11,35.5
2007,12,21.7
2008,1,18.2
2008,2,20.5
2008,3,33.3
2008,4,44.2
2008,5,53.7
2008,6,64.4
2008,7,74.4
2008,8,73.8
2008,9,61.6
2008,10,47.6
2008,11,34.7
2008,12,13.9
2009,1,18.5
2009,2,23.8
2009,3,30.8
2009,4,43.9
2009,5,57.4
2009,6,64.7
2009,7,70.3
2009,8,69.3
2009,9,64.4
2009,10,40.3
2009,11,40.2
2009,12,13.4
2010,1,15.0
2010,2,14.0
2010,3,36.4
2010,4,50.5
2010,5,55.1
2010,6,67.2
2010,7,74.1
2010,8,
2010,9,
2010,10,
2010,11,
2010,12,
2011,1,
2011,2,
2011,3,
2011,4,
2011,5,
2011,6,
2011,7,
2011,8,
2011,9,
2011,10,
2011,11,
2011,12,
2012,1,
2012,2,
2012,3,
2012,4,
2012,5,
2012,6,
2012,7,
2012,8,
2012,9,
2012,10,
2012,11,
2012,12,
2013,1,
2013,2,
2013,3,
2013,4,
2013,5,
2013,6,
2013,7,
2013,8,
2013,9,
2013,10,
2013,11,
2013,12,
2014,1,
2014,2,
2014,3,
2014,4,
2014,5,
2014,6,
2014,7,
2014,8,
2014,9,
2014,10,
2014,11,
2014,12,
2015,1,
2015,2,
2015,3,
2015,4,
2015,5,
2015,6,
2015,7,
2015,8,
2015,9,
2015,10,
2015,11,
2015,12,
2016,1,
2016,2,
2016,3,
2016,4,
2016,5,
2016,6,
2016,7,
2016,8,
2016,9,
2016,10,
2016,11,
2016,12,
2017,1,
2017,2,
2017,3,
2017,4,
2017,5,
2017,6,
2017,7,
2017,8,
2017,9,
2017,10,
2017,11,
2017,12,
2018,1,
2018,2,
2018,3,
2018,4,
2018,5,
2018,6,
2018,7,
2018,8,
2018,9,
2018,10,
2018,11,
2018,12,
2019,1,
2019,2,
2019,3,
2019,4,
2019,5,
2019,6,
2019,7,
2019,8,
2019,9,
2019,10,
2019,11,
2019,12,
2020,1,20.1
2020,2,26.2
2020,3,37.6
2020,4,42.9
2020,5,54.3
2020,6,71.5
2020,7,75.5
2020,8,74.4
2020,9,63.4
2020,10,43.4
2020,11,39.2
2020,12,29.4
2021,1,29.0
2021,2,15.5
2021,3,40.8
2021,4,45.0
2021,5,57.0
2021,6,75.8
2021,7,77.8
2021,8,75.3
2021,9,66.0
2021,10,51.7
2021,11,38.7
2021,12,24.7
2022,1,21.4
2022,2,21.9
2022,3,34.3
2022,4,41.7
2022,5,57.2
2022,6,69.2
2022,7,76.0
2022,8,75.2
2022,9,66.7
2022,10,50.4
2022,11,30.5
2022,12,15.8
2023,1,21.1
2023,2,23.8
2023,3,25.3
2023,4,42.1
2023,5,62.9
2023,6,72.4
2023,7,73.7
2023,8,73.5
2023,9,65.7
2023,10,47.8
2023,11,37.3
2023,12,31.3
2024,1,16.2
2024,2,32.6
2024,3,34.2
2024,4,47.7
2024,5,58.1
2024,6,68.4
2024,7,74.4
2024,8,72.5
2024,9,69.7
2024,10,55.6
