state_name,total_population
Alabama,4447224
Alaska,756963
Arizona,9591733
Arkansas,2711092
California,57484352
Colorado,7514399
Connecticut,4215584
Delaware,521790
District of Columbia,5116378
Florida,30035743
Georgia,10810576
Hawaii,1439162
Idaho,1798693
Illinois,17835455
Indiana,6306577
Iowa,3305247
Kansas,2606601
Kentucky,3113646
Louisiana,4701219
Maine,586684
Maryland,7130579
Massachusetts,7923201
Michigan,10383442
Minnesota,7299381
Mississippi,2031562
Missouri,7578721
Montana,816411
Nebraska,1910291
Nevada,4768938
New Hampshire,800165
New Jersey,5963932
New Mexico,2057309
New York,36852425
North Carolina,9224643
North Dakota,752480
Ohio,13542241
Oklahoma,3802818
Oregon,5183219
Pennsylvania,14801106
Puerto Rico,3886399
Rhode Island,1740011
South Carolina,4757738
South Dakota,726713
Tennessee,6315749
Texas,34327175
Utah,5284284
Vermont,258375
Virginia,8331160
Washington,10246427
West Virginia,1119895
Wisconsin,5757080
Wyoming,474607
