year,month,tavg
2001,1,35.6
2001,2,44.8
2001,3,45.6
2001,4,63.9
2001,5,69.2
2001,6,73.6
2001,7,80.1
2001,8,79.1
2001,9,70.4
2001,10,58.8
2001,11,54.6
2001,12,45.1
2002,1,42.4
2002,2,40.8
2002,3,48.4
2002,4,62.2
2002,5,65.9
2002,6,77.2
2002,7,80.3
2002,8,80.2
2002,9,75.3
2002,10,61.6
2002,11,46.7
2002,12,40.7
2003,1,33.0
2003,2,38.2
2003,3,52.3
2003,4,61.4
2003,5,67.5
2003,6,72.1
2003,7,78.4
2003,8,79.5
2003,9,70.4
2003,10,60.8
2003,11,53.8
2003,12,40.5
2004,1,38.9
2004,2,40.9
2004,3,53.6
2004,4,59.6
2004,5,71.9
2004,6,75.8
2004,7,77.8
2004,8,74.5
2004,9,72.4
2004,10,64.6
2004,11,53.8
2004,12,40.3
2005,1,43.6
2005,2,45.3
2005,3,47.9
2005,4,59.9
2005,5,66.4
2005,6,77.1
2005,7,81.2
2005,8,80.7
2005,9,74.8
2005,10,61.0
2005,11,52.4
2005,12,37.6
2006,1,46.6
2006,2,40.2
2006,3,51.7
2006,4,65.5
2006,5,66.6
2006,6,76.0
2006,7,80.4
2006,8,81.6
2006,9,71.0
2006,10,59.6
2006,11,51.2
2006,12,46.5
2007,1,42.6
2007,2,37.1
2007,3,59.1
2007,4,57.7
2007,5,71.6
2007,6,77.7
2007,7,79.4
2007,8,86.8
2007,9,75.7
2007,10,65.5
2007,11,49.9
2007,12,46.1
2008,1,37.3
2008,2,42.8
2008,3,50.2
2008,4,58.7
2008,5,67.4
2008,6,78.3
2008,7,79.6
2008,8,78.7
2008,9,73.8
2008,10,60.1
2008,11,46.8
2008,12,40.7
2009,1,35.5
2009,2,43.8
2009,3,52.2
2009,4,59.3
2009,5,67.8
2009,6,78.3
2009,7,75.5
2009,8,76.6
2009,9,71.5
2009,10,57.2
2009,11,51.3
2009,12,39.1
2010,1,32.9
2010,2,34.3
2010,3,48.9
2010,4,63.6
2010,5,69.8
2010,6,80.2
2010,7,81.8
2010,8,80.6
2010,9,73.4
2010,10,60.8
2010,11,50.7
2010,12,34.1
2011,1,34.6
2011,2,43.9
2011,3,51.3
2011,4,63.2
2011,5,67.4
2011,6,78.1
2011,7,82.1
2011,8,80.3
2011,9,68.8
2011,10,58.3
2011,11,52.2
2011,12,43.9
2012,1,43.6
2012,2,46.1
2012,3,61.3
2012,4,62.5
2012,5,72.8
2012,6,77.7
2012,7,82.7
2012,8,77.5
2012,9,70.8
2012,10,58.3
2012,11,47.3
2012,12,47.2
2013,1,41.9
2013,2,42.3
2013,3,45.0
2013,4,59.1
2013,5,67.4
2013,6,76.6
2013,7,77.0
2013,8,77.0
2013,9,72.2
2013,10,61.4
2013,11,46.5
2013,12,41.6
2014,1,32.4
2014,2,39.1
2014,3,46.9
2014,4,61.6
2014,5,70.2
2014,6,77.0
2014,7,76.9
2014,8,78.9
2014,9,72.3
2014,10,61.6
2014,11,44.3
2014,12,43.4
2015,1,37.8
2015,2,32.3
2015,3,50.9
2015,4,62.4
2015,5,70.5
2015,6,77.5
2015,7,80.5
2015,8,76.6
2015,9,73.4
2015,10,61.8
2015,11,55.7
2015,12,51.3
2016,1,34.8
2016,2,42.1
2016,3,54.3
2016,4,60.5
2016,5,65.5
2016,6,77.7
2016,7,80.2
2016,8,78.7
2016,9,73.5
2016,10,65.2
2016,11,52.4
2016,12,39.8
2017,1,44.8
2017,2,49.3
2017,3,51.6
2017,4,63.6
2017,5,68.9
2017,6,74.7
2017,7,79.4
2017,8,75.7
2017,9,69.8
2017,10,61.2
2017,11,51.3
2017,12,39.6
2018,1,34.7
2018,2,49.1
2018,3,49.6
2018,4,54.2
2018,5,73.8
2018,6,78.6
2018,7,79.5
2018,8,78.9
2018,9,75.8
2018,10,61.3
2018,11,45.1
2018,12,44.0
2019,1,39.5
2019,2,47.7
2019,3,48.3
2019,4,61.3
2019,5,71.6
2019,6,75.5
2019,7,79.4
2019,8,78.3
2019,9,79.1
2019,10,62.0
2019,11,44.6
2019,12,46.3
2020,1,44.0
2020,2,43.6
2020,3,56.6
2020,4,58.0
2020,5,66.0
2020,6,75.8
2020,7,80.6
2020,8,76.8
2020,9,70.5
2020,10,60.7
2020,11,52.7
2020,12,40.7
2021,1,40.4
2021,2,37.0
2021,3,54.7
2021,4,58.3
2021,5,65.7
2021,6,76.6
2021,7,79.0
2021,8,77.7
2021,9,70.2
2021,10,64.3
2021,11,46.1
2021,12,52.3
2022,1,35.5
2022,2,41.2
2022,3,53.0
2022,4,58.7
2022,5,71.0
2022,6,79.0
2022,7,82.3
2022,8,78.4
2022,9,71.9
2022,10,58.9
2022,11,49.7
2022,12,42.4
2023,1,46.0
2023,2,50.1
2023,3,51.3
2023,4,59.6
2023,5,68.0
2023,6,74.2
2023,7,78.5
2023,8,77.0
2023,9,71.8
2023,10,61.9
2023,11,50.9
2023,12,44.9
2024,1,35.7
2024,2,49.2
2024,3,55.1
2024,4,63.2
2024,5,70.3
2024,6,77.4
2024,7,79.6
2024,8,79.3
2024,9,73.0
2024,10,61.9
2024,11,57.7
