year,month,tavg
2001,1,48.6
2001,2,56.4
2001,3,55.3
2001,4,71.0
2001,5,76.7
2001,6,82.9
2001,7,87.3
2001,8,86.5
2001,9,77.4
2001,10,68.4
2001,11,63.1
2001,12,54.0
2002,1,54.1
2002,2,51.2
2002,3,59.3
2002,4,73.6
2002,5,78.2
2002,6,82.3
2002,7,82.6
2002,8,85.6
2002,9,80.0
2002,10,69.7
2002,11,57.6
2002,12,53.4
2003,1,48.1
2003,2,51.4
2003,3,60.4
2003,4,71.0
2003,5,80.3
2003,6,82.3
2003,7,85.0
2003,8,86.2
2003,9,78.7
2003,10,72.6
2003,11,64.1
2003,12,55.4
2004,1,54.7
2004,2,52.0
2004,3,66.7
2004,4,68.6
2004,5,76.8
2004,6,79.9
2004,7,83.1
2004,8,83.4
2004,9,80.3
2004,10,76.1
2004,11,60.0
2004,12,52.7
2005,1,54.7
2005,2,56.0
2005,3,61.0
2005,4,67.9
2005,5,74.8
2005,6,83.7
2005,7,85.4
2005,8,84.2
2005,9,83.3
2005,10,69.8
2005,11,63.8
2005,12,51.8
2006,1,58.2
2006,2,53.8
2006,3,65.2
2006,4,73.9
2006,5,76.7
2006,6,82.2
2006,7,84.4
2006,8,87.0
2006,9,79.1
2006,10,71.3
2006,11,62.6
2006,12,54.2
2007,1,46.8
2007,2,54.2
2007,3,65.1
2007,4,65.3
2007,5,74.8
2007,6,79.8
2007,7,79.3
2007,8,83.6
2007,9,79.8
2007,10,72.7
2007,11,62.0
2007,12,54.7
2008,1,50.4
2008,2,59.2
2008,3,62.5
2008,4,69.5
2008,5,78.8
2008,6,85.9
2008,7,84.6
2008,8,84.5
2008,9,79.9
2008,10,70.2
2008,11,61.9
2008,12,52.9
2009,1,52.5
2009,2,60.7
2009,3,62.7
2009,4,68.6
2009,5,77.5
2009,6,85.7
2009,7,88.2
2009,8,87.7
2009,9,76.9
2009,10,67.8
2009,11,60.6
2009,12,46.8
2010,1,48.1
2010,2,46.7
2010,3,58.8
2010,4,68.1
2010,5,77.5
2010,6,82.9
2010,7,83.1
2010,8,87.5
2010,9,79.2
2010,10,70.6
2010,11,61.2
2010,12,53.7
2011,1,49.1
2011,2,53.5
2011,3,65.7
2011,4,75.3
2011,5,77.2
2011,6,86.3
2011,7,88.8
2011,8,91.1
2011,9,83.8
2011,10,71.3
2011,11,61.9
2011,12,51.4
2012,1,54.8
2012,2,56.8
2012,3,65.8
2012,4,73.0
2012,5,76.9
2012,6,84.1
2012,7,83.5
2012,8,85.9
2012,9,79.1
2012,10,69.2
2012,11,63.2
2012,12,56.7
2013,1,53.1
2013,2,58.2
2013,3,62.2
2013,4,66.2
2013,5,74.6
2013,6,84.2
2013,7,84.6
2013,8,86.9
2013,9,81.7
2013,10,70.8
2013,11,57.1
2013,12,49.3
2014,1,50.5
2014,2,53.8
2014,3,58.1
2014,4,68.5
2014,5,73.7
2014,6,81.2
2014,7,83.5
2014,8,86.0
2014,9,79.3
2014,10,73.4
2014,11,55.5
2014,12,54.2
2015,1,47.8
2015,2,50.6
2015,3,59.6
2015,4,70.3
2015,5,74.1
2015,6,80.1
2015,7,84.6
2015,8,86.3
2015,9,81.8
2015,10,74.0
2015,11,61.1
2015,12,56.3
2016,1,50.9
2016,2,59.2
2016,3,65.5
2016,4,69.2
2016,5,73.6
2016,6,82.0
2016,7,86.4
2016,8,83.1
2016,9,81.2
2016,10,74.5
2016,11,65.2
2016,12,54.7
2017,1,55.9
2017,2,63.4
2017,3,67.2
2017,4,71.0
2017,5,75.5
2017,6,82.5
2017,7,87.4
2017,8,84.3
2017,9,79.1
2017,10,70.4
2017,11,65.3
2017,12,51.7
2018,1,48.9
2018,2,55.3
2018,3,66.3
2018,4,66.8
2018,5,79.8
2018,6,84.9
2018,7,86.5
2018,8,87.1
2018,9,78.5
2018,10,68.9
2018,11,56.3
2018,12,52.8
2019,1,51.1
2019,2,55.6
2019,3,60.2
2019,4,68.8
2019,5,75.8
2019,6,81.2
2019,7,85.4
2019,8,88.3
2019,9,86.2
2019,10,70.7
2019,11,57.9
2019,12,55.0
2020,1,56.8
2020,2,54.8
2020,3,67.9
2020,4,69.0
2020,5,77.1
2020,6,82.6
2020,7,87.1
2020,8,88.3
2020,9,77.4
2020,10,71.0
2020,11,65.4
2020,12,53.9
2021,1,52.9
2021,2,47.8
2021,3,64.3
2021,4,68.5
2021,5,74.2
2021,6,82.1
2021,7,82.4
2021,8,84.3
2021,9,81.8
2021,10,73.4
2021,11,60.9
2021,12,64.1
2022,1,50.0
2022,2,49.3
2022,3,61.8
2022,4,72.8
2022,5,81.2
2022,6,86.9
2022,7,89.5
2022,8,85.8
2022,9,81.9
2022,10,71.6
2022,11,58.2
2022,12,54.8
2023,1,56.2
2023,2,56.4
2023,3,65.5
2023,4,67.5
2023,5,76.0
2023,6,85.3
2023,7,89.6
2023,8,90.2
2023,9,85.1
2023,10,71.0
2023,11,58.8
2023,12,55.2
2024,1,47.1
2024,2,60.2
2024,3,65.1
2024,4,71.3
2024,5,79.0
2024,6,84.9
2024,7,84.1
2024,8,87.4
2024,9,81.8
2024,10,77.0
2024,11,69.8
