year,month,tavg
2001,1,27.5
2001,2,34.7
2001,3,45.7
2001,4,50.3
2001,5,63.9
2001,6,71.2
2001,7,79.6
2001,8,79.4
2001,9,70.5
2001,10,55.2
2001,11,42.9
2001,12,26.5
2002,1,26.0
2002,2,28.0
2002,3,39.2
2002,4,52.4
2002,5,60.2
2002,6,72.1
2002,7,82.1
2002,8,73.6
2002,9,66.3
2002,10,49.9
2002,11,37.8
2002,12,35.7
2003,1,38.5
2003,2,34.8
2003,3,44.8
2003,4,50.6
2003,5,61.5
2003,6,71.0
2003,7,81.1
2003,8,80.3
2003,9,66.4
2003,10,58.1
2003,11,37.5
2003,12,33.8
2004,1,22.7
2004,2,27.7
2004,3,48.0
2004,4,52.6
2004,5,60.6
2004,6,70.4
2004,7,79.3
2004,8,74.4
2004,9,65.5
2004,10,54.1
2004,11,39.2
2004,12,33.0
2005,1,34.7
2005,2,35.3
2005,3,43.0
2005,4,50.8
2005,5,59.5
2005,6,66.9
2005,7,81.1
2005,8,77.0
2005,9,65.1
2005,10,54.0
2005,11,41.5
2005,12,31.0
2006,1,34.0
2006,2,33.3
2006,3,41.1
2006,4,53.0
2006,5,63.6
2006,6,74.1
2006,7,83.1
2006,8,77.0
2006,9,62.8
2006,10,50.2
2006,11,41.2
2006,12,30.4
2007,1,21.0
2007,2,36.4
2007,3,46.4
2007,4,53.1
2007,5,64.3
2007,6,74.5
2007,7,84.2
2007,8,80.5
2007,9,66.5
2007,10,51.4
2007,11,41.2
2007,12,28.2
2008,1,25.1
2008,2,33.0
2008,3,40.4
2008,4,47.1
2008,5,57.9
2008,6,70.8
2008,7,81.8
2008,8,78.4
2008,9,66.4
2008,10,52.4
2008,11,42.5
2008,12,30.2
2009,1,30.0
2009,2,35.5
2009,3,41.9
2009,4,49.2
2009,5,62.1
2009,6,66.1
2009,7,79.6
2009,8,75.6
2009,9,70.6
2009,10,49.0
2009,11,40.3
2009,12,23.7
2010,1,28.7
2010,2,35.6
2010,3,42.3
2010,4,48.7
2010,5,53.1
2010,6,69.0
2010,7,79.6
2010,8,76.4
2010,9,68.6
2010,10,55.6
2010,11,38.2
2010,12,33.3
2011,1,27.4
2011,2,33.7
2011,3,43.3
2011,4,45.2
2011,5,53.0
2011,6,66.8
2011,7,78.3
2011,8,78.9
2011,9,68.9
2011,10,54.0
2011,11,38.9
2011,12,28.6
2012,1,32.2
2012,2,36.4
2012,3,49.0
2012,4,54.3
2012,5,62.2
2012,6,74.9
2012,7,82.1
2012,8,81.5
2012,9,69.7
2012,10,54.7
2012,11,44.8
2012,12,35.0
2013,1,19.4
2013,2,28.5
2013,3,44.4
2013,4,50.3
2013,5,62.9
2013,6,76.6
2013,7,83.9
2013,8,82.2
2013,9,69.7
2013,10,52.1
2013,11,43.5
2013,12,24.8
2014,1,30.2
2014,2,41.6
2014,3,49.2
2014,4,52.7
2014,5,62.2
2014,6,70.8
2014,7,81.9
2014,8,73.9
2014,9,69.7
2014,10,56.9
2014,11,40.9
2014,12,36.7
2015,1,33.2
2015,2,43.5
2015,3,49.3
2015,4,52.6
2015,5,59.4
2015,6,78.1
2015,7,77.7
2015,8,77.7
2015,9,70.6
2015,10,60.1
2015,11,39.7
2015,12,31.0
2016,1,29.5
2016,2,36.0
2016,3,46.8
2016,4,54.8
2016,5,61.6
2016,6,78.1
2016,7,83.8
2016,8,80.5
2016,9,67.4
2016,10,58.1
2016,11,45.6
2016,12,29.3
2017,1,26.7
2017,2,40.1
2017,3,49.9
2017,4,50.4
2017,5,62.6
2017,6,76.9
2017,7,85.2
2017,8,81.1
2017,9,67.0
2017,10,52.0
2017,11,47.0
2017,12,32.4
2018,1,38.0
2018,2,39.2
2018,3,46.0
2018,4,55.5
2018,5,64.1
2018,6,75.6
2018,7,83.1
2018,8,77.9
2018,9,71.1
2018,10,52.6
2018,11,38.2
2018,12,31.4
2019,1,30.2
2019,2,34.6
2019,3,42.5
2019,4,52.6
2019,5,57.6
2019,6,70.8
2019,7,82.4
2019,8,80.5
2019,9,67.8
2019,10,46.2
2019,11,40.8
2019,12,33.5
2020,1,35.1
2020,2,34.4
2020,3,46.2
2020,4,53.5
2020,5,65.1
2020,6,70.9
2020,7,81.7
2020,8,83.8
2020,9,69.2
2020,10,55.3
2020,11,42.0
2020,12,29.3
2021,1,32.1
2021,2,36.2
2021,3,44.2
2021,4,51.2
2021,5,63.3
2021,6,80.9
2021,7,85.5
2021,8,76.7
2021,9,70.3
2021,10,52.5
2021,11,44.0
2021,12,34.8
2022,1,30.8
2022,2,32.8
2022,3,46.2
2022,4,50.5
2022,5,59.6
2022,6,74.9
2022,7,86.9
2022,8,81.8
2022,9,74.9
2022,10,57.3
2022,11,36.6
2022,12,32.7
2023,1,33.6
2023,2,31.8
2023,3,39.0
2023,4,50.3
2023,5,66.6
2023,6,71.0
2023,7,85.6
2023,8,78.5
2023,9,70.2
2023,10,54.8
2023,11,42.8
2023,12,35.5
2024,1,34.2
2024,2,40.3
2024,3,45.0
2024,4,54.0
2024,5,59.2
2024,6,78.2
2024,7,83.8
2024,8,79.7
2024,9,72.8
2024,10,54.8
2024,11,44.4
