year,month,tavg
2001,1,18.2
2001,2,19.7
2001,3,25.4
2001,4,39.8
2001,5,55.5
2001,6,64.0
2001,7,64.1
2001,8,68.7
2001,9,57.4
2001,10,47.9
2001,11,39.3
2001,12,29.9
2002,1,26.1
2002,2,23.8
2002,3,29.8
2002,4,43.5
2002,5,50.5
2002,6,61.2
2002,7,67.0
2002,8,66.0
2002,9,59.9
2002,10,42.9
2002,11,32.7
2002,12,21.2
2003,1,9.9
2003,2,14.9
2003,3,27.7
2003,4,38.8
2003,5,51.8
2003,6,61.9
2003,7,67.2
2003,8,67.3
2003,9,58.5
2003,10,43.4
2003,11,35.5
2003,12,21.5
2004,1,6.4
2004,2,18.2
2004,3,32.5
2004,4,42.6
2004,5,56.0
2004,6,60.5
2004,7,66.2
2004,8,64.9
2004,9,58.9
2004,10,45.5
2004,11,35.3
2004,12,22.3
2005,1,14.3
2005,2,21.5
2005,3,26.5
2005,4,44.6
2005,5,50.0
2005,6,67.7
2005,7,69.5
2005,8,67.9
2005,9,61.2
2005,10,48.1
2005,11,37.9
2005,12,22.4
2006,1,27.3
2006,2,21.7
2006,3,30.1
2006,4,44.3
2006,5,55.5
2006,6,63.7
2006,7,70.6
2006,8,64.7
2006,9,57.2
2006,10,44.9
2006,11,41.2
2006,12,31.4
2007,1,20.1
2007,2,13.8
2007,3,28.5
2007,4,40.1
2007,5,55.7
2007,6,64.4
2007,7,65.7
2007,8,65.7
2007,9,60.3
2007,10,52.1
2007,11,33.0
2007,12,23.1
2008,1,23.2
2008,2,21.3
2008,3,27.6
2008,4,45.6
2008,5,52.1
2008,6,64.7
2008,7,67.9
2008,8,63.6
2008,9,59.0
2008,10,44.5
2008,11,36.0
2008,12,23.7
2009,1,12.1
2009,2,21.6
2009,3,31.1
2009,4,45.4
2009,5,54.4
2009,6,61.8
2009,7,65.0
2009,8,67.1
2009,9,56.4
2009,10,44.2
2009,11,40.3
2009,12,23.8
2010,1,21.5
2010,2,24.8
2010,3,37.8
2010,4,47.7
2010,5,57.3
2010,6,62.3
2010,7,70.1
2010,8,66.0
2010,9,59.8
2010,10,44.9
2010,11,34.4
2010,12,21.2
2011,1,15.7
2011,2,18.6
2011,3,27.6
2011,4,41.6
2011,5,57.7
2011,6,62.4
2011,7,69.4
2011,8,66.1
2011,9,61.2
2011,10,47.5
2011,11,40.7
2011,12,27.3
2012,1,21.3
2012,2,25.5
2012,3,38.8
2012,4,43.4
2012,5,57.9
2012,6,62.5
2012,7,67.5
2012,8,66.8
2012,9,56.4
2012,10,49.4
2012,11,31.7
2012,12,26.9
2013,1,18.3
2013,2,20.8
2013,3,28.9
2013,4,40.9
2013,5,55.6
2013,6,61.6
2013,7,69.3
2013,8,64.0
2013,9,56.0
2013,10,46.9
2013,11,31.0
2013,12,21.5
2014,1,15.1
2014,2,16.8
2014,3,19.2
2014,4,40.9
2014,5,54.3
2014,6,63.0
2014,7,67.0
2014,8,63.3
2014,9,56.5
2014,10,49.1
2014,11,33.8
2014,12,26.6
2015,1,12.2
2015,2,5.9
2015,3,23.1
2015,4,40.1
2015,5,59.8
2015,6,60.3
2015,7,66.2
2015,8,66.5
2015,9,61.3
2015,10,43.8
2015,11,39.2
2015,12,35.2
2016,1,20.7
2016,2,23.9
2016,3,33.9
2016,4,38.7
2016,5,54.9
2016,6,62.1
2016,7,67.5
2016,8,67.8
2016,9,59.7
2016,10,47.0
2016,11,36.6
2016,12,24.0
2017,1,24.8
2017,2,26.4
2017,3,23.4
2017,4,45.7
2017,5,52.4
2017,6,62.3
2017,7,65.6
2017,8,62.9
2017,9,60.2
2017,10,53.6
2017,11,32.8
2017,12,17.4
2018,1,17.9
2018,2,27.3
2018,3,28.2
2018,4,36.4
2018,5,58.3
2018,6,61.3
2018,7,70.1
2018,8,68.4
2018,9,60.2
2018,10,44.3
2018,11,30.5
2018,12,22.5
2019,1,14.6
2019,2,19.5
2019,3,26.9
2019,4,41.3
2019,5,51.1
2019,6,61.5
2019,7,69.2
2019,8,64.6
2019,9,56.8
2019,10,47.3
2019,11,29.1
2019,12,23.7
2020,1,23.2
2020,2,22.4
2020,3,33.4
2020,4,39.1
2020,5,53.5
2020,6,63.2
2020,7,71.1
2020,8,65.0
2020,9,58.0
2020,10,46.1
2020,11,38.5
2020,12,27.5
2021,1,19.5
2021,2,19.7
2021,3,31.3
2021,4,43.6
2021,5,54.9
2021,6,68.7
2021,7,66.0
2021,8,70.2
2021,9,61.3
2021,10,52.3
2021,11,35.1
2021,12,30.3
2022,1,14.6
2022,2,23.9
2022,3,34.0
2022,4,43.5
2022,5,59.7
2022,6,64.0
2022,7,69.9
2022,8,70.0
2022,9,59.1
2022,10,48.9
2022,11,41.5
2022,12,30.6
2023,1,29.5
2023,2,25.1
2023,3,31.1
2023,4,45.5
2023,5,53.9
2023,6,62.1
2023,7,69.1
2023,8,63.8
2023,9,60.1
2023,10,51.3
2023,11,32.9
2023,12,30.7
2024,1,23.5
2024,2,26.3
2024,3,33.5
2024,4,42.5
2024,5,58.1
2024,6,65.5
2024,7,70.5
2024,8,65.5
2024,9,59.5
2024,10,48.9
