year,month,tavg
2001,1,37.3
2001,2,42.5
2001,3,45.5
2001,4,58.5
2001,5,65.4
2001,6,75.2
2001,7,75.1
2001,8,78.4
2001,9,68.1
2001,10,59.4
2001,11,54.8
2001,12,46.2
2002,1,42.6
2002,2,43.0
2002,3,49.4
2002,4,60.8
2002,5,65.7
2002,6,76.3
2002,7,80.4
2002,8,79.5
2002,9,72.1
2002,10,60.3
2002,11,48.0
2002,12,39.4
2003,1,34.1
2003,2,37.0
2003,3,49.7
2003,4,57.1
2003,5,63.7
2003,6,73.0
2003,7,78.1
2003,8,78.6
2003,9,70.4
2003,10,58.3
2003,11,54.1
2003,12,39.9
2004,1,33.6
2004,2,38.9
2004,3,50.3
2004,4,59.4
2004,5,73.5
2004,6,74.6
2004,7,79.0
2004,8,75.9
2004,9,71.8
2004,10,60.9
2004,11,52.8
2004,12,42.6
2005,1,40.2
2005,2,42.4
2005,3,45.6
2005,4,58.7
2005,5,63.5
2005,6,76.5
2005,7,81.7
2005,8,79.9
2005,9,74.9
2005,10,61.1
2005,11,53.3
2005,12,38.1
2006,1,45.0
2006,2,40.7
2006,3,49.9
2006,4,60.4
2006,5,65.7
2006,6,74.5
2006,7,81.0
2006,8,80.2
2006,9,69.4
2006,10,59.5
2006,11,53.2
2006,12,47.4
2007,1,44.0
2007,2,35.6
2007,3,52.0
2007,4,57.5
2007,5,67.3
2007,6,75.8
2007,7,77.7
2007,8,79.6
2007,9,72.2
2007,10,66.4
2007,11,49.8
2007,12,43.9
2008,1,40.2
2008,2,43.7
2008,3,51.2
2008,4,59.2
2008,5,65.6
2008,6,78.6
2008,7,78.5
2008,8,76.8
2008,9,71.6
2008,10,57.9
2008,11,48.3
2008,12,44.5
2009,1,35.1
2009,2,42.2
2009,3,46.7
2009,4,59.2
2009,5,67.6
2009,6,75.2
2009,7,76.5
2009,8,79.2
2009,9,69.3
2009,10,59.1
2009,11,52.6
2009,12,39.3
2010,1,36.1
2010,2,35.2
2010,3,51.7
2010,4,62.5
2010,5,70.3
2010,6,80.8
2010,7,82.4
2010,8,78.8
2010,9,74.6
2010,10,61.0
2010,11,49.7
2010,12,33.2
2011,1,34.4
2011,2,44.8
2011,3,48.9
2011,4,62.1
2011,5,68.6
2011,6,77.5
2011,7,81.4
2011,8,78.3
2011,9,71.7
2011,10,59.0
2011,11,52.8
2011,12,46.8
2012,1,42.8
2012,2,44.5
2012,3,58.0
2012,4,58.7
2012,5,70.0
2012,6,74.0
2012,7,81.7
2012,8,77.3
2012,9,70.0
2012,10,60.0
2012,11,45.8
2012,12,46.5
2013,1,41.5
2013,2,40.4
2013,3,43.3
2013,4,59.7
2013,5,66.4
2013,6,76.1
2013,7,79.7
2013,8,75.5
2013,9,70.1
2013,10,62.2
2013,11,48.8
2013,12,43.8
2014,1,33.9
2014,2,39.7
2014,3,44.6
2014,4,59.0
2014,5,69.6
2014,6,76.3
2014,7,79.1
2014,8,75.8
2014,9,72.0
2014,10,62.4
2014,11,47.1
2014,12,43.7
2015,1,37.3
2015,2,31.8
2015,3,47.0
2015,4,59.8
2015,5,71.3
2015,6,77.7
2015,7,78.8
2015,8,76.8
2015,9,73.3
2015,10,57.3
2015,11,53.0
2015,12,51.8
2016,1,35.8
2016,2,40.9
2016,3,53.7
2016,4,56.8
2016,5,63.1
2016,6,74.4
2016,7,79.4
2016,8,79.3
2016,9,73.2
2016,10,61.9
2016,11,49.4
2016,12,41.5
2017,1,42.0
2017,2,48.9
2017,3,48.9
2017,4,64.0
2017,5,66.0
2017,6,75.2
2017,7,80.8
2017,8,75.7
2017,9,70.6
2017,10,63.0
2017,11,49.0
2017,12,40.4
2018,1,35.8
2018,2,47.5
2018,3,44.0
2018,4,55.7
2018,5,72.6
2018,6,76.1
2018,7,77.6
2018,8,78.4
2018,9,75.3
2018,10,61.9
2018,11,47.1
2018,12,42.3
2019,1,39.6
2019,2,44.0
2019,3,47.2
2019,4,61.8
2019,5,72.4
2019,6,75.5
2019,7,80.7
2019,8,77.7
2019,9,75.4
2019,10,63.5
2019,11,46.0
2019,12,43.6
2020,1,43.6
2020,2,45.3
2020,3,54.6
2020,4,56.7
2020,5,63.7
2020,6,74.8
2020,7,82.0
2020,8,78.1
2020,9,69.5
2020,10,61.6
2020,11,54.5
2020,12,41.3
2021,1,38.8
2021,2,38.4
2021,3,51.5
2021,4,59.1
2021,5,66.0
2021,6,75.5
2021,7,79.0
2021,8,78.5
2021,9,72.0
2021,10,64.9
2021,11,48.0
2021,12,48.6
2022,1,36.2
2022,2,44.1
2022,3,52.3
2022,4,59.0
2022,5,68.0
2022,6,75.5
2022,7,80.0
2022,8,77.7
2022,9,72.1
2022,10,57.5
2022,11,52.8
2022,12,40.5
2023,1,46.3
2023,2,49.2
2023,3,50.7
2023,4,62.0
2023,5,64.8
2023,6,72.1
2023,7,80.4
2023,8,78.4
2023,9,72.2
2023,10,62.3
2023,11,48.9
2023,12,45.8
2024,1,41.6
2024,2,45.0
2024,3,53.1
2024,4,60.9
2024,5,69.6
2024,6,78.5
2024,7,80.2
2024,8,77.3
2024,9,71.6
2024,10,57.3
2024,11,
