year,month,tavg
2001,1,38.4
2001,2,38.0
2001,3,42.8
2001,4,46.0
2001,5,53.8
2001,6,55.9
2001,7,60.7
2001,8,63.0
2001,9,57.4
2001,10,48.1
2001,11,45.1
2001,12,38.7
2002,1,39.5
2002,2,39.8
2002,3,40.7
2002,4,46.9
2002,5,51.3
2002,6,59.8
2002,7,63.6
2002,8,62.9
2002,9,57.8
2002,10,49.2
2002,11,44.8
2002,12,41.3
2003,1,43.6
2003,2,40.4
2003,3,46.0
2003,4,47.5
2003,5,53.1
2003,6,60.8
2003,7,65.5
2003,8,63.9
2003,9,60.6
2003,10,53.2
2003,11,40.6
2003,12,39.4
2004,1,39.4
2004,2,42.0
2004,3,46.2
2004,4,50.4
2004,5,55.1
2004,6,60.5
2004,7,66.2
2004,8,66.9
2004,9,57.4
2004,10,52.0
2004,11,43.3
2004,12,41.3
2005,1,41.1
2005,2,39.8
2005,3,47.6
2005,4,48.3
2005,5,56.7
2005,6,58.7
2005,7,63.7
2005,8,64.1
2005,9,56.4
2005,10,52.1
2005,11,42.1
2005,12,39.4
2006,1,43.3
2006,2,39.2
2006,3,43.6
2006,4,48.7
2006,5,55.1
2006,6,61.0
2006,7,65.2
2006,8,62.4
2006,9,59.0
2006,10,49.5
2006,11,43.7
2006,12,38.5
2007,1,36.3
2007,2,42.1
2007,3,46.6
2007,4,48.1
2007,5,53.9
2007,6,58.0
2007,7,65.4
2007,8,62.3
2007,9,57.4
2007,10,48.4
2007,11,42.3
2007,12,39.1
2008,1,36.0
2008,2,41.1
2008,3,40.9
2008,4,44.1
2008,5,54.5
2008,6,56.4
2008,7,62.5
2008,8,63.5
2008,9,58.0
2008,10,49.2
2008,11,46.4
2008,12,35.9
2009,1,37.9
2009,2,38.1
2009,3,40.3
2009,4,47.4
2009,5,54.2
2009,6,61.0
2009,7,67.1
2009,8,62.7
2009,9,59.0
2009,10,49.5
2009,11,44.7
2009,12,33.3
2010,1,44.4
2010,2,43.1
2010,3,44.3
2010,4,47.5
2010,5,51.2
2010,6,56.9
2010,7,61.9
2010,8,62.6
2010,9,58.9
2010,10,50.1
2010,11,42.1
2010,12,40.4
2011,1,40.4
2011,2,37.2
2011,3,43.4
2011,4,44.1
2011,5,50.6
2011,6,57.3
2011,7,61.6
2011,8,62.9
2011,9,60.8
2011,10,50.3
2011,11,40.5
2011,12,37.5
2012,1,37.6
2012,2,40.6
2012,3,41.9
2012,4,49.1
2012,5,53.0
2012,6,56.6
2012,7,62.2
2012,8,64.4
2012,9,58.3
2012,10,50.8
2012,11,44.7
2012,12,40.2
2013,1,36.5
2013,2,42.2
2013,3,45.1
2013,4,48.3
2013,5,55.3
2013,6,60.4
2013,7,63.6
2013,8,65.0
2013,9,60.2
2013,10,47.7
2013,11,42.6
2013,12,37.1
2014,1,40.5
2014,2,38.7
2014,3,46.4
2014,4,49.4
2014,5,56.4
2014,6,59.2
2014,7,66.4
2014,8,66.5
2014,9,61.0
2014,10,55.6
2014,11,43.2
2014,12,41.8
2015,1,42.8
2015,2,46.5
2015,3,47.8
2015,4,48.3
2015,5,56.0
2015,6,64.9
2015,7,68.2
2015,8,66.3
2015,9,57.9
2015,10,54.7
2015,11,41.4
2015,12,40.9
2016,1,40.2
2016,2,44.8
2016,3,46.0
2016,4,53.4
2016,5,57.2
2016,6,60.4
2016,7,63.9
2016,8,65.4
2016,9,57.7
2016,10,52.2
2016,11,48.4
2016,12,35.9
2017,1,35.3
2017,2,39.4
2017,3,44.2
2017,4,48.0
2017,5,55.7
2017,6,60.4
2017,7,64.5
2017,8,66.8
2017,9,61.2
2017,10,48.7
2017,11,44.3
2017,12,37.0
2018,1,42.7
2018,2,39.4
2018,3,42.4
2018,4,49.0
2018,5,57.3
2018,6,59.5
2018,7,66.7
2018,8,65.3
2018,9,57.7
2018,10,49.6
2018,11,44.6
2018,12,40.3
2019,1,40.1
2019,2,33.9
2019,3,42.5
2019,4,49.9
2019,5,56.9
2019,6,59.8
2019,7,64.2
2019,8,65.4
2019,9,59.3
2019,10,46.6
2019,11,42.0
2019,12,42.0
2020,1,43.2
2020,2,40.7
2020,3,41.6
2020,4,49.0
2020,5,56.3
2020,6,59.4
2020,7,63.8
2020,8,64.7
2020,9,62.3
2020,10,51.5
2020,11,43.6
2020,12,41.3
2021,1,42.1
2021,2,39.6
2021,3,41.9
2021,4,49.9
2021,5,54.1
2021,6,64.2
2021,7,65.2
2021,8,65.2
2021,9,59.7
2021,10,49.9
2021,11,45.8
2021,12,38.9
2022,1,41.7
2022,2,39.8
2022,3,45.8
2022,4,44.4
2022,5,51.0
2022,6,59.5
2022,7,66.4
2022,8,67.6
2022,9,61.6
2022,10,53.6
2022,11,38.7
2022,12,38.1
2023,1,40.9
2023,2,38.7
2023,3,40.9
2023,4,46.2
2023,5,58.5
2023,6,59.7
2023,7,65.5
2023,8,67.5
2023,9,59.8
2023,10,52.1
2023,11,44.7
2023,12,45.8
2024,1,41.9
2024,2,42.8
2024,3,44.7
2024,4,48.8
2024,5,54.2
2024,6,59.4
2024,7,68.1
2024,8,64.4
2024,9,61.0
2024,10,49.9
