state,year,month,month_name,avg_temp,precipitation,snowfall
New York,2001,1,January,29.109542025795463,2.030801700425106,108.13561394167216
New York,2001,2,February,31.37667166576593,1.6337150063051704,27.175099625649075
New York,2001,3,March,34.85592182605866,5.044218650816551,54.0315587026838
New York,2001,4,April,49.923888931224994,1.3289513499064425,3.0966131907308383
New York,2001,5,May,60.228939193743,2.242047491039427,0.0
New York,2001,6,June,69.48838674033149,3.281442901234568,0.0
New York,2001,7,July,70.39617143664844,1.6641311848556006,0.0
New York,2001,8,August,74.84326360166914,2.557092791716448,0.0
New York,2001,9,September,64.17009639931416,3.251280864197531,0.0
New York,2001,10,October,54.70305598130656,1.141922866971532,0.0
New York,2001,11,November,48.50350115668291,1.1985087034671964,0.0118721461187214
New York,2001,12,December,39.54552545185258,1.9471923536439664,16.03625402436715
New York,2002,1,January,35.61138905720905,1.770698016252832,33.00672043010753
New York,2002,2,February,35.46880285889678,0.9684258949481432,8.622581643708404
New York,2002,3,March,39.6045205046737,2.766566598546188,4.943511308861698
New York,2002,4,April,50.64385406744142,3.1534175640297923,0.4389954337899543
New York,2002,5,May,56.32699625735163,3.282308094384707,0.0198851082633672
New York,2002,6,June,68.4274764423993,3.232536375661376,0.0
New York,2002,7,July,74.83408871462802,1.2473939665471925,0.0
New York,2002,8,August,73.78631616467652,3.6686641020887407,0.0
New York,2002,9,September,67.28997376068608,4.010972192658815,0.0
New York,2002,10,October,52.140642014761646,9.046245706337114,0.0
New York,2002,11,November,41.98737691533081,3.270448390422729,3.9846645121575865
New York,2002,12,December,31.56344680092675,2.9068761155806198,46.273046679954646
New York,2003,1,January,22.671710083499306,1.4786019060320637,63.89068765865207
New York,2003,2,February,25.122910199070418,3.327196013289037,163.85347222222222
New York,2003,3,March,37.31047763322046,2.8080927042105355,21.57342032652238
New York,2003,4,April,45.821927224233185,2.293574393358876,5.416900719625515
New York,2003,5,May,56.15950098021743,3.5735504494509875,0.0
New York,2003,6,June,66.01779688648178,6.0736166985951465,0.0
New York,2003,7,July,72.85499242251981,2.734199522102748,0.0
New York,2003,8,August,73.54782347860657,2.8570865776789023,0.0
New York,2003,9,September,65.52519899797537,3.2128240740740743,0.0
New York,2003,10,October,51.500948334244924,2.977782258064516,0.0
New York,2003,11,November,45.71946489441213,3.21829475308642,1.7155797101449273
New York,2003,12,December,34.03579013750463,3.186098576975593,52.06502746610565
New York,2004,1,January,19.92444248044184,1.467168192048012,94.1702380952381
New York,2004,2,February,29.26277304176072,1.7115820827127963,110.5276334435522
New York,2004,3,March,39.23773497381109,2.3304201050262563,19.01894807407764
New York,2004,4,April,48.888281212715654,4.531908616657672,0.7015139751552795
New York,2004,5,May,60.94916347865467,3.858052166620715,0.0
New York,2004,6,June,66.59124159889913,2.1134982380209077,0.0
New York,2004,7,July,71.25602347789753,5.306838267786124,0.0
New York,2004,8,August,70.14616525039773,4.13568100358423,0.0
New York,2004,9,September,65.80632489380443,5.751436287477953,0.0
New York,2004,10,October,52.94621265799472,1.2660095579450417,0.0
New York,2004,11,November,44.06846787050117,2.8080077519379847,0.1163043478260869
New York,2004,12,December,33.30728470287353,2.895614350016076,16.271229093586346
New York,2005,1,January,25.590134688203996,2.5726820960913983,89.19905221936094
New York,2005,2,February,30.231426448736997,1.8013288921116135,83.09804305283757
New York,2005,3,March,33.6631730815319,2.0823293782124392,58.44050862851953
New York,2005,4,April,49.69908285816761,3.3785480996728667,1.1290760869565215
New York,2005,5,May,54.97031395293102,0.943733313507056,0.0
New York,2005,6,June,70.8522214648599,1.7511184690336488,0.0
New York,2005,7,July,74.44952806403683,2.542611255814123,0.0
New York,2005,8,August,74.72809193308728,1.9158184410539276,0.0
New York,2005,9,September,68.13875780089153,1.7048927083533,0.0
New York,2005,10,October,54.33293035517423,8.828835820030339,0.0866935483870967
New York,2005,11,November,45.81258158866995,3.244295184298467,3.250969338219174
New York,2005,12,December,30.437073534085492,2.389123177294472,34.86136584156911
New York,2006,1,January,35.22199953606543,2.391077669551718,12.713631183570946
New York,2006,2,February,29.883999279409114,1.5843235954248494,46.95009784735812
New York,2006,3,March,37.08879453441032,0.8683111248900893,9.887580205678123
New York,2006,4,April,49.46277637207338,3.156624289252885,0.036330608537693
New York,2006,5,May,58.41549326412063,2.1450619482027284,0.0
New York,2006,6,June,67.06929130098334,3.831168387740658,0.0
New York,2006,7,July,74.45129865983111,3.4765455235223537,0.0
New York,2006,8,August,71.29248691734631,2.680810376970048,0.0
New York,2006,9,September,62.01101848841682,2.429387249876672,0.0
New York,2006,10,October,51.55968022292343,3.866892634934021,1.6095722300140254
New York,2006,11,November,46.60452383884588,2.880921043908693,0.0430253623188405
New York,2006,12,December,39.26848734810299,1.645530229429897,2.67644985016746
New York,2007,1,January,32.401956116386586,2.408428699946227,15.000770238889016
New York,2007,2,February,23.111995042452563,1.2743193001797786,73.43267077488389
New York,2007,3,March,36.068710566713854,2.7992611741609523,32.667898647666696
New York,2007,4,April,45.45663303099937,4.866295545073149,1.7223613829093285
New York,2007,5,May,59.97494920786261,1.0090992067397646,0.0
New York,2007,6,June,68.12574999965705,2.845426889550848,0.0
New York,2007,7,July,70.9320803891449,3.2831915217857084,0.0
New York,2007,8,August,71.12979225118136,2.288581647164371,0.0
New York,2007,9,September,65.50011568535461,1.1821765335351109,0.0
New York,2007,10,October,59.016409237777424,2.6132839305848665,0.0
New York,2007,11,November,41.039957538162135,2.165568014483629,1.026660143509459
New York,2007,12,December,32.11174025813514,2.935776168679729,39.03138008650965
New York,2008,1,January,31.485018309585605,1.3239811531248022,13.441799795298218
New York,2008,2,February,29.850812807881773,3.950917580428989,30.766708390535413
New York,2008,3,March,36.197087398696965,3.024956817201025,25.3636607824868
New York,2008,4,April,50.92062596762843,2.115801987973791,1.351735384753807
New York,2008,5,May,55.53456115260342,1.993073086267764,0.0
New York,2008,6,June,69.76141820845639,2.5136376539085923,0.0
New York,2008,7,July,73.34498795587942,2.704171570939716,0.0
New York,2008,8,August,68.77288116296211,2.527799986565781,0.0
New York,2008,9,September,64.63921548200808,3.482688854417209,0.0
New York,2008,10,October,50.66886365740299,2.225368959276925,0.131829392191743
New York,2008,11,November,41.418278528604816,1.986102256233556,3.041294872660012
New York,2008,12,December,32.848653880063424,3.713645647265135,28.85640258644228
New York,2009,1,January,22.47322646635883,1.8187857491987864,63.151466568177305
New York,2009,2,February,30.78544442347613,0.8966752662229638,37.37570257611241
New York,2009,3,March,37.36319686443662,1.5163170539129724,18.426576605012308
New York,2009,4,April,49.578363686056576,2.3687381256258755,0.186946937490159
New York,2009,5,May,58.20264373154966,3.1110238334521823,0.0
New York,2009,6,June,64.41458840142442,4.976083863419066,0.0
New York,2009,7,July,69.02436413217092,3.204122852537648,0.0
New York,2009,8,August,71.9298560267316,2.015908754852139,0.0
New York,2009,9,September,62.41944138993912,1.5417226909111923,0.0036529680365296
New York,2009,10,October,50.97555757303884,3.2060371100988223,0.0198851082633672
New York,2009,11,November,46.53314218865451,1.4552489077638742,0.0280847145488029
New York,2009,12,December,31.37667622031231,3.727295834657757,55.16321315222287
New York,2010,1,January,27.271652041655877,1.5119821500528092,48.47012162876784
New York,2010,2,February,29.177805204911298,2.984870009627399,101.6298399687744
New York,2010,3,March,42.62782889125721,4.492678268466875,20.72336433784491
New York,2010,4,April,52.72738687195372,1.7532712858267967,0.0511415525114155
New York,2010,5,May,61.60482919647568,1.7100680167479048,0.0
New York,2010,6,June,69.6988459739747,2.3253626404821466,0.0
New York,2010,7,July,75.81972332387521,2.19582931422338,0.0
New York,2010,8,August,72.75340860215053,2.211838293079446,0.0
New York,2010,9,September,65.8754292033182,2.513601043145792,0.0
New York,2010,10,October,53.77844559481502,2.729626816648586,0.0
New York,2010,11,November,43.09455231842111,1.8754765201681465,0.1035225048923679
New York,2010,12,December,28.815200685057974,2.062053816277712,72.82462982548917
New York,2011,1,January,24.618604891342667,1.6430820716209886,127.05317479688183
New York,2011,2,February,29.286344650009536,2.226272351726827,119.93261086409696
New York,2011,3,March,36.99858728996573,2.9825288209602974,18.10246957651088
New York,2011,4,April,48.85162086545492,3.606589394742183,0.0230202578268876
New York,2011,5,May,60.665443846522834,2.910865703315856,0.0
New York,2011,6,June,68.60527802587359,2.3227730287579824,0.0
New York,2011,7,July,75.87718685562368,1.8249050967439255,0.0
New York,2011,8,August,71.50790726966628,8.152650595522138,0.0
New York,2011,9,September,66.12749678316098,4.457366632858963,0.0
New York,2011,10,October,53.62135434445107,3.1055425769907723,0.4493150684931506
New York,2011,11,November,47.30913854774663,2.052213970365839,0.2219402627453396
New York,2011,12,December,38.09262908865143,2.180671940443329,1.5337392186707255
New York,2012,1,January,32.71137398951555,1.84957177466456,14.562975833732049
New York,2012,2,February,35.6032994466286,0.8945781683734912,6.754720547965319
New York,2012,3,March,46.715727004192466,0.936540123760774,2.1614376196788925
