year,month,tavg
2001,1,22.0
2001,2,19.6
2001,3,31.9
2001,4,51.2
2001,5,58.7
2001,6,66.2
2001,7,72.5
2001,8,71.2
2001,9,58.9
2001,10,49.2
2001,11,46.3
2001,12,30.7
2002,1,28.3
2002,2,30.7
2002,3,30.4
2002,4,46.9
2002,5,53.7
2002,6,68.6
2002,7,74.4
2002,8,69.8
2002,9,64.5
2002,10,45.5
2002,11,34.5
2002,12,27.7
2003,1,17.9
2003,2,18.7
2003,3,32.7
2003,4,45.0
2003,5,55.4
2003,6,65.6
2003,7,70.5
2003,8,72.1
2003,9,61.2
2003,10,49.6
2003,11,37.5
2003,12,28.1
2004,1,15.4
2004,2,23.6
2004,3,38.4
2004,4,47.4
2004,5,57.2
2004,6,65.6
2004,7,69.6
2004,8,65.6
2004,9,65.4
2004,10,51.6
2004,11,40.4
2004,12,26.3
2005,1,19.8
2005,2,29.5
2005,3,32.4
2005,4,51.0
2005,5,56.1
2005,6,72.5
2005,7,72.4
2005,8,71.0
2005,9,67.1
2005,10,51.8
2005,11,38.4
2005,12,20.6
2006,1,31.9
2006,2,23.1
2006,3,35.0
2006,4,51.5
2006,5,58.9
2006,6,67.2
2006,7,74.8
2006,8,70.3
2006,9,58.6
2006,10,45.6
2006,11,39.2
2006,12,30.8
2007,1,24.1
2007,2,14.9
2007,3,38.8
2007,4,45.4
2007,5,62.6
2007,6,70.0
2007,7,72.8
2007,8,71.3
2007,9,64.8
2007,10,56.6
2007,11,36.4
2007,12,22.3
2008,1,18.5
2008,2,17.8
2008,3,30.0
2008,4,47.5
2008,5,56.1
2008,6,68.6
2008,7,72.5
2008,8,69.3
2008,9,63.4
2008,10,49.9
2008,11,36.8
2008,12,18.2
2009,1,11.8
2009,2,24.7
2009,3,35.2
2009,4,46.1
2009,5,58.9
2009,6,67.4
2009,7,66.7
2009,8,68.2
2009,9,62.2
2009,10,45.7
2009,11,42.9
2009,12,23.2
2010,1,17.9
2010,2,24.1
2010,3,38.9
2010,4,52.9
2010,5,60.7
2010,6,68.8
2010,7,74.9
2010,8,73.9
2010,9,61.2
2010,10,52.3
2010,11,38.5
2010,12,20.2
2011,1,17.2
2011,2,23.4
2011,3,32.9
2011,4,45.5
2011,5,57.4
2011,6,68.9
2011,7,77.4
2011,8,71.6
2011,9,59.4
2011,10,52.1
2011,11,40.5
2011,12,31.5
2012,1,26.1
2012,2,29.9
2012,3,50.5
2012,4,48.1
2012,5,64.0
2012,6,73.1
2012,7,80.0
2012,8,71.0
2012,9,60.8
2012,10,48.6
2012,11,38.5
2012,12,30.4
2013,1,22.5
2013,2,22.3
2013,3,27.5
2013,4,43.6
2013,5,59.9
2013,6,67.9
2013,7,72.2
2013,8,71.1
2013,9,63.9
2013,10,50.6
2013,11,35.2
2013,12,18.5
2014,1,11.8
2014,2,12.8
2014,3,28.3
2014,4,45.7
2014,5,60.0
2014,6,70.8
2014,7,69.5
2014,8,70.8
2014,9,61.1
2014,10,50.2
2014,11,30.6
2014,12,28.8
2015,1,20.4
2015,2,12.3
2015,3,34.7
2015,4,48.7
2015,5,60.5
2015,6,67.7
2015,7,71.6
2015,8,69.6
2015,9,67.2
2015,10,51.8
2015,11,42.3
2015,12,35.5
2016,1,20.6
2016,2,27.2
2016,3,40.3
2016,4,46.2
2016,5,59.1
2016,6,69.9
2016,7,73.2
2016,8,72.7
2016,9,65.7
2016,10,54.1
2016,11,44.3
2016,12,23.2
2017,1,23.8
2017,2,32.8
2017,3,34.2
2017,4,50.6
2017,5,56.1
2017,6,69.3
2017,7,71.6
2017,8,66.9
2017,9,65.1
2017,10,54.0
2017,11,36.6
2017,12,22.9
2018,1,20.4
2018,2,22.5
2018,3,33.1
2018,4,37.9
2018,5,64.8
2018,6,69.8
2018,7,73.0
2018,8,71.3
2018,9,64.0
2018,10,48.1
2018,11,31.3
2018,12,29.3
2019,1,16.9
2019,2,19.8
2019,3,31.0
2019,4,46.7
2019,5,55.9
2019,6,66.9
2019,7,75.7
2019,8,68.8
2019,9,66.3
2019,10,47.8
2019,11,31.3
2019,12,30.4
2020,1,27.0
2020,2,25.5
2020,3,39.5
2020,4,45.7
2020,5,58.0
2020,6,70.8
2020,7,75.7
2020,8,71.6
2020,9,61.2
2020,10,46.7
2020,11,44.1
2020,12,28.3
2021,1,24.6
2021,2,15.1
2021,3,40.9
2021,4,49.4
2021,5,59.5
2021,6,73.6
2021,7,72.7
2021,8,73.0
2021,9,65.5
2021,10,56.5
2021,11,38.0
2021,12,32.3
2022,1,15.8
2022,2,23.0
2022,3,35.5
2022,4,44.4
2022,5,62.7
2022,6,69.7
2022,7,72.8
2022,8,70.7
2022,9,62.9
2022,10,50.0
2022,11,39.8
2022,12,25.0
2023,1,27.6
2023,2,29.3
2023,3,34.6
2023,4,48.8
2023,5,61.2
2023,6,70.0
2023,7,72.7
2023,8,71.8
2023,9,67.2
2023,10,52.6
2023,11,39.4
2023,12,36.4
2024,1,24.5
2024,2,35.5
2024,3,40.6
2024,4,50.4
2024,5,62.0
2024,6,70.5
2024,7,71.8
2024,8,71.0
2024,9,66.0
2024,10,52.9
2024,11,
